  step        rti_dist        pot_real        pot_rtip          f_real          f_rtip
     1      0.09649248     -3.87642667      0.00121306      0.08736193      0.01257156
     2      0.11813977     -3.88001617      0.00242612      0.03066254      0.02053604
     3      0.20011950     -3.88058250      0.00363918      0.03634120      0.01818505
     4      0.22295731     -3.88090749      0.00485225      0.02910089      0.02176311
     5      0.24961778     -3.88105745      0.00606531      0.02889751      0.02429838
     6      0.28268451     -3.88109166      0.00727837      0.02971213      0.02574732
     7      0.31398588     -3.88122255      0.00849143      0.02683155      0.02704398
     8      0.35002725     -3.88122583      0.00970449      0.02760354      0.02772496
     9      0.38480913     -3.88129918      0.01091755      0.02550504      0.02837134
    10      0.43467078     -3.88095521      0.01213061      0.03887373      0.02790759
    11      0.46164673     -3.88134428      0.01334367      0.02274618      0.02890451
    12      0.51424214     -3.88098905      0.01455674      0.03682424      0.02830716
    13      0.54279768     -3.88129331      0.01576980      0.02357032      0.02905281
    14      0.59440448     -3.88091869      0.01698286      0.03764929      0.02857122
    15      0.62265408     -3.88124987      0.01819592      0.02321599      0.02922316
    16      0.67453188     -3.88087836      0.01940898      0.03736942      0.02877400
    17      0.70311104     -3.88119975      0.02062204      0.02339563      0.02932971
    18      0.75475585     -3.88083614      0.02183510      0.03744114      0.02893002
    19      0.78345690     -3.88116332      0.02304817      0.02338325      0.02941855
    20      0.83511392     -3.88081171      0.02426123      0.03731393      0.02905140
    21      0.86405210     -3.88113777      0.02547429      0.02343051      0.02948235
    22      0.91568535     -3.88079595      0.02668735      0.03725196      0.02914467
    23      0.94480791     -3.88112245      0.02790041      0.02343052      0.02953025
    24      0.99647082     -3.88078676      0.02911347      0.03719779      0.02921658
    25      1.02575116     -3.88111255      0.03032653      0.02342350      0.02956519
    26      1.07744759     -3.88077881      0.03153959      0.03718978      0.02927251
    27      1.10683375     -3.88110412      0.03275266      0.02340166      0.02959131
    28      1.15857093     -3.88076894      0.03396572      0.03721369      0.02931691
    29      1.18802295     -3.88109355      0.03517878      0.02337176      0.02961119
    30      1.23979587     -3.88075350      0.03639184      0.03727322      0.02935309
    31      1.26926849     -3.88107751      0.03760490      0.02333907      0.02962722
    32      1.32106967     -3.88073014      0.03881796      0.03735944      0.02938374
    33      1.35053199     -3.88105367      0.04003102      0.02329900      0.02964093
    34      1.40236228     -3.88069738      0.04124408      0.03745757      0.02941044
    35      1.43179613     -3.88102040      0.04245715      0.02325521      0.02965307
    36      1.48365314     -3.88065404      0.04367021      0.03756464      0.02943424
    37      1.51304366     -3.88097671      0.04488327      0.02321200      0.02966423
    38      1.56492379     -3.88060026      0.04609633      0.03767537      0.02945596
    39      1.59426489     -3.88092304      0.04730939      0.02317023      0.02967474
    40      1.64616810     -3.88053736      0.04852245      0.03777699      0.02947600
    41      1.67546263     -3.88086028      0.04973551      0.02313449      0.02968465
    42      1.72738346     -3.88046650      0.05094858      0.03787018      0.02949465
    43      1.75663387     -3.88078967      0.05216164      0.02310529      0.02969409
    44      1.80856642     -3.88038875      0.05337470      0.03795427      0.02951216
    45      1.83777617     -3.88071221      0.05458776      0.02308039      0.02970316
    46      1.88971697     -3.88030514      0.05580082      0.03803119      0.02952867
    47      1.91889092     -3.88062913      0.05701388      0.02305954      0.02971189
    48      1.97083920     -3.88021735      0.05822694      0.03809175      0.02954424
    49      1.99998615     -3.88054185      0.05944000      0.02304662      0.02972021
    50      2.05193586     -3.88012670      0.06065307      0.03814046      0.02955895
    51      2.08106659     -3.88045199      0.06186613      0.02303534      0.02972809
    52      2.13302134     -3.88003516      0.06307919      0.03817167      0.02957270
    53      2.16214844     -3.88036122      0.06429225      0.02303236      0.02973536
    54      2.21410564     -3.87994459      0.06550531      0.03818463      0.02958545
    55      2.24324899     -3.88027178      0.06671837      0.02302792      0.02974185
    56      2.29522008     -3.87985776      0.06793143      0.03816585      0.02959692
    57      2.32440393     -3.88018554      0.06914449      0.02303297      0.02974720
    58      2.37638458     -3.87977535      0.07035756      0.03813783      0.02960698
    59      2.40561668     -3.88010391      0.07157062      0.02304096      0.02975147
    60      2.45760686     -3.87969834      0.07278368      0.03810081      0.02961568
    61      2.48688981     -3.88002729      0.07399674      0.02305582      0.02975474
    62      2.53887848     -3.87962588      0.07520980      0.03807338      0.02962324
    63      2.56819536     -3.87995504      0.07642286      0.02307998      0.02975742
    64      2.62016129     -3.87955622      0.07763592      0.03807267      0.02963022
    65      2.64947972     -3.87988556      0.07884898      0.02311246      0.02976018
    66      2.70139799     -3.87948746      0.08006204      0.03810653      0.02963727
    67      2.73068894     -3.87981788      0.08127510      0.02314047      0.02976360
    68      2.78256214     -3.87942098      0.08248816      0.03813502      0.02964469
    69      2.81183282     -3.87975277      0.08370123      0.02316729      0.02976751
    70      2.86366836     -3.87935836      0.08491429      0.03814734      0.02965229
    71      2.89293821     -3.87969172      0.08612735      0.02319091      0.02977160
    72      2.94475043     -3.87930169      0.08734041      0.03813175      0.02965972
    73      2.97404576     -3.87963631      0.08855347      0.02321532      0.02977544
    74      3.02584596     -3.87925256      0.08976653      0.03809129      0.02966661
    75      3.05519509     -3.87958846      0.09097959      0.02323374      0.02977867
    76      3.10699874     -3.87921186      0.09219265      0.03802707      0.02967260
    77      3.13641310     -3.87954793      0.09340571      0.02326171      0.02978109
    78      3.18820270     -3.87917647      0.09461877      0.03798815      0.02967781
    79      3.21764508     -3.87951203      0.09583183      0.02329959      0.02978325
    80      3.26938781     -3.87914232      0.09704489      0.03800391      0.02968293
    81      3.29881082     -3.87947862      0.09825795      0.02332711      0.02978591
    82      3.35051183     -3.87911045      0.09947101      0.03802258      0.02968835
    83      3.37992275     -3.87944815      0.10068407      0.02334113      0.02978891
    84      3.43160681     -3.87908278      0.10189712      0.03801287      0.02969376
