index,natom,name,energy_hartree,file
1,2,N2,-109.494847487,structures/001_N2.xyz
2,3,CO2,-188.53756025,structures/002_CO2.xyz
3,3,CS2,-834.467627258,structures/003_CS2.xyz
4,4,H2CO,-114.468742321,structures/004_H2CO.xyz
5,6,MeCN,-132.712729189,structures/005_MeCN.xyz
6,11,MeCH=NMe,-173.213051268,structures/006_MeCH=NMe.xyz
7,22,1-CN,-533.107556127,structures/007_1-CN.xyz
8,21,1-H,-440.867554655,structures/008_1-H.xyz
9,24,1-Me,-480.174081753,structures/009_1-Me.xyz
10,31,1-Ph,-671.86697878,structures/010_1-Ph.xyz
11,29,1-PMe2,-861.431933239,structures/011_1-PMe2.xyz
12,33,1-SiMe3,-849.506031531,structures/012_1-SiMe3.xyz
13,33,1-tBu,-598.080825757,structures/013_1-tBu.xyz
14,21,2-CN,-607.12958772,structures/014_2-CN.xyz
15,20,2-H,-514.893214987,structures/015_2-H.xyz
16,23,2-Me,-554.202050044,structures/016_2-Me.xyz
17,30,2-Ph,-745.891309387,structures/017_2-Ph.xyz
18,28,2-PMe2,-935.465095143,structures/018_2-PMe2.xyz
19,32,2-SiMe3,-923.532389343,structures/019_2-SiMe3.xyz
20,32,2-tBu,-672.106594472,structures/020_2-tBu.xyz
21,27,3-CN,-594.487252772,structures/021_3-CN.xyz
22,26,3-H,-502.247954817,structures/022_3-H.xyz
23,29,3-Me,-541.556934971,structures/023_3-Me.xyz
24,36,3-Ph,-733.245680446,structures/024_3-Ph.xyz
25,34,3-PMe2,-922.82051927,structures/025_3-PMe2.xyz
26,38,3-SiMe3,-910.887026021,structures/026_3-SiMe3.xyz
27,38,3-tBu,-659.460756262,structures/027_3-tBu.xyz
28,25,4-CN,-572.407912124,structures/028_4-CN.xyz
29,24,4-H,-480.165440833,structures/029_4-H.xyz
30,27,4-Me,-519.474834013,structures/030_4-Me.xyz
31,34,4-Ph,-711.16763848,structures/031_4-Ph.xyz
32,32,4-PMe2,-900.738792653,structures/032_4-PMe2.xyz
33,36,4-SiMe3,-888.806888671,structures/033_4-SiMe3.xyz
34,36,4-tBu,-637.38202498,structures/034_4-tBu.xyz
35,26,5-CN,-556.385152145,structures/035_5-CN.xyz
36,25,5-H,-464.145089184,structures/036_5-H.xyz
37,28,5-Me,-503.455505465,structures/037_5-Me.xyz
38,35,5-Ph,-695.14358033,structures/038_5-Ph.xyz
39,33,5-PMe2,-884.719241082,structures/039_5-PMe2.xyz
40,37,5-SiMe3,-872.785196948,structures/040_5-SiMe3.xyz
41,37,5-tBu,-621.360592518,structures/041_5-tBu.xyz
