kind,index,natom,energy_ha,i_value,file
species,1,9,-944.007709754,142.0,species/species_001.xyz
species,2,9,-943.9827015983,558.0,species/species_002.xyz
species,3,13,-1058.5984460376,526.0,species/species_003.xyz
species,4,13,-1058.5949228061,945.0,species/species_004.xyz
species,5,13,-1058.5858480128,468.0,species/species_005.xyz
species,6,17,-1173.167194195,378.0,species/species_006.xyz
species,7,17,-1173.1652814506,588.0,species/species_007.xyz
species,8,22,-1325.857571781,490.0,species/species_008.xyz
species,9,22,-1325.861018957,621.0,species/species_009.xyz
species,10,22,-1325.8763752679,568.0,species/species_010.xyz
species,11,25,-1402.3303989343,171.0,species/species_011.xyz
species,12,17,-1173.1700837698,230.0,species/species_012.xyz
species,13,17,-1173.1528285086,263.0,species/species_013.xyz
species,14,18,-1211.2428095361,105.0,species/species_014.xyz
species,15,14,-1096.7046356854,143.0,species/species_015.xyz
species,16,14,-1096.7103825028,87.0,species/species_016.xyz
species,17,17,-1173.1657779025,305.0,species/species_017.xyz
species,18,21,-1287.730296098,159.0,species/species_018.xyz
species,19,21,-1287.7364195301,341.0,species/species_019.xyz
species,20,21,-1287.7409434524,112.0,species/species_020.xyz
species,21,21,-1287.7369633898,127.0,species/species_021.xyz
species,22,21,-1287.7368257902,236.0,species/species_022.xyz
species,23,21,-1287.739084105,267.0,species/species_023.xyz
species,24,18,-1211.2722973269,80.0,species/species_024.xyz
species,25,18,-1211.2772779007,82.0,species/species_025.xyz
species,26,18,-1211.2647408778,269.0,species/species_026.xyz
species,27,18,-1211.2458566809,141.0,species/species_027.xyz
ts,1,9,0.0,0.0,ts/ts_001.xyz
ts,2,10,0.0,0.0,ts/ts_002.xyz
ts,3,13,0.0,0.0,ts/ts_003.xyz
ts,4,13,0.0,0.0,ts/ts_004.xyz
ts,5,14,0.0,0.0,ts/ts_005.xyz
ts,6,17,0.0,0.0,ts/ts_006.xyz
ts,7,22,0.0,0.0,ts/ts_007.xyz
ts,8,22,0.0,0.0,ts/ts_008.xyz
ts,9,22,0.0,0.0,ts/ts_009.xyz
ts,10,25,0.0,0.0,ts/ts_010.xyz
ts,11,17,0.0,0.0,ts/ts_011.xyz
ts,12,17,0.0,0.0,ts/ts_012.xyz
ts,13,17,0.0,0.0,ts/ts_013.xyz
ts,14,17,0.0,0.0,ts/ts_014.xyz
ts,15,14,0.0,0.0,ts/ts_015.xyz
ts,16,17,0.0,0.0,ts/ts_016.xyz
ts,17,17,0.0,0.0,ts/ts_017.xyz
ts,18,18,0.0,0.0,ts/ts_018.xyz
ts,19,21,0.0,0.0,ts/ts_019.xyz
ts,20,21,0.0,0.0,ts/ts_020.xyz
ts,21,21,0.0,0.0,ts/ts_021.xyz
ts,22,21,0.0,0.0,ts/ts_022.xyz
ts,23,21,0.0,0.0,ts/ts_023.xyz
ts,24,21,0.0,0.0,ts/ts_024.xyz
ts,25,18,0.0,0.0,ts/ts_025.xyz
ts,26,21,0.0,0.0,ts/ts_026.xyz
ts,27,21,0.0,0.0,ts/ts_027.xyz
ts,28,18,0.0,0.0,ts/ts_028.xyz
