index,equation,forward_barrier_kcal_mol,reverse_barrier_kcal_mol
1,1 + OH− ⇄ 2 + H2O,20.2,5.0
2,2+1⇄3,11.7,48.0
3,3 + H2O ⇄ 4 + OH−,6.4,5.0
4,4 + OH− ⇄ 5 + H2O,17.1,12.0
5,5+1⇄6,5.0,20.3
6,6 + H2O ⇄ 7 + OH−,5.3,5.0
7,7+5⇄8,15.2,12.7
8,8⇄9,7.0,9.3
9,9 ⇄ 10,5.0,9.8
10,10 + H2O ⇄ 11 + OH−,12.1,5.0
11,7 + OH− ⇄ 12 + H2O,9.9,10.2
12,12 + H2O ⇄ 13 + OH−,12.6,4.6
13,13 + OH− ⇄ 14 + H2O,4.5,9.1
14,7 + OH− ⇄ 15 + H2O,5.7,8.7
15,15 ⇄ 16,14.8,18.4
16,16 + H2O ⇄ 17 + OH−,13.2,5.0
17,17 + OH− ⇄ 14 + H2O,12.4,10.9
18,14 + 1 ⇄ 18,5.0,13.0
19,18 + H2O ⇄ 19 + OH−,5.0,8.3
20,19 + OH− ⇄ 20 + H2O,13.9,13.5
21,20 + H2O ⇄ 21 + OH−,5.3,5.0
22,21 + OH− ⇄ 22 + H2O,6.4,5.0
23,22 + H2O ⇄ 23 + OH−,10.1,11.5
24,19 + OH− ⇄ 24 + H2O,5.0,5.7
25,24 ⇄ 25,14.8,18.4
26,25 + H2O ⇄ 23 + OH−,10.0,5.0
27,23 + OH− ⇄ 26 + H2O,8.8,5.0
28,26 ⇄ 4 + 5,13.5,4.5
