  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     13.60234884      0.06779496    299.63717041    300.00000000      1.00000000      0.04981702     -7.59870635      0.00030327     -7.59840308      0.05698463      0.00447327      0.05664808      0.00949744 md_running
     2      1.00000000     32.61007694      0.13627902    298.46897526    300.00000000      1.00000104      0.04962280     -7.59820604      0.00060653     -7.59759950      0.05883801      0.00445065      0.05827220      0.00980634 md_running
     3      1.50000000     37.75080383      0.20491939    296.28612318    300.00000000      1.00000391      0.04925988     -7.59753476      0.00090980     -7.59662497      0.06111151      0.00443978      0.06034669      0.01018525 md_running
     4      2.00000000     38.04573355      0.27318829    293.37077009    300.00000000      1.00000839      0.04877518     -7.59674143      0.00121306     -7.59552837      0.06342651      0.00444039      0.06250597      0.01057108 md_running
     5      2.50000000     48.41486626      0.34064646    290.16318372    300.00000000      1.00001388      0.04824189     -7.59590185      0.00151633     -7.59438552      0.06529985      0.00445132      0.06426803      0.01088331 md_running
     6      3.00000000     48.68142890      0.40700555    287.13400806    300.00000000      1.00001958      0.04773827     -7.59509649      0.00181959     -7.59327690      0.06631574      0.00447068      0.06521071      0.01105262 md_running
     7      3.50000000     48.95491987      0.47215804    284.64098736    300.00000000      1.00002469      0.04732379     -7.59438620      0.00212286     -7.59226334      0.06627097      0.00449607      0.06512126      0.01104516 md_running
     8      4.00000000     53.88721102      0.53616585    282.81900659    300.00000000      1.00002868      0.04702087     -7.59379331      0.00242612     -7.59136719      0.06527394      0.00452495      0.06409822      0.01087899 md_running
     9      4.50000000     54.17567749      0.59921066    281.54449315    300.00000000      1.00003149      0.04680897     -7.59329593      0.00272939     -7.59056654      0.06376607      0.00455497      0.06257471      0.01062768 md_running
    10      5.00000000     54.44721486      0.66152009    280.49121419    300.00000000      1.00003355      0.04663385     -7.59283731      0.00303265     -7.58980466      0.06243800      0.00458437      0.06123746      0.01040633 md_running
    11      5.50000000     54.70888381      0.72329335    279.25411973    300.00000000      1.00003559      0.04642818     -7.59234804      0.00333592     -7.58901212      0.06201994      0.00461212      0.06081630      0.01033666 md_running
    12      6.00000000     54.98726051      0.78464508    277.49238748    300.00000000      1.00003838      0.04613528     -7.59176965      0.00363918     -7.58813046      0.06298053      0.00463800      0.06178028      0.01049676 md_running
    13      6.50000000     55.25973883      0.84558257    275.04344991    300.00000000      1.00004246      0.04572812     -7.59107443      0.00394245     -7.58713198      0.06530988      0.00466241      0.06411751      0.01088498 md_running
    14      7.00000000     55.54022108      0.90601850    271.97300552    300.00000000      1.00004800      0.04521764     -7.59027421      0.00424571     -7.58602850      0.06854938      0.00468612      0.06736500      0.01142490 md_running
    15      7.50000000     55.79469402      0.96581094    268.55181616    300.00000000      1.00005472      0.04464884     -7.58941540      0.00454898     -7.58486642      0.07201114      0.00471001      0.07083134      0.01200186 md_running
    16      8.00000000     56.04726939      1.02481710    265.17113917    300.00000000      1.00006195      0.04408677     -7.58856500      0.00485225     -7.58371276      0.07502534      0.00473474      0.07384472      0.01250422 md_running
    17      8.50000000     56.29614022      1.08294283    262.22661456    300.00000000      1.00006884      0.04359722     -7.58779039      0.00515551     -7.58263488      0.07708398      0.00476065      0.07589637      0.01284733 md_running
    18      9.00000000     56.52521130      1.14017613    260.00748186    300.00000000      1.00007455      0.04322827     -7.58714056      0.00545878     -7.58168179      0.07789456      0.00478766      0.07669329      0.01298243 md_running
    19      9.50000000     56.79298133      1.19659890    258.61668557    300.00000000      1.00007855      0.04299704     -7.58663300      0.00576204     -7.58087096      0.07738647      0.00481535      0.07616323      0.01289774 md_running
    20     10.00000000     57.06315007      1.25237338    257.94080288    300.00000000      1.00008077      0.04288467     -7.58624756      0.00606531     -7.58018225      0.07571039      0.00484305      0.07445468      0.01261840 md_running
    21     10.50000000     57.33616342      1.30770929    257.67792002    300.00000000      1.00008167      0.04284097     -7.58593260      0.00636857     -7.57956403      0.07322598      0.00487002      0.07192546      0.01220433 md_running
    22     11.00000000     57.61013112      1.36281910    257.41669165    300.00000000      1.00008208      0.04279753     -7.58561752      0.00667184     -7.57894569      0.07046980      0.00489561      0.06911288      0.01174497 md_running
    23     11.50000000     57.87628104      1.41787305    256.74907186    300.00000000      1.00008297      0.04268654     -7.58523237      0.00697510     -7.57825727      0.06807810      0.00491941      0.06665892      0.01134635 md_running
    24     12.00000000     58.14408933      1.47296473    255.38602557    300.00000000      1.00008519      0.04245992     -7.58472787      0.00727837     -7.57744951      0.06663922      0.00494130      0.06516222      0.01110654 md_running
    25     12.50000000     58.40158238      1.52809466    253.24472348    300.00000000      1.00008923      0.04210391     -7.58408976      0.00758163     -7.57650813      0.06647816      0.00496149      0.06495874      0.01107969 md_running
    26     13.00000000     58.66656324      1.58317621    250.47930826    300.00000000      1.00009508      0.04164414     -7.58334447      0.00788490     -7.57545957      0.06751506      0.00498043      0.06597324      0.01125251 md_running
    27     13.50000000     58.94403299      1.63806167    247.44040096    300.00000000      1.00010221      0.04113890     -7.58255221      0.00818816     -7.57436405      0.06928957      0.00499869      0.06774206      0.01154826 md_running
    28     14.00000000     59.22303048      1.69258182    244.56750413    300.00000000      1.00010965      0.04066126     -7.58178843      0.00849143     -7.57329700      0.07118311      0.00501685      0.06963851      0.01186385 md_running
    29     14.50000000     59.48269287      1.74658485    242.24662532    300.00000000      1.00011631      0.04027539     -7.58111957      0.00879469     -7.57232487      0.07266150      0.00503537      0.07112089      0.01211025 md_running
    30     15.00000000     59.74465295      1.79996424    240.68743186    300.00000000      1.00012131      0.04001616     -7.58058165      0.00909796     -7.57148369      0.07343014      0.00505452      0.07189038      0.01223836 md_running
    31     15.50000000     60.00514522      1.85266991    239.86304364    300.00000000      1.00012432      0.03987910     -7.58017037      0.00940123     -7.57076915      0.07348218      0.00507442      0.07193881      0.01224703 md_running
    32     16.00000000     60.27999203      1.90470125    239.53197324    300.00000000      1.00012567      0.03982406     -7.57984464      0.00970449     -7.57014015      0.07304615      0.00509502      0.07149543      0.01217436 md_running
    33     16.50000000     60.56015837      1.95608646    239.33323194    300.00000000      1.00012617      0.03979102     -7.57954304      0.01000776     -7.56953528      0.07246915      0.00511621      0.07090951      0.01207819 md_running
    34     17.00000000     60.84310407      2.00685880    238.91621904    300.00000000      1.00012683      0.03972169     -7.57920566      0.01031102     -7.56889464      0.07206339      0.00513789      0.07049536      0.01201057 md_running
    35     17.50000000     61.12129322      2.05703813    238.05596632    300.00000000      1.00012844      0.03957866     -7.57879448      0.01061429     -7.56818019      0.07198450      0.00515999      0.07040935      0.01199742 md_running
    36     18.00000000     61.38833595      2.10662418    236.71726722    300.00000000      1.00013138      0.03935609     -7.57830347      0.01091755     -7.56738592      0.07219340      0.00518249      0.07061128      0.01203223 md_running
    37     18.50000000     61.66310176      2.15560385    235.05254508    300.00000000      1.00013552      0.03907932     -7.57775864      0.01122082     -7.56653782      0.07250195      0.00520542      0.07091084      0.01208366 md_running
    38     19.00000000     61.92119469      2.20396919    233.34100477    300.00000000      1.00014026      0.03879476     -7.57720755      0.01152408     -7.56568346      0.07267901      0.00522879      0.07107487      0.01211317 md_running
    39     19.50000000     62.19189795      2.25173966    231.89392187    300.00000000      1.00014476      0.03855417     -7.57670284      0.01182735     -7.56487549      0.07255162      0.00525254      0.07092978      0.01209194 md_running
    40     20.00000000     62.47280372      2.29898136    230.95754609    300.00000000      1.00014818      0.03839849     -7.57628592      0.01213061     -7.56415531      0.07207469      0.00527652      0.07043177      0.01201245 md_running
    41     20.50000000     62.75363763      2.34581773    230.63938422    300.00000000      1.00014996      0.03834560     -7.57597448      0.01243388     -7.56354060      0.07135765      0.00530045      0.06969347      0.01189294 md_running
    42     21.00000000     63.03169451      2.39242787    230.87603778    300.00000000      1.00014999      0.03838494     -7.57575712      0.01273714     -7.56301998      0.07065278      0.00532394      0.06897218      0.01177546 md_running
    43     21.50000000     63.31283391      2.43903197    231.45052725    300.00000000      1.00014870      0.03848046     -7.57559586      0.01304041     -7.56255545      0.07030353      0.00534655      0.06861792      0.01171725 md_running
    44     22.00000000     63.59208935      2.48586729    232.05226218    300.00000000      1.00014688      0.03858050     -7.57543708      0.01334367     -7.56209340      0.07065508      0.00536781      0.06898178      0.01177585 md_running
    45     22.50000000     63.87000561      2.53315911    232.36515656    300.00000000      1.00014545      0.03863252     -7.57522611      0.01364694     -7.56157917      0.07193319      0.00538732      0.07029142      0.01198887 md_running
    46     23.00000000     64.14095595      2.58109174    232.16362898    300.00000000      1.00014522      0.03859902     -7.57492343      0.01395021     -7.56097322      0.07413444      0.00540477      0.07253943      0.01235574 md_running
    47     23.50000000     64.40145262      2.62978608    231.38763978    300.00000000      1.00014659      0.03847000     -7.57451816      0.01425347     -7.56026469      0.07697575      0.00542001      0.07543394      0.01282929 md_running
    48     24.00000000     64.68294093      2.67928848    230.17065398    300.00000000      1.00014950      0.03826767     -7.57403260      0.01455674     -7.55947586      0.07995304      0.00543306      0.07846092      0.01332551 md_running
    49     24.50000000     64.95087897      2.72957157    228.80684320    300.00000000      1.00015334      0.03804092     -7.57351677      0.01486000     -7.55865676      0.08246255      0.00544408      0.08100873      0.01374376 md_running
    50     25.00000000     65.22887774      2.78054623    227.66163605    300.00000000      1.00015713      0.03785052     -7.57303323      0.01516327     -7.55786997      0.08393781      0.00545334      0.08250582      0.01398964 md_running
    51     25.50000000     65.50886405      2.83207983    227.05184416    300.00000000      1.00015981      0.03774914     -7.57263684      0.01546653     -7.55717031      0.08397345      0.00546119      0.08254386      0.01399558 md_running
    52     26.00000000     65.77632151      2.88401522    227.13665451    300.00000000      1.00016060      0.03776324     -7.57235545      0.01576980     -7.55658566      0.08240255      0.00546800      0.08095392      0.01373376 md_running
    53     26.50000000     66.04480629      2.93618541    227.86028113    300.00000000      1.00015934      0.03788355     -7.57218110      0.01607306     -7.55610804      0.07933635      0.00547413      0.07784585      0.01322273 md_running
    54     27.00000000     66.31168567      2.98842165    228.96806581    300.00000000      1.00015652      0.03806773     -7.57207122      0.01637633     -7.55569489      0.07514935      0.00547993      0.07359366      0.01252489 md_running
    55     27.50000000     66.58293133      3.04055520    230.08892080    300.00000000      1.00015312      0.03825408     -7.57196393      0.01667959     -7.55528434      0.07042180      0.00548571      0.06877975      0.01173697 md_running
    56     28.00000000     66.85668868      3.09241565    230.85275063    300.00000000      1.00015027      0.03838107     -7.57179756      0.01698286     -7.55481470      0.06583691      0.00549178      0.06409477      0.01097282 md_running
    57     28.50000000     67.13493297      3.14383013    231.00076289    300.00000000      1.00014890      0.03840568     -7.57152893      0.01728612     -7.55424281      0.06203207      0.00549843      0.06018993      0.01033868 md_running
    58     29.00000000     67.41119416      3.19462675    230.45441518    300.00000000      1.00014947      0.03831485     -7.57114600      0.01758939     -7.55355661      0.05942304      0.00550593      0.05749820      0.00990384 md_running
    59     29.50000000     67.66063294      3.24464395    229.32351518    300.00000000      1.00015194      0.03812682     -7.57066800      0.01789265     -7.55277534      0.05808448      0.00551452      0.05610564      0.00968075 md_running
    60     30.00000000     67.88485877      3.29374383    227.85715143    300.00000000      1.00015581      0.03788303     -7.57013810      0.01819592     -7.55194218      0.05777356      0.00552439      0.05576905      0.00962893 md_running
    61     30.50000000     68.13505535      3.34182686    226.35895773    300.00000000      1.00016025      0.03763394     -7.56960820      0.01849918     -7.55110902      0.05808806      0.00553565      0.05607649      0.00968134 md_running
    62     31.00000000     68.39697287      3.38884325    225.09522224    300.00000000      1.00016441      0.03742384     -7.56912359      0.01880245     -7.55032114      0.05865537      0.00554834      0.05664481      0.00977589 md_running
    63     31.50000000     68.67029946      3.43479875    224.22186017    300.00000000      1.00016762      0.03727863     -7.56871051      0.01910572     -7.54960479      0.05925646      0.00556240      0.05724874      0.00987608 md_running
    64     32.00000000     68.94767134      3.47975255    223.74624375    300.00000000      1.00016959      0.03719956     -7.56836992      0.01940898     -7.54896094      0.05985846      0.00557769      0.05785466      0.00997641 md_running
    65     32.50000000     69.22624479      3.52380705    223.53154924    300.00000000      1.00017052      0.03716386     -7.56807804      0.01971225     -7.54836579      0.06059225      0.00559402      0.05859688      0.01009871 md_running
    66     33.00000000     69.50558025      3.56709035    223.34104500    300.00000000      1.00017097      0.03713219     -7.56779405      0.02001551     -7.54777853      0.06167879      0.00561116      0.05970173      0.01027980 md_running
    67     33.50000000     69.76937480      3.60973437    222.91147977    300.00000000      1.00017176      0.03706077     -7.56747244      0.02031878     -7.54715366      0.06332497      0.00562888      0.06138012      0.01055416 md_running
    68     34.00000000     70.04649875      3.65185280    222.03571997    300.00000000      1.00017364      0.03691517     -7.56707753      0.02062204     -7.54645549      0.06561719      0.00564701      0.06371780      0.01093620 md_running
    69     34.50000000     70.31267163      3.69352227    220.63245448    300.00000000      1.00017711      0.03668187     -7.56659472      0.02092531     -7.54566941      0.06844804      0.00566541      0.06660165      0.01140801 md_running
    70     35.00000000     70.59535343      3.73477039    218.77997819    300.00000000      1.00018221      0.03637388     -7.56603700      0.02122857     -7.54480843      0.07152563      0.00568404      0.06973109      0.01192094 md_running
    71     35.50000000     70.86503805      3.77557199    216.69828915    300.00000000      1.00018853      0.03602778     -7.56544178      0.02153184     -7.54390994      0.07445771      0.00570293      0.07270563      0.01240962 md_running
    72     36.00000000     71.14198366      3.81585388    214.68501819    300.00000000      1.00019526      0.03569306     -7.56485999      0.02183510     -7.54302488      0.07687034      0.00572221      0.07514607      0.01281172 md_running
    73     36.50000000     71.41193318      3.85550668    213.02656691    300.00000000      1.00020138      0.03541733     -7.56434060      0.02213837     -7.54220223      0.07850964      0.00574201      0.07679657      0.01308494 md_running
    74     37.00000000     71.67014698      3.89439958    211.91438120    300.00000000      1.00020603      0.03523242     -7.56391699      0.02244163     -7.54147536      0.07931251      0.00576254      0.07759523      0.01321875 md_running
    75     37.50000000     71.93593649      3.93239525    211.39591188    300.00000000      1.00020874      0.03514622     -7.56359782      0.02274490     -7.54085292      0.07941519      0.00578398      0.07768177      0.01323587 md_running
    76     38.00000000     72.20083755      3.96936171    211.37838914    300.00000000      1.00020954      0.03514331     -7.56336794      0.02304816     -7.54031978      0.07911300      0.00580652      0.07735705      0.01318550 md_running
    77     38.50000000     72.46601641      4.00518071    211.68260644    300.00000000      1.00020893      0.03519389     -7.56319748      0.02335143     -7.53984605      0.07875910      0.00583031      0.07698054      0.01312652 md_running
    78     39.00000000     72.74258477      4.03975243    212.12390077    300.00000000      1.00020758      0.03526725     -7.56305541      0.02365470     -7.53940071      0.07863769      0.00585548      0.07684182      0.01310628 md_running
    79     39.50000000     73.01974069      4.07299863    212.59028350    300.00000000      1.00020603      0.03534479     -7.56292323      0.02395796     -7.53896527      0.07886224      0.00588214      0.07705670      0.01314371 md_running
    80     40.00000000     73.27428503      4.10486571    213.08960849    300.00000000      1.00020448      0.03542781     -7.56280246      0.02426123     -7.53854123      0.07934305      0.00591036      0.07753377      0.01322384 md_running
    81     40.50000000     73.52646833      4.13532872    213.75137349    300.00000000      1.00020267      0.03553783     -7.56271534      0.02456449     -7.53815085      0.07983235      0.00594016      0.07802080      0.01330539 md_running
    82     41.00000000     73.78734249      4.16439629    214.78702929    300.00000000      1.00020003      0.03571002     -7.56269762      0.02486776     -7.53782986      0.08002265      0.00597152      0.07820513      0.01333711 md_running
    83     41.50000000     74.05345851      4.19211512    216.42432970    300.00000000      1.00019582      0.03598223     -7.56278791      0.02517102     -7.53761689      0.07965715      0.00600437      0.07782612      0.01327619 md_running
    84     42.00000000     74.32978491      4.21857261    218.83833560    300.00000000      1.00018942      0.03638358     -7.56301548      0.02547429     -7.53754119      0.07860580      0.00603860      0.07675208      0.01310097 md_running
    85     42.50000000     74.59867613      4.24389605    222.10221263    300.00000000      1.00018054      0.03692623     -7.56339187      0.02577755     -7.53761431      0.07688831      0.00607403      0.07500383      0.01281472 md_running
    86     43.00000000     74.86599676      4.26824768    226.16871786    300.00000000      1.00016935      0.03760231     -7.56390863      0.02608082     -7.53782781      0.07466696      0.00611043      0.07274752      0.01244449 md_running
    87     43.50000000     75.14659601      4.29181578    230.88225767    300.00000000      1.00015637      0.03838598     -7.56453824      0.02638408     -7.53815416      0.07221967      0.00614754      0.07026771      0.01203661 md_running
    88     44.00000000     75.42281967      4.31480214    236.01683355    300.00000000      1.00014240      0.03923964     -7.56524156      0.02668735     -7.53855421      0.06988717      0.00618507      0.06791427      0.01164786 md_running
    89     44.50000000     75.67253169      4.33740730    241.33000300    300.00000000      1.00012822      0.04012300     -7.56597655      0.02699061     -7.53898594      0.06800334      0.00622275      0.06603114      0.01133389 md_running
    90     45.00000000     75.92570537      4.35981613    246.61948554    300.00000000      1.00011449      0.04100241     -7.56670793      0.02729388     -7.53941405      0.06681004      0.00626033      0.06486781      0.01113501 md_running
