  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.03430180      8.26176941    150.91082449    300.00000000      1.00049988      0.01720464     -5.74444480      0.20477050     -5.53967430      0.06992500      0.07010344      0.08964955      0.01398500 md_running
     2      1.00000000     20.22349091      8.25087992    153.30523250    300.00000000      1.00048673      0.01747762     -5.74416062      0.20423106     -5.53992956      0.07255506      0.07001104      0.09142750      0.01451101 md_running
     3      1.50000000     39.24313585      8.23845638    156.54796086    300.00000000      1.00046886      0.01784731     -5.74389858      0.20361649     -5.54028209      0.07344113      0.06990562      0.09194406      0.01468823 md_running
     4      2.00000000     39.47235996      8.22449999    160.69936345    300.00000000      1.00044630      0.01832059     -5.74366608      0.20292720     -5.54073888      0.07257837      0.06978720      0.09115580      0.01451567 md_running
     5      2.50000000     39.71158451      8.20901096    165.77403831    300.00000000      1.00041952      0.01889913     -5.74346540      0.20216358     -5.54130181      0.07011924      0.06965577      0.08918465      0.01402385 md_running
     6      3.00000000     44.73015331      8.19198907    171.73642782    300.00000000      1.00038937      0.01957887     -5.74329297      0.20132605     -5.54196691      0.06639377      0.06951133      0.08632052      0.01327875 md_running
     7      3.50000000     55.08001575      8.17343434    178.50186373    300.00000000      1.00035692      0.02035017     -5.74313966      0.20041509     -5.54272458      0.06191444      0.06935389      0.08300204      0.01238289 md_running
     8      4.00000000     55.31537020      8.15334757    185.94539112    300.00000000      1.00032337      0.02119877     -5.74299182      0.19943123     -5.54356059      0.05738283      0.06918345      0.07978133      0.01147657 md_running
     9      4.50000000     55.55342103      8.13173091    193.91904522    300.00000000      1.00028982      0.02210781     -5.74283297      0.19837514     -5.54445783      0.05365232      0.06900002      0.07724959      0.01073046 md_running
    10      5.00000000     60.43468143      8.10858817    202.27616629    300.00000000      1.00025715      0.02306057     -5.74264728      0.19724761     -5.54539967      0.05157163      0.06880365      0.07591345      0.01031433 md_running
    11      5.50000000     60.66055103      8.08392513    210.89853524    300.00000000      1.00022596      0.02404356     -5.74242179      0.19604954     -5.54637225      0.05167711      0.06859438      0.07604930      0.01033542 md_running
    12      6.00000000     60.87794280      8.05774956    219.72055108    300.00000000      1.00019653      0.02504932     -5.74215010      0.19478198     -5.54736812      0.05391823      0.06837227      0.07761492      0.01078365 md_running
    13      6.50000000     61.09988321      8.03007121    228.74525131    300.00000000      1.00016883      0.02607818     -5.74183383      0.19344613     -5.54838770      0.05769726      0.06813741      0.08026972      0.01153945 md_running
    14      7.00000000     61.32525100      8.00090160    238.04758156    300.00000000      1.00014262      0.02713870     -5.74148279      0.19204328     -5.54943952      0.06217365      0.06788990      0.08348767      0.01243473 md_running
    15      7.50000000     61.54316649      7.97025380    247.76254684    300.00000000      1.00011753      0.02824626     -5.74111399      0.19057484     -5.55053915      0.06654464      0.06762985      0.08669599      0.01330893 md_running
    16      8.00000000     61.75680479      7.93814218    258.05923282    300.00000000      1.00009317      0.02942013     -5.74074865      0.18904230     -5.55170635      0.07016840      0.06735737      0.08937520      0.01403368 md_running
    17      8.50000000     61.97622493      7.90458218    269.10508813    300.00000000      1.00006920      0.03067942     -5.74040764      0.18744726     -5.55296038      0.07258675      0.06707260      0.09111741      0.01451735 md_running
    18      9.00000000     62.18662642      7.86959014    281.02776185    300.00000000      1.00004546      0.03203867     -5.74010764      0.18579135     -5.55431629      0.07351253      0.06677569      0.09164913      0.01470251 md_running
    19      9.50000000     62.40336101      7.83318319    293.88275573    300.00000000      1.00002194      0.03350421     -5.73985690      0.18407628     -5.55578062      0.07282439      0.06646676      0.09084667      0.01456488 md_running
    20     10.00000000     62.61714777      7.79537926    307.63398591    300.00000000      0.99999881      0.03507192     -5.73965316      0.18230381     -5.55734934      0.07056544      0.06614599      0.08874283      0.01411309 md_running
    21     10.50000000     62.82241937      7.75619708    322.15187933    300.00000000      0.99997636      0.03672704     -5.73948349      0.18047578     -5.55900771      0.06696046      0.06581351      0.08553877      0.01339209 md_running
    22     11.00000000     63.03526200      7.71565634    337.23083037    300.00000000      0.99995490      0.03844612     -5.73932612      0.17859406     -5.56073206      0.06244676      0.06546952      0.08161407      0.01248935 md_running
    23     11.50000000     63.25075176      7.67377784    352.62314777    300.00000000      0.99993474      0.04020093     -5.73915451      0.17666060     -5.56249391      0.05771036      0.06511416      0.07752485      0.01154207 md_running
    24     12.00000000     63.46578258      7.63058365    368.08322507    300.00000000      0.99991608      0.04196346     -5.73894237      0.17467742     -5.56426495      0.05370395      0.06474765      0.07397362      0.01074079 md_running
    25     12.50000000     63.68471864      7.58609733    383.41306978    300.00000000      0.99989899      0.04371114     -5.73866896      0.17264662     -5.56602235      0.05151888      0.06437017      0.07169661      0.01030378 md_running
    26     13.00000000     63.90053462      7.54034408    398.49954275    300.00000000      0.99988346      0.04543108     -5.73832328      0.17057037     -5.56775291      0.05197060      0.06398194      0.07124127      0.01039412 md_running
    27     13.50000000     64.11705740      7.49335098    413.33631777    300.00000000      0.99986933      0.04712255     -5.73790696      0.16845093     -5.56945603      0.05510625      0.06358319      0.07273487      0.01102125 md_running
    28     14.00000000     64.32208318      7.44514690    428.02361392    300.00000000      0.99985639      0.04879698     -5.73743376      0.16629064     -5.57114312      0.06016840      0.06317417      0.07580171      0.01203368 md_running
    29     14.50000000     64.53538304      7.39576246    442.74321402    300.00000000      0.99984439      0.05047510     -5.73692721      0.16409191     -5.57283530      0.06603889      0.06275513      0.07970681      0.01320778 md_running
    30     15.00000000     64.74894053      7.34522987    457.71573863    300.00000000      0.99983306      0.05218204     -5.73641540      0.16185721     -5.57455820      0.07164924      0.06232634      0.08359520      0.01432985 md_running
    31     15.50000000     64.95455872      7.29358280    473.14921542    300.00000000      0.99982220      0.05394154     -5.73592478      0.15958905     -5.57633573      0.07616923      0.06188810      0.08669786      0.01523385 md_running
    32     16.00000000     65.16764143      7.24085622    489.19048204    300.00000000      0.99981167      0.05577033     -5.73547516      0.15729000     -5.57818517      0.07903225      0.06144070      0.08843121      0.01580645 md_running
    33     16.50000000     65.36891458      7.18708622    505.89081087    300.00000000      0.99980141      0.05767426     -5.73507505      0.15496263     -5.58011242      0.07994066      0.06098445      0.08845011      0.01598813 md_running
    34     17.00000000     65.58671224      7.13231001    523.19345567    300.00000000      0.99979143      0.05964685     -5.73472057      0.15260954     -5.58211103      0.07885150      0.06051966      0.08665781      0.01577030 md_running
    35     17.50000000     65.80599021      7.07656578    540.94545627    300.00000000      0.99978181      0.06167068     -5.73439668      0.15023335     -5.58416333      0.07597503      0.06004665      0.08320890      0.01519501 md_running
    36     18.00000000     66.02012548      7.01989274    558.92828180    300.00000000      0.99977262      0.06372082     -5.73408096      0.14783668     -5.58624427      0.07176946      0.05956577      0.07849807      0.01435389 md_running
    37     18.50000000     66.22593183      6.96233107    576.89867327    300.00000000      0.99976397      0.06576954     -5.73374780      0.14542216     -5.58832563      0.06693270      0.05907734      0.07314255      0.01338654 md_running
    38     19.00000000     66.44151319      6.90392207    594.63066427    300.00000000      0.99975590      0.06779108     -5.73337399      0.14299242     -5.59038157      0.06237005      0.05858172      0.06794653      0.01247401 md_running
    39     19.50000000     66.65491504      6.84470830    611.95058132    300.00000000      0.99974846      0.06976564     -5.73294205      0.14055010     -5.59239196      0.05907862      0.05807928      0.06380685      0.01181572 md_running
    40     20.00000000     66.86889283      6.78473361    628.75753611    300.00000000      0.99974162      0.07168172     -5.73244314      0.13809783     -5.59434531      0.05789383      0.05757037      0.06151418      0.01157877 md_running
    41     20.50000000     67.07718410      6.72404322    645.02992853    300.00000000      0.99973534      0.07353686     -5.73187718      0.13563827     -5.59623890      0.05913504      0.05705540      0.06146886      0.01182701 md_running
    42     21.00000000     67.29908802      6.66268334    660.81906362    300.00000000      0.99972957      0.07533691     -5.73125305      0.13317405     -5.59807900      0.06246872      0.05653474      0.06349930      0.01249374 md_running
    43     21.50000000     67.52310887      6.60070081    676.22745968    300.00000000      0.99972422      0.07709355     -5.73058495      0.13070775     -5.59987720      0.06714163      0.05600880      0.06697209      0.01342833 md_running
    44     22.00000000     67.74567824      6.53814300    691.38435904    300.00000000      0.99971921      0.07882152     -5.72989046      0.12824194     -5.60164852      0.07231324      0.05547798      0.07109117      0.01446265 md_running
    45     22.50000000     67.96534080      6.47505753    706.42516547    300.00000000      0.99971448      0.08053625     -5.72918748      0.12577911     -5.60340837      0.07727905      0.05494269      0.07513508      0.01545581 md_running
    46     23.00000000     68.18302641      6.41149208    721.47221587    300.00000000      0.99970997      0.08225169     -5.72849263      0.12332169     -5.60517094      0.08153389      0.05440331      0.07855320      0.01630678 md_running
    47     23.50000000     68.39585129      6.34749425    736.62604424    300.00000000      0.99970562      0.08397931     -5.72781949      0.12087205     -5.60694744      0.08474474      0.05386027      0.08098036      0.01694895 md_running
    48     24.00000000     68.60926729      6.28311100    751.96670317    300.00000000      0.99970141      0.08572823     -5.72717957      0.11843245     -5.60874711      0.08672225      0.05331396      0.08220874      0.01734445 md_running
    49     24.50000000     68.82648988      6.21838745    767.55014189    300.00000000      0.99969731      0.08750482     -5.72658146      0.11600503     -5.61057644      0.08742396      0.05276477      0.08217216      0.01748479 md_running
    50     25.00000000     69.04144777      6.15336634    783.40830861    300.00000000      0.99969331      0.08931274     -5.72603078      0.11359175     -5.61243903      0.08691485      0.05221304      0.08093434      0.01738297 md_running
    51     25.50000000     69.25260420      6.08808676    799.53207833    300.00000000      0.99968940      0.09115094     -5.72552891      0.11119440     -5.61433451      0.08541162      0.05165913      0.07866879      0.01708232 md_running
