  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      0.15617519      1.79664041    950.35426864    300.00000000      0.99965720      0.10383108     -5.11829723      0.01613958     -5.10215765      0.15788088      0.02540833      0.15677327      0.03222730 md_running
     2      1.00000000      0.36678535      1.79809509    944.58604733    300.00000000      0.99965804      0.10320087     -5.11775979      0.01616573     -5.10159406      0.16684820      0.02542890      0.16545677      0.03405775 md_running
     3      1.50000000      0.58671866      1.79969289    937.86039299    300.00000000      0.99965911      0.10246606     -5.11711924      0.01619447     -5.10092476      0.17637696      0.02545150      0.17473007      0.03600280 md_running
     4      2.00000000      0.80664536      1.80150265    930.83899518    300.00000000      0.99966030      0.10169893     -5.11644897      0.01622706     -5.10022191      0.18571240      0.02547709      0.18384264      0.03790838 md_running
     5      2.50000000      1.03096348      1.80359025    924.26813795    300.00000000      0.99966150      0.10098103     -5.11583157      0.01626469     -5.09956688      0.19420582      0.02550662      0.19214226      0.03964210 md_running
     6      3.00000000      1.25024270      1.80601645    918.96980834    300.00000000      0.99966257      0.10040217     -5.11535866      0.01630848     -5.09905019      0.20131468      0.02554093      0.19907886      0.04109319 md_running
     7      3.50000000      1.46789174      1.80883580    915.77753379    300.00000000      0.99966335      0.10005339     -5.11512335      0.01635943     -5.09876392      0.20661175      0.02558080      0.20421915      0.04217445 md_running
     8      4.00000000      1.68890989      1.81209561    915.43193255    300.00000000      0.99966368      0.10001563     -5.11520833      0.01641845     -5.09878987      0.20980924      0.02562690      0.20727225      0.04282713 md_running
     9      4.50000000      1.91498166      1.81583485    918.49536317    300.00000000      0.99966346      0.10035033     -5.11567631      0.01648628     -5.09919003      0.21078798      0.02567978      0.20811293      0.04302692 md_running
    10      5.00000000      2.14031815      1.82008424    925.30801284    300.00000000      0.99966259      0.10109465     -5.11656599      0.01656353     -5.10000245      0.20957793      0.02573988      0.20676366      0.04277992 md_running
    11      5.50000000      2.36045636      1.82486734    935.94044457    300.00000000      0.99966106      0.10225629     -5.11788581      0.01665070     -5.10123510      0.20633201      0.02580752      0.20337023      0.04211735 md_running
    12      6.00000000      2.58549745      1.83020185    950.14126493    300.00000000      0.99965892      0.10380781     -5.11960997      0.01674819     -5.10286178      0.20126961      0.02588296      0.19815027      0.04108399 md_running
    13      6.50000000      2.80533668      1.83609978    967.32231019    300.00000000      0.99965630      0.10568492     -5.12167422      0.01685631     -5.10481791      0.19468964      0.02596637      0.19140543      0.03974086 md_running
    14      7.00000000      3.02608240      1.84256695    986.59270880    300.00000000      0.99965335      0.10779031     -5.12398136      0.01697526     -5.10700609      0.18696632      0.02605783      0.18351515      0.03816434 md_running
