  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.01807467      9.48520656    151.72505596    300.00000000      1.00049988      0.01873892     -5.84839992      0.26990743     -5.57849249      0.07347263      0.08048465      0.12196633      0.01413982 md_running
     2      1.00000000     20.28238694      9.47101382    156.28693774    300.00000000      1.00047501      0.01930234     -5.84813745      0.26910031     -5.57903714      0.07522291      0.08036422      0.12336160      0.01447666 md_running
     3      1.50000000     39.28758667      9.45432054    162.33767723    300.00000000      1.00044250      0.02004964     -5.84791963      0.26815253     -5.57976710      0.07426310      0.08022257      0.12236015      0.01429194 md_running
     4      2.00000000     39.53103225      9.43513846    169.83166676    300.00000000      1.00040393      0.02097520     -5.84774227      0.26706551     -5.58067676      0.07067508      0.08005980      0.11901861      0.01360143 md_running
     5      2.50000000     43.39137404      9.41350775    178.63250033    300.00000000      1.00036145      0.02206215     -5.84759185      0.26584238     -5.58174947      0.06484119      0.07987626      0.11364351      0.01247869 md_running
     6      3.00000000     48.37355218      9.38949567    188.52686950    300.00000000      1.00031734      0.02328416     -5.84744667      0.26448789     -5.58295878      0.05750333      0.07967251      0.10678660      0.01106652 md_running
     7      3.50000000     48.60130678      9.36319396    199.24407272    300.00000000      1.00027365      0.02460780     -5.84727954      0.26300820     -5.58427133      0.04988070      0.07944934      0.09921302      0.00959955 md_running
     8      4.00000000     48.81718682      9.33471513    210.48021387    300.00000000      1.00023198      0.02599553     -5.84706005      0.26141072     -5.58564933      0.04388143      0.07920768      0.09188387      0.00844498 md_running
     9      4.50000000     49.03335860      9.30418783    221.92772737    300.00000000      1.00019340      0.02740936     -5.84675844      0.25970373     -5.58705471      0.04188220      0.07894865      0.08584932      0.00806023 md_running
    10      5.00000000     49.24033303      9.27175197    233.30696289    300.00000000      1.00015850      0.02881476     -5.84634879      0.25789615     -5.58845264      0.04528239      0.07867342      0.08205098      0.00871460 md_running
    11      5.50000000     49.45418754      9.23755414    244.39915200    300.00000000      1.00012745      0.03018471     -5.84581312      0.25599722     -5.58981590      0.05321047      0.07838325      0.08107833      0.01024036 md_running
    12      6.00000000     49.68565072      9.20174347    255.07873110    300.00000000      1.00010008      0.03150370     -5.84514479      0.25401625     -5.59112855      0.06368051      0.07807938      0.08292820      0.01225532 md_running
    13      6.50000000     56.34339342      9.16446781    265.33819653    300.00000000      1.00007598      0.03277081     -5.84435213      0.25196241     -5.59238972      0.07501885      0.07776309      0.08701192      0.01443738 md_running
    14      7.00000000     56.59342746      9.12587016    275.29674697    300.00000000      1.00005452      0.03400074     -5.84345861      0.24984452     -5.59361409      0.08611429      0.07743558      0.09241755      0.01657270 md_running
    15      7.50000000     61.46107837      9.08608568    285.18716316    300.00000000      1.00003498      0.03522227     -5.84250157      0.24767086     -5.59483071      0.09624227      0.07709799      0.09822043      0.01852183 md_running
    16      8.00000000     61.69221353      9.04523891    295.31980752    300.00000000      1.00001664      0.03647371     -5.84152737      0.24544904     -5.59607833      0.10493940      0.07675140      0.10365335      0.02019560 md_running
