  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.44174754      0.09876270      0.24358328   1000.00000000      1.41385996      0.00004050     -7.59731241      0.00121306     -7.59609935      0.07361936      0.01228259      0.06956235      0.01226989 md_running
     2      1.00000000     21.71193876      0.09862298      2.80319282   1000.00000000      1.41385996      0.00046605     -7.59750572      0.00242612     -7.59507959      0.07102293      0.02459997      0.06575781      0.01183716 md_running
     3      1.50000000     40.65534588      0.10150710      7.13556439   1000.00000000      1.11510846      0.00118634     -7.59789483      0.00363918     -7.59425565      0.06524936      0.03585152      0.06360122      0.01087489 md_running
     4      2.00000000     40.91284446      0.11148428     13.42985484   1000.00000000      1.05172313      0.00223282     -7.59831832      0.00485225     -7.59346608      0.05777670      0.04352403      0.06293646      0.00962945 md_running
     5      2.50000000     41.18228657      0.13176905     21.92269778   1000.00000000      1.02875688      0.00364482     -7.59862425      0.00606531     -7.59255895      0.05026832      0.04602983      0.06012822      0.00837805 md_running
     6      3.00000000     46.19579019      0.16322506     31.68177113   1000.00000000      1.01828293      0.00526734     -7.59865139      0.00727837     -7.59137302      0.04536833      0.04459099      0.05447862      0.00756139 md_running
     7      3.50000000     46.45962947      0.20431938     40.94398784   1000.00000000      1.01318017      0.00680726     -7.59826103      0.00849143     -7.58976960      0.04619312      0.04155959      0.04980293      0.00769885 md_running
     8      4.00000000     46.75466655      0.25236209     48.32393643   1000.00000000      1.01059242      0.00803423     -7.59740308      0.00970449     -7.58769859      0.05334565      0.03845463      0.05051760      0.00889094 md_running
     9      4.50000000     57.31530352      0.30458793     53.56138855   1000.00000000      1.00924063      0.00890500     -7.59616395      0.01091755     -7.58524640      0.06408062      0.03584368      0.05713307      0.01068010 md_running
    10      5.00000000     57.57938680      0.35872711     57.52995796   1000.00000000      1.00847870      0.00956480     -7.59476297      0.01213061     -7.58263236      0.07504798      0.03381571      0.06637901      0.01250800 md_running
    11      5.50000000     57.83130686      0.41329513     61.77593027   1000.00000000      1.00790672      0.01027073     -7.59348973      0.01334367     -7.58014606      0.08376287      0.03228607      0.07479471      0.01396048 md_running
    12      6.00000000     58.08752039      0.46772358     67.83235595   1000.00000000      1.00726655      0.01127766     -7.59260096      0.01455674     -7.57804423      0.08876088      0.03112252      0.08024846      0.01479348 md_running
    13      6.50000000     58.33598161      0.52233048     76.55640090   1000.00000000      1.00647330      0.01272810     -7.59221743      0.01576980     -7.57644763      0.08961000      0.03019123      0.08194369      0.01493500 md_running
    14      7.00000000     58.58921033      0.57810026     87.74678842   1000.00000000      1.00561163      0.01458859     -7.59226849      0.01698286     -7.57528564      0.08693409      0.02937701      0.08026417      0.01448901 md_running
    15      7.50000000     58.86774105      0.63629913    100.19694309   1000.00000000      1.00482204      0.01665852     -7.59251179      0.01819592     -7.57431587      0.08235654      0.02859649      0.07661986      0.01372609 md_running
    16      8.00000000     63.78668578      0.69802728    112.14218746   1000.00000000      1.00419420      0.01864451     -7.59262021      0.01940898     -7.57321123      0.07818882      0.02780548      0.07312673      0.01303147 md_running
    17      8.50000000     64.05340384      0.76385851    121.88875504   1000.00000000      1.00374973      0.02026496     -7.59229734      0.02062204     -7.57167529      0.07667665      0.02699720      0.07191215      0.01277944 md_running
    18      9.00000000     64.29301716      0.83368103    128.37359749   1000.00000000      1.00347136      0.02134311     -7.59137271      0.02183510     -7.56953761      0.07893008      0.02619120      0.07412998      0.01315501 md_running
