  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.48634550      0.09954302      0.18365730   1000.00000000      1.41385996      0.00003053     -7.59796454      0.00121306     -7.59675148      0.06047523      0.01218630      0.05619667      0.01007920 md_running
     2      1.00000000     21.66621283      0.09936707      2.11821197   1000.00000000      1.41385996      0.00035217     -7.59811121      0.00242612     -7.59568508      0.05841224      0.02441576      0.05312206      0.00973537 md_running
     3      1.50000000     40.63119894      0.10204578      5.82371046   1000.00000000      1.14952216      0.00096824     -7.59839989      0.00363918     -7.59476071      0.05396455      0.03566227      0.05283373      0.00899409 md_running
     4      2.00000000     44.60055710      0.11158664     11.35825792   1000.00000000      1.06295785      0.00188840     -7.59871203      0.00485225     -7.59385978      0.04833377      0.04348411      0.05448250      0.00805563 md_running
     5      2.50000000     44.85602343      0.13110876     19.08539750   1000.00000000      1.03376167      0.00317310     -7.59891747      0.00606531     -7.59285216      0.04324472      0.04626164      0.05408720      0.00720745 md_running
     6      3.00000000     45.13010376      0.16158087     28.29535637   1000.00000000      1.02085508      0.00470432     -7.59888175      0.00727837     -7.59160338      0.04115344      0.04504474      0.05093042      0.00685891 md_running
     7      3.50000000     50.28153190      0.20172312     37.44508234   1000.00000000      1.01466097      0.00622554     -7.59848994      0.00849143     -7.58999851      0.04428094      0.04209448      0.04853765      0.00738016 md_running
     8      4.00000000     50.54199988      0.24911369     45.24384661   1000.00000000      1.01150247      0.00752214     -7.59770124      0.00970449     -7.58799675      0.05226650      0.03895607      0.05051629      0.00871108 md_running
     9      4.50000000     50.81458498      0.30121139     51.36189461   1000.00000000      1.00978961      0.00853932     -7.59658964      0.01091755     -7.58567209      0.06251228      0.03624548      0.05691912      0.01041871 md_running
    10      5.00000000     55.91042997      0.35590774     56.44894617   1000.00000000      1.00875856      0.00938508     -7.59533851      0.01213061     -7.58320789      0.07226379      0.03408359      0.06493909      0.01204396 md_running
    11      5.50000000     62.50635879      0.41178863     61.71296802   1000.00000000      1.00798417      0.01026026     -7.59418301      0.01334367     -7.58083934      0.07945936      0.03240418      0.07167970      0.01324323 md_running
    12      6.00000000     62.77183952      0.46822713     68.30989564   1000.00000000      1.00722962      0.01135705     -7.59332115      0.01455674     -7.57876441      0.08288396      0.03108905      0.07531651      0.01381399 md_running
    13      6.50000000     63.02176233      0.52532082     76.78099837   1000.00000000      1.00642488      0.01276544     -7.59282780      0.01576980     -7.57705800      0.08227725      0.03001936      0.07521823      0.01371287 md_running
    14      7.00000000     63.27586386      0.58366871     86.76838778   1000.00000000      1.00562782      0.01442592     -7.59261599      0.01698286     -7.57563313      0.07840449      0.02909674      0.07189493      0.01306742 md_running
    15      7.50000000     63.53185236      0.64403456     97.12562168   1000.00000000      1.00493180      0.01614789     -7.59246583      0.01819592     -7.57426991      0.07300741      0.02825302      0.06688421      0.01216790 md_running
    16      8.00000000     63.76836801      0.70699448    106.34992810   1000.00000000      1.00439523      0.01768151     -7.59210590      0.01940898     -7.57269692      0.06849745      0.02745280      0.06246639      0.01141624 md_running
    17      8.50000000     63.99618029      0.77268253    113.13040598   1000.00000000      1.00403085      0.01880881     -7.59131162      0.02062204     -7.57068958      0.06714327      0.02668889      0.06093519      0.01119055 md_running
    18      9.00000000     64.24898893      0.84070800    116.79267018   1000.00000000      1.00382395      0.01941769     -7.58998001      0.02183510     -7.56814490      0.06986897      0.02597228      0.06338687      0.01164483 md_running
    19      9.50000000     64.48953811      0.91024228    117.50178637   1000.00000000      1.00374752      0.01953559     -7.58815889      0.02304817     -7.56511073      0.07579964      0.02532091      0.06908818      0.01263327 md_running
    20     10.00000000     64.75110001      0.98020863    116.21000170   1000.00000000      1.00376671      0.01932082     -7.58603194      0.02426123     -7.56177071      0.08312618      0.02475108      0.07627629      0.01385436 md_running
    21     10.50000000     65.01744450      1.04950796    114.40877344   1000.00000000      1.00383539      0.01902135     -7.58387124      0.02547429     -7.55839695      0.09015370      0.02427260      0.08325720      0.01502562 md_running
    22     11.00000000     65.27956225      1.11722098    113.76984562   1000.00000000      1.00389367      0.01891512     -7.58197268      0.02668735     -7.55528533      0.09569073      0.02388726      0.08883301      0.01594845 md_running
    23     11.50000000     65.53795124      1.18275274    115.77607397   1000.00000000      1.00387677      0.01924868     -7.58059224      0.02790041     -7.55269183      0.09900470      0.02358939      0.09226218      0.01650078 md_running
    24     12.00000000     65.79373688      1.24590853    121.41805540   1000.00000000      1.00373969      0.02018670     -7.57989447      0.02911347     -7.55078100      0.09970126      0.02336726      0.09313944      0.01661688 md_running
    25     12.50000000     66.04588235      1.30690453    131.00020407   1000.00000000      1.00348233      0.02177981     -7.57992118      0.03032653     -7.54959464      0.09766234      0.02320486      0.09133224      0.01627706 md_running
    26     13.00000000     66.30349574      1.36632000    144.08203047   1000.00000000      1.00314870      0.02395476     -7.58058267      0.03153959     -7.54904307      0.09306569      0.02308361      0.08699993      0.01551095 md_running
    27     13.50000000     66.57328534      1.42499879    159.57033868   1000.00000000      1.00279864      0.02652981     -7.58167426      0.03275266     -7.54892161      0.08647260      0.02298434      0.08068279      0.01441210 md_running
    28     14.00000000     66.82815188      1.48391235    175.96892440   1000.00000000      1.00247927      0.02925621     -7.58292131      0.03396572     -7.54895560      0.07897809      0.02288930      0.07347180      0.01316301 md_running
    29     14.50000000     67.08500867      1.54401427    191.75305831   1000.00000000      1.00221454      0.03188044     -7.58404465      0.03517878     -7.54886587      0.07231389      0.02278397      0.06713118      0.01205231 md_running
    30     15.00000000     67.32819837      1.60611359    205.79230108   1000.00000000      1.00200915      0.03421458     -7.58483503      0.03639184     -7.54844319      0.06857240      0.02265832      0.06382828      0.01142873 md_running
    31     15.50000000     67.55995417      1.67080140    217.71004021   1000.00000000      1.00185574      0.03619599     -7.58521606      0.03760490     -7.54761116      0.06912141      0.02250710      0.06495576      0.01152024 md_running
    32     16.00000000     67.80968620      1.73844983    228.03905215   1000.00000000      1.00174016      0.03791327     -7.58527118      0.03881796     -7.54645321      0.07333205      0.02232907      0.06977671      0.01222201 md_running
    33     16.50000000     68.06807739      1.80927958    238.06655671   1000.00000000      1.00164508      0.03958042     -7.58521700      0.04003102     -7.54518598      0.07881281      0.02212539      0.07578620      0.01313547 md_running
    34     17.00000000     68.31982568      1.88347047    249.34207617   1000.00000000      1.00155366      0.04145507     -7.58531743      0.04124408     -7.54407334      0.08291727      0.02189792      0.08031421      0.01381954 md_running
    35     17.50000000     68.58556551      1.96126216    263.00054967   1000.00000000      1.00145464      0.04372589     -7.58576581      0.04245715     -7.54330866      0.08386810      0.02164787      0.08160684      0.01397802 md_running
    36     18.00000000     68.82498867      2.04299869    279.20454816   1000.00000000      1.00134624      0.04641994     -7.58658776      0.04367021     -7.54291756      0.08119084      0.02137554      0.07920316      0.01353181 md_running
    37     18.50000000     69.08004046      2.12909202    296.98092285   1000.00000000      1.00123549      0.04937540     -7.58761365      0.04488327     -7.54273038      0.07580897      0.02108094      0.07401229      0.01263483 md_running
    38     19.00000000     69.32286172      2.21991917    314.54683190   1000.00000000      1.00113309      0.05229587     -7.58853706      0.04609633     -7.54244073      0.06992139      0.02076487      0.06819837      0.01165357 md_running
    39     19.50000000     69.57061321      2.31569874    329.95030978   1000.00000000      1.00104793      0.05485681     -7.58902685      0.04730939     -7.54171746      0.06643355      0.02042986      0.06463955      0.01107226 md_running
    40     20.00000000     69.83310118      2.41639513    341.72189242   1000.00000000      1.00098449      0.05681393     -7.58883936      0.04852245     -7.54031690      0.06757222      0.02008051      0.06559082      0.01126204 md_running
    41     20.50000000     70.08769369      2.52168621    349.30880628   1000.00000000      1.00094293      0.05807532     -7.58789102      0.04973551     -7.53815551      0.07338200      0.01972312      0.07117077      0.01223033 md_running
    42     21.00000000     70.35188451      2.63100344    353.19348198   1000.00000000      1.00092011      0.05872117     -7.58627877      0.05094858     -7.53533019      0.08198434      0.01936469      0.07955646      0.01366406 md_running
    43     21.50000000     70.61974310      2.74362811    354.72418018   1000.00000000      1.00091048      0.05897566     -7.58424589      0.05216164     -7.53208426      0.09113285      0.01901192      0.08852822      0.01518881 md_running
    44     22.00000000     70.88325402      2.85881753    355.72177839   1000.00000000      1.00090684      0.05914152     -7.58211568      0.05337470     -7.52874098      0.09916331      0.01867020      0.09642175      0.01652722 md_running
    45     22.50000000     71.13660474      2.97591235    358.02437970   1000.00000000      1.00090157      0.05952435     -7.58020917      0.05458776     -7.52562141      0.10505191      0.01834320      0.10221558      0.01750865 md_running
    46     23.00000000     71.38902051      3.09442372    363.10725444   1000.00000000      1.00088805      0.06036942     -7.57878339      0.05580082     -7.52298257      0.10827066      0.01803270      0.10538494      0.01804511 md_running
    47     23.50000000     71.63822041      3.21408855    371.78947015   1000.00000000      1.00086231      0.06181290     -7.57798013      0.05701388     -7.52096625      0.10868160      0.01773874      0.10578934      0.01811360 md_running
    48     24.00000000     71.90142107      3.33488018    384.08490318   1000.00000000      1.00082421      0.06385711     -7.57780136      0.05822694     -7.51957442      0.10648474      0.01745998      0.10362823      0.01774746 md_running
    49     24.50000000     72.14532872      3.45698501    399.22886581   1000.00000000      1.00077711      0.06637492     -7.57811457      0.05944000     -7.51867456      0.10225069      0.01719418      0.09947391      0.01704178 md_running
    50     25.00000000     72.40187783      3.58074976    415.87645560   1000.00000000      1.00072643      0.06914271     -7.57868607      0.06065307     -7.51803301      0.09697755      0.01693865      0.09433399      0.01616292 md_running
    51     25.50000000     72.66834797      3.70661276    432.45742974   1000.00000000      1.00067762      0.07189942     -7.57924300      0.06186613     -7.51737687      0.09208480      0.01669075      0.08964513      0.01534747 md_running
    52     26.00000000     72.93462956      3.83503100    447.61799635   1000.00000000      1.00063467      0.07441999     -7.57954866      0.06307919     -7.51646947      0.08910301      0.01644816      0.08695066      0.01485050 md_running
    53     26.50000000     73.19366248      3.96641862    460.63813030   1000.00000000      1.00059941      0.07658468     -7.57947318      0.06429225     -7.51518093      0.08900163      0.01620915      0.08720079      0.01483361 md_running
    54     27.00000000     73.45781245      4.10110539    471.70560065   1000.00000000      1.00057137      0.07842474     -7.57904350      0.06550531     -7.51353819      0.09145852      0.01597260      0.09002312      0.01524309 md_running
    55     27.50000000     73.71211705      4.23932902    481.87185666   1000.00000000      1.00054816      0.08011496     -7.57843732      0.06671837     -7.51171895      0.09483312      0.01573796      0.09371707      0.01580552 md_running
    56     28.00000000     73.99409839      4.38124004    492.59994957   1000.00000000      1.00052631      0.08189859     -7.57790375      0.06793143     -7.50997232      0.09698349      0.01550507      0.09609858      0.01616391 md_running
    57     28.50000000     74.25351401      4.52689936    505.11551687   1000.00000000      1.00050276      0.08397940     -7.57765362      0.06914449     -7.50850913      0.09616646      0.01527415      0.09541379      0.01602774 md_running
    58     29.00000000     74.50802096      4.67628083    519.82900273   1000.00000000      1.00047605      0.08642563     -7.57776090      0.07035755     -7.50740335      0.09165235      0.01504563      0.09092265      0.01527539 md_running
    59     29.50000000     74.75922334      4.82926104    536.06006681   1000.00000000      1.00044700      0.08912417     -7.57811350      0.07157061     -7.50654288      0.08397483      0.01482021      0.08312877      0.01399580 md_running
    60     30.00000000     75.01611440      4.98559228    552.22473061   1000.00000000      1.00041816      0.09181167     -7.57844731      0.07278367     -7.50566364      0.07491158      0.01459881      0.07375653      0.01248526 md_running
    61     30.50000000     75.28115448      5.14486826    566.40457892   1000.00000000      1.00039266      0.09416918     -7.57844184      0.07399673     -7.50444511      0.06725245      0.01438264      0.06556067      0.01120874 md_running
    62     31.00000000     75.54696848      5.30650889    577.00495223   1000.00000000      1.00037292      0.09593158     -7.57783474      0.07520979     -7.50262495      0.06401054      0.01417314      0.06163531      0.01066842 md_running
    63     31.50000000     75.81321229      5.46976718    583.27326111   1000.00000000      1.00036014      0.09697373     -7.57650829      0.07642285     -7.50008544      0.06660187      0.01397188      0.06363328      0.01110031 md_running
    64     32.00000000     76.08212364      5.63377978    585.49304835   1000.00000000      1.00035407      0.09734279     -7.57452197      0.07763591     -7.49688606      0.07376700      0.01378045      0.07042052      0.01229450 md_running
    65     32.50000000     76.34196821      5.79762997    584.83027085   1000.00000000      1.00035330      0.09723260     -7.57208345      0.07884896     -7.49323449      0.08294646      0.01360023      0.07937726      0.01382441 md_running
    66     33.00000000     76.59712932      5.96041723    583.01545999   1000.00000000      1.00035558      0.09693087     -7.56949448      0.08006202     -7.48943246      0.09195619      0.01343232      0.08823832      0.01532603 md_running
    67     33.50000000     76.85610166      6.12133251    581.94575584   1000.00000000      1.00035817      0.09675302     -7.56708165      0.08127507     -7.48580658      0.09942215      0.01327739      0.09558534      0.01657036 md_running
    68     34.00000000     77.11431477      6.27972155    583.31356737   1000.00000000      1.00035833      0.09698043     -7.56513690      0.08248813     -7.48264877      0.10456531      0.01313568      0.10062612      0.01742755 md_running
    69     34.50000000     77.37770823      6.43514207    588.27003396   1000.00000000      1.00035388      0.09780448     -7.56385715      0.08370118     -7.48015597      0.10704729      0.01300695      0.10301340      0.01784122 md_running
    70     35.00000000     77.63833301      6.58738862    597.17544736   1000.00000000      1.00034385      0.09928508     -7.56330415      0.08491423     -7.47838992      0.10689718      0.01289049      0.10277431      0.01781620 md_running
    71     35.50000000     77.89534783      6.73649345    609.56031654   1000.00000000      1.00032873      0.10134416     -7.56339438      0.08612728     -7.47726710      0.10448754      0.01278526      0.10029103      0.01741459 md_running
    72     36.00000000     78.14922571      6.88271319    624.32620006   1000.00000000      1.00031017      0.10379910     -7.56393742      0.08734033     -7.47659709      0.10059726      0.01268990      0.09637850      0.01676621 md_running
    73     36.50000000     78.40378444      7.02652015    640.00339467   1000.00000000      1.00029030      0.10640556     -7.56467947      0.08855337     -7.47612610      0.09648425      0.01260284      0.09233686      0.01608071 md_running
    74     37.00000000     78.66566306      7.16854792    655.09883557   1000.00000000      1.00027124      0.10891529     -7.56535636      0.08976642     -7.47558995      0.09368354      0.01252238      0.08975958      0.01561392 md_running
    75     37.50000000     78.93047926      7.30953549    668.57729243   1000.00000000      1.00025448      0.11115619     -7.56578221      0.09097946     -7.47480275      0.09348220      0.01244681      0.08995835      0.01558037 md_running
    76     38.00000000     79.19642984      7.45026522    680.22796684   1000.00000000      1.00024051      0.11309321     -7.56590906      0.09219250     -7.47371656      0.09613886      0.01237454      0.09313046      0.01602314 md_running
