  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.45782184      0.09818153      0.36451344    300.00000000      1.13973681      0.00006060     -7.58916610      0.00030327     -7.58886283      0.07534037      0.00308882      0.07411399      0.01255673 md_running
     2      1.00000000     21.49220518      0.09554054      3.24669985    300.00000000      1.11018241      0.00053979     -7.58956205      0.00060653     -7.58895552      0.07256283      0.00634841      0.07046686      0.01209380 md_running
     3      1.50000000     40.06675992      0.09288769      7.84649039    300.00000000      1.02767557      0.00130454     -7.59028426      0.00090980     -7.58937446      0.06732479      0.00979458      0.06534726      0.01122080 md_running
     4      2.00000000     43.87223763      0.09528437     13.42431124    300.00000000      1.01372804      0.00223190     -7.59112748      0.00121306     -7.58991441      0.06107261      0.01273096      0.06053939      0.01017877 md_running
     5      2.50000000     53.81468873      0.10710796     19.30048282    300.00000000      1.00863381      0.00320886     -7.59189822      0.00151633     -7.59038189      0.05586392      0.01415699      0.05676198      0.00931065 md_running
     6      3.00000000     54.02140918      0.12914863     24.56671620    300.00000000      1.00624669      0.00408441     -7.59242258      0.00181959     -7.59060299      0.05445568      0.01408913      0.05506190      0.00907595 md_running
     7      3.50000000     54.23195008      0.15869066     28.30410006    300.00000000      1.00507478      0.00470578     -7.59259418      0.00212286     -7.59047133      0.05866289      0.01337733      0.05772359      0.00977715 md_running
     8      4.00000000     54.43529147      0.19194984     30.30699448    300.00000000      1.00454402      0.00503877     -7.59244052      0.00242612     -7.59001440      0.06718188      0.01263936      0.06484952      0.01119698 md_running
     9      4.50000000     54.63456127      0.22567565     31.41814909    300.00000000      1.00433004      0.00522351     -7.59214667      0.00272939     -7.58941728      0.07653215      0.01209430      0.07348035      0.01275536 md_running
    10      5.00000000     54.83777169      0.25774979     33.18394466    300.00000000      1.00416173      0.00551709     -7.59199590      0.00303265     -7.58896324      0.08332625      0.01176588      0.08012113      0.01388771 md_running
    11      5.50000000     55.09073985      0.28744049     37.09269038    300.00000000      1.00381224      0.00616695     -7.59224489      0.00333592     -7.58890897      0.08539732      0.01160560      0.08245458      0.01423289 md_running
    12      6.00000000     55.28434113      0.31544710     43.82739853    300.00000000      1.00324228      0.00728665     -7.59299862      0.00363918     -7.58935943      0.08219240      0.01153659      0.07985469      0.01369873 md_running
    13      6.50000000     55.48551810      0.34362798     52.95571682    300.00000000      1.00261209      0.00880430     -7.59416059      0.00394245     -7.59021814      0.07475776      0.01147302      0.07331535      0.01245963 md_running
    14      7.00000000     55.68874081      0.37437037     63.18990116    300.00000000      1.00207829      0.01050581     -7.59548457      0.00424571     -7.59123886      0.06536374      0.01134095      0.06499285      0.01089396 md_running
    15      7.50000000     55.87314250      0.40977898     72.97914397    300.00000000      1.00169055      0.01213335     -7.59668700      0.00454898     -7.59213802      0.05693600      0.01110106      0.05756824      0.00948933 md_running
    16      8.00000000     56.06990146      0.45103279     81.07698757    300.00000000      1.00143287      0.01347968     -7.59755013      0.00485225     -7.59269788      0.05220934      0.01075808      0.05342763      0.00870156 md_running
    17      8.50000000     56.27747280      0.49818426     86.86075565    300.00000000      1.00127307      0.01444128     -7.59797644      0.00515551     -7.59282093      0.05237189      0.01034860      0.05357302      0.00872865 md_running
    18      9.00000000     56.50908797      0.55038614     90.39547492    300.00000000      1.00118186      0.01502895     -7.59799274      0.00545878     -7.59253397      0.05637093      0.00991808      0.05715684      0.00939516 md_running
    19      9.50000000     63.03667543      0.60631488     92.32017078    300.00000000      1.00113478      0.01534895     -7.59772448      0.00576204     -7.59196244      0.06208106      0.00950338      0.06237764      0.01034684 md_running
    20     10.00000000     63.25458269      0.66457290     93.62912285    300.00000000      1.00110999      0.01556657     -7.59735359      0.00606531     -7.59128829      0.06767393      0.00912662      0.06757725      0.01127899 md_running
    21     10.50000000     63.51604183      0.72396972     95.41152671    300.00000000      1.00108701      0.01586291     -7.59707357      0.00636857     -7.59070499      0.07196647      0.00879674      0.07161007      0.01199441 md_running
    22     11.00000000     63.72205641      0.78367216     98.59296676    300.00000000      1.00104871      0.01639185     -7.59704574      0.00667184     -7.59037391      0.07427884      0.00851356      0.07378240      0.01237981 md_running
    23     11.50000000     63.93400864      0.84325014    103.72325784    300.00000000      1.00098586      0.01724480     -7.59736450      0.00697510     -7.59038940      0.07428162      0.00827169      0.07374031      0.01238027 md_running
    24     12.00000000     64.14683129      0.90264640    110.83913043    300.00000000      1.00090030      0.01842787     -7.59803472      0.00727837     -7.59075635      0.07196742      0.00806337      0.07145220      0.01199457 md_running
    25     12.50000000     64.35950980      0.96208827    119.43042997    300.00000000      1.00080301      0.01985624     -7.59896762      0.00758163     -7.59138599      0.06773059      0.00788039      0.06729056      0.01128843 md_running
    26     13.00000000     64.57174184      1.02196156    128.53545477    300.00000000      1.00070792      0.02137002     -7.59999711      0.00788490     -7.59211221      0.06253670      0.00771546      0.06219868      0.01042278 md_running
    27     13.50000000     64.78602069      1.08266869    136.97004293    300.00000000      1.00062630      0.02277234     -7.60091893      0.00818816     -7.59273077      0.05809823      0.00756295      0.05786259      0.00968304 md_running
    28     14.00000000     65.00050046      1.14450071    143.66992684    300.00000000      1.00056445      0.02388625     -7.60154910      0.00849143     -7.59305767      0.05665061      0.00741933      0.05648767      0.00944177 md_running
    29     14.50000000     65.21398434      1.20755814    148.06509223    300.00000000      1.00052381      0.02461698     -7.60178868      0.00879469     -7.59299399      0.05959391      0.00728304      0.05945474      0.00993232 md_running
    30     15.00000000     65.41696549      1.27174434    150.34448315    300.00000000      1.00050176      0.02499594     -7.60166874      0.00909796     -7.59257078      0.06599513      0.00715392      0.06584200      0.01099919 md_running
    31     15.50000000     65.66487375      1.33683405    151.45973558    300.00000000      1.00049211      0.02518136     -7.60135237      0.00940123     -7.59195115      0.07311970      0.00703245      0.07294287      0.01218662 md_running
    32     16.00000000     65.87671982      1.40259349    152.78032439    300.00000000      1.00048593      0.02540092     -7.60107508      0.00970449     -7.59137059      0.07814239      0.00691896      0.07795183      0.01302373 md_running
    33     16.50000000     66.08843831      1.46890063    155.49617273    300.00000000      1.00047414      0.02585245     -7.60104156      0.01000776     -7.59103381      0.07925176      0.00681309      0.07906199      0.01320863 md_running
    34     17.00000000     66.27523437      1.53580685    160.07398338    300.00000000      1.00045162      0.02661355     -7.60133110      0.01031102     -7.59102008      0.07602877      0.00671375      0.07584790      0.01267146 md_running
    35     17.50000000     66.47471835      1.60351238    166.07656967    300.00000000      1.00041980      0.02761153     -7.60186660      0.01061429     -7.59125231      0.06935522      0.00661940      0.06917497      0.01155920 md_running
    36     18.00000000     66.68070914      1.67226913    172.41379656    300.00000000      1.00038500      0.02866514     -7.60245990      0.01091755     -7.59154235      0.06104999      0.00652859      0.06083631      0.01017500 md_running
    37     18.50000000     66.88299953      1.74225788    177.82765311    300.00000000      1.00035425      0.02956524     -7.60289566      0.01122082     -7.59167484      0.05336059      0.00644039      0.05304703      0.00889343 md_running
