  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     11.43509387      0.86652403     48.73344375    300.00000000      1.13973681      0.00810232     -4.91579358     -0.00030327     -4.91609684      1.59732948      0.00034998      1.59738803      0.26622158 md_running
     2      1.00000000     22.63725389      0.86105848    426.31840825    300.00000000      1.00037321      0.07087876     -4.97422752     -0.00060653     -4.97483405      1.95636707      0.00070440      1.95649888      0.32606118 md_running
     3      1.50000000     41.89667221      0.84846640   1412.57263984    300.00000000      0.99968863      0.23485123     -5.13400647     -0.00090980     -5.13491627      2.44637095      0.00107228      2.44659013      0.40772849 md_running
     4      2.00000000     42.16437776      0.82615439   3276.02366068    300.00000000      0.99956778      0.54466450     -5.44768813     -0.00082336     -5.44851149      2.65874802      0.00099662      2.65896481      0.44312467 md_running
     5      2.50000000     46.09561823      0.79263198   5964.45077038    300.00000000      0.99953281      0.99163650     -5.90560850     -0.00049912     -5.90610763      2.53362182      0.00062970      2.53376460      0.42227030 md_running
     6      3.00000000     46.32579006      0.74812834   8699.85684217    300.00000000      0.99951970      1.44641911     -6.37089117     -0.00036059     -6.37125176      1.66720397      0.00048199      1.66731513      0.27786733 md_running
     7      3.50000000     51.35762985      0.69647362  10566.66249924    300.00000000      0.99951500      1.75679012     -6.67938673     -0.00032099     -6.67970772      0.94795977      0.00046087      0.94806455      0.15799330 md_running
     8      4.00000000     51.56971065      0.64100828  11501.31182645    300.00000000      0.99951322      1.91218286     -6.83252080     -0.00032354     -6.83284434      0.64569595      0.00050473      0.64577730      0.10761599 md_running
     9      4.50000000     51.77479928      0.58393254  11774.27468241    300.00000000      0.99951262      1.95756507     -6.87563269     -0.00034765     -6.87598035      0.67425604      0.00059537      0.67428781      0.11237601 md_running
    10      5.00000000     51.97712038      0.52657293  11671.59019565    300.00000000      0.99951260      1.94049297     -6.85732691     -0.00038564     -6.85771256      0.77994175      0.00073237      0.77994266      0.12999029 md_running
    11      5.50000000     52.23260618      0.46958085  11426.07912394    300.00000000      0.99951284      1.89967484     -6.81631377     -0.00043228     -6.81674604      0.82894908      0.00092056      0.82893225      0.13815818 md_running
    12      6.00000000     52.46804272      0.41321922  11185.47449563    300.00000000      0.99951315      1.85967244     -6.77719559     -0.00048278     -6.77767837      0.79576548      0.00116833      0.79573472      0.13262758 md_running
    13      6.50000000     57.83012406      0.35755657  11012.29874802    300.00000000      0.99951340      1.83088062     -6.75014185     -0.00053311     -6.75067496      0.70331284      0.00149097      0.70326342      0.11721881 md_running
    14      7.00000000     58.07512812      0.30263428  10910.21513940    300.00000000      0.99951357      1.81390843     -6.73498816     -0.00058125     -6.73556941      0.58398682      0.00192063      0.58390508      0.09733114 stop_temperature_explosion
