  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.65883009     31.33756270      0.10563655    600.00000000      1.26451572      0.00001756     -7.60469620     -0.00012085     -7.60481705      0.06038672      0.00000427      0.06038675      0.01006445 md_running
     2      1.00000000     21.88623273     31.33755625      1.09379423    600.00000000      1.26451572      0.00018185     -7.60479330     -0.00024615     -7.60503945      0.05839169      0.00000871      0.05839175      0.00973195 md_running
     3      1.50000000     40.45364816     31.33754307      3.09825388    600.00000000      1.16578270      0.00051511     -7.60499251     -0.00037585     -7.60536836      0.05404499      0.00001329      0.05404507      0.00900750 md_running
     4      2.00000000     40.66972172     31.33752602      5.37527527    600.00000000      1.07338013      0.00089368     -7.60525533     -0.00050985     -7.60576518      0.04762448      0.00001803      0.04762462      0.00793741 md_running
     5      2.50000000     40.90035403     31.33751056      7.60356218    600.00000000      1.04643277      0.00126415     -7.60551810     -0.00064804     -7.60616614      0.04005872      0.00002292      0.04005894      0.00667645 md_running
     6      3.00000000     46.07669172     31.33750247      9.52472104    600.00000000      1.03470909      0.00158356     -7.60573392     -0.00079026     -7.60652418      0.03238626      0.00002795      0.03238659      0.00539771 md_running
     7      3.50000000     46.28234366     31.33750765     10.98776583    600.00000000      1.02879926      0.00182680     -7.60587597     -0.00093633     -7.60681230      0.02609928      0.00003312      0.02609977      0.00434988 md_running
     8      4.00000000     46.48694211     31.33753168     11.96680869    600.00000000      1.02567654      0.00198958     -7.60593905     -0.00108601     -7.60702506      0.02319523      0.00003842      0.02319587      0.00386587 md_running
     9      4.50000000     46.69004177     31.33757926     12.54537596    600.00000000      1.02404902      0.00208577     -7.60593643     -0.00123908     -7.60717552      0.02477189      0.00004383      0.02477255      0.00412865 md_running
    10      5.00000000     46.89149578     31.33765368     12.87205759    600.00000000      1.02322430      0.00214008     -7.60589280     -0.00139525     -7.60728805      0.02951446      0.00004935      0.02951504      0.00491908 md_running
    11      5.50000000     47.14274963     31.33775636     13.10212188    600.00000000      1.02275819      0.00217833     -7.60583378     -0.00155422     -7.60738800      0.03544861      0.00005498      0.03544909      0.00590810 md_running
    12      6.00000000     47.34335930     31.33788654     13.34380847    600.00000000      1.02236304      0.00221851     -7.60577745     -0.00171566     -7.60749311      0.04139397      0.00006068      0.04139435      0.00689899 md_running
    13      6.50000000     47.54923951     31.33804106     13.62677331    600.00000000      1.02191007      0.00226556     -7.60572876     -0.00187922     -7.60760798      0.04682116      0.00006646      0.04682144      0.00780353 md_running
    14      7.00000000     47.76900821     31.33821449     13.90280037    600.00000000      1.02142598      0.00231145     -7.60567943     -0.00204453     -7.60772395      0.05153199      0.00007230      0.05153216      0.00858866 md_running
    15      7.50000000     51.67926550     31.33839932     14.07724960    600.00000000      1.02103788      0.00234045     -7.60561366     -0.00221118     -7.60782484      0.05547070      0.00007819      0.05547076      0.00924512 md_running
    16      8.00000000     51.88983149     31.33858649     14.05827718    600.00000000      1.02089299      0.00233730     -7.60551594     -0.00237878     -7.60789472      0.05862357      0.00008410      0.05862351      0.00977059 md_running
    17      8.50000000     52.10126894     31.33876600     13.80492675    600.00000000      1.02109703      0.00229518     -7.60537925     -0.00254689     -7.60792614      0.06096942      0.00009003      0.06096925      0.01016157 md_running
    18      9.00000000     52.30262947     31.33892757     13.35669170    600.00000000      1.02167759      0.00222065     -7.60520988     -0.00271507     -7.60792495      0.06246085      0.00009597      0.06246055      0.01041014 md_running
    19      9.50000000     52.50283400     31.33906129     12.83435539    600.00000000      1.02255088      0.00213381     -7.60502788     -0.00288288     -7.60791075      0.06304014      0.00010189      0.06303972      0.01050669 md_running
