  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.48550788     33.53352852      0.18301393    300.00000000      1.13973681      0.00003043     -7.59731239     -0.00570297     -7.60301536      0.07361937      0.00018742      0.07359847      0.01226989 md_running
     2      1.00000000     21.73682749     33.53289536      1.74089895    300.00000000      1.13973681      0.00028944     -7.59750717     -0.01140597     -7.60891313      0.07114940      0.00037485      0.07110667      0.01185823 md_running
     3      1.50000000     40.70082520     33.53157663      4.36041583    300.00000000      1.05169172      0.00072495     -7.59787717     -0.01710901     -7.61498618      0.06616660      0.00056231      0.06609861      0.01102777 md_running
     4      2.00000000     40.96073742     33.52970899      7.39196354    300.00000000      1.02522281      0.00122897     -7.59832541     -0.02281212     -7.62113753      0.05949599      0.00074980      0.05939671      0.00991600 md_running
     5      2.50000000     41.23956892     33.52745567     10.27816814    300.00000000      1.01635078      0.00170883     -7.59875287     -0.02851532     -7.62726818      0.05225731      0.00093734      0.05211862      0.00870955 md_running
     6      3.00000000     46.27288540     33.52499630     12.57928123    300.00000000      1.01246606      0.00209140     -7.59908343     -0.03421860     -7.63330202      0.04588523      0.00112493      0.04570012      0.00764754 md_running
     7      3.50000000     46.53638161     33.52252346     14.08486116    300.00000000      1.01061736      0.00234172     -7.59928052     -0.03992195     -7.63920247      0.04194663      0.00131258      0.04171761      0.00699111 md_running
     8      4.00000000     46.76443825     33.52023064     14.86378306    300.00000000      1.00977358      0.00247122     -7.59935534     -0.04562535     -7.64498070      0.04136182      0.00150029      0.04110720      0.00689364 md_running
     9      4.50000000     46.98485732     33.51829806     15.22909323    300.00000000      1.00943450      0.00253196     -7.59936071     -0.05132878     -7.65068949      0.04358951      0.00168805      0.04333240      0.00726492 md_running
    10      5.00000000     47.21924467     33.51687857     15.62136884    300.00000000      1.00924509      0.00259717     -7.59937135     -0.05703219     -7.65640354      0.04706883      0.00187586      0.04682298      0.00784480 md_running
    11      5.50000000     47.46979660     33.51608519     16.44517320    300.00000000      1.00891256      0.00273414     -7.59945615     -0.06273555     -7.66219169      0.05034638      0.00206370      0.05011659      0.00839106 md_running
    12      6.00000000     47.71174643     33.51598112     17.91715086    300.00000000      1.00828955      0.00297887     -7.59965236     -0.06843881     -7.66809116      0.05260415      0.00225159      0.05239214      0.00876736 md_running
    13      6.50000000     47.96295894     33.51657358     19.98560589    300.00000000      1.00744890      0.00332276     -7.59995196     -0.07414193     -7.67409389      0.05367881      0.00243950      0.05348699      0.00894647 md_running
    14      7.00000000     51.91904903     33.51781247     22.35470914    300.00000000      1.00658792      0.00371664     -7.60030511     -0.07984490     -7.68015001      0.05389117      0.00262746      0.05372412      0.00898186 md_running
    15      7.50000000     52.19343590     33.51959471     24.60128326    300.00000000      1.00586826      0.00409016     -7.60064046     -0.08554770     -7.68618816      0.05380825      0.00281545      0.05367239      0.00896804 md_running
    16      8.00000000     57.26353159     33.52177388     26.33341937    300.00000000      1.00535777      0.00437814     -7.60089102     -0.09125031     -7.69214133      0.05397171      0.00300350      0.05387352      0.00899528 md_running
    17      8.50000000     57.52150075     33.52417337     27.32890197    300.00000000      1.00505714      0.00454364     -7.60101855     -0.09695276     -7.69797131      0.05465955      0.00319162      0.05460308      0.00910992 md_running
    18      9.00000000     57.77631703     33.52660150     27.60780554    300.00000000      1.00493418      0.00459001     -7.60102580     -0.10265505     -7.70368085      0.05578424      0.00337984      0.05576948      0.00929737 md_running
    19      9.50000000     58.01002387     33.52886702     27.42271637    300.00000000      1.00493777      0.00455924     -7.60095464     -0.10835723     -7.70931187      0.05697001      0.00356817      0.05699314      0.00949500 md_running
    20     10.00000000     58.25829469     33.53079389     27.17725343    300.00000000      1.00499728      0.00451843     -7.60087224     -0.11405933     -7.71493157      0.05773558      0.00375664      0.05779015      0.00962260 md_running
    21     10.50000000     58.49131821     33.53223417     27.30240370    300.00000000      1.00502496      0.00453924     -7.60085056     -0.11976138     -7.72061194      0.05766947      0.00394528      0.05774736      0.00961158 md_running
    22     11.00000000     58.72166439     33.53307867     28.12799820    300.00000000      1.00493918      0.00467650     -7.60094476     -0.12546342     -7.72640819      0.05655107      0.00413411      0.05664251      0.00942518 md_running
    23     11.50000000     58.95688511     33.53326474     29.78434557    300.00000000      1.00470557      0.00495188     -7.60117668     -0.13116548     -7.73234217      0.05443492      0.00432316      0.05452772      0.00907249 md_running
    24     12.00000000     59.20900465     33.53278101     32.16073982    300.00000000      1.00435844      0.00534697     -7.60152750     -0.13686758     -7.73839508      0.05171752      0.00451243      0.05179578      0.00861959 md_running
    25     12.50000000     59.46700554     33.53166873     34.93319573    300.00000000      1.00397421      0.00580792     -7.60194283     -0.14256970     -7.74451253      0.04914884      0.00470194      0.04919218      0.00819147 md_running
    26     13.00000000     59.71152371     33.53001919     37.65614560    300.00000000      1.00362512      0.00626063     -7.60234774     -0.14827184     -7.75061958      0.04774047      0.00489168      0.04772653      0.00795674 md_running
    27     13.50000000     59.94429636     33.52796736     39.89621478    300.00000000      1.00335423      0.00663306     -7.60266936     -0.15397396     -7.75664331      0.04839452      0.00508165      0.04830709      0.00806575 md_running
    28     14.00000000     60.19392534     33.52568210     41.37157901    300.00000000      1.00317553      0.00687835     -7.60286033     -0.15967601     -7.76253634      0.05134099      0.00527181      0.05117766      0.00855683 md_running
    29     14.50000000     60.44476435     33.52335351     42.05354859    300.00000000      1.00308252      0.00699173     -7.60291643     -0.16537792     -7.76829434      0.05591873      0.00546215      0.05568841      0.00931979 md_running
    30     15.00000000     60.69361882     33.52117826     42.19295596    300.00000000      1.00305358      0.00701491     -7.60288087     -0.17107961     -7.77396048      0.06092527      0.00565265      0.06063943      0.01015421 md_running
    31     15.50000000     60.93672798     33.51934380     42.25276746    300.00000000      1.00305353      0.00702485     -7.60283309     -0.17678102     -7.77961411      0.06509630      0.00584326      0.06476358      0.01084938 md_running
    32     16.00000000     61.18896066     33.51801256     42.75918745    300.00000000      1.00303776      0.00710905     -7.60286355     -0.18248206     -7.78534561      0.06739985      0.00603396      0.06702483      0.01123331 md_running
    33     16.50000000     61.44101119     33.51730738     44.11831687    300.00000000      1.00296612      0.00733501     -7.60304228     -0.18818267     -7.79122494      0.06717115      0.00622472      0.06675505      0.01119519 md_running
    34     17.00000000     61.69271045     33.51729955     46.46611056    300.00000000      1.00282345      0.00772535     -7.60339355     -0.19388279     -7.79727635      0.06416868      0.00641552      0.06371027      0.01069478 md_running
    35     17.50000000     68.27108234     33.51800090     49.61119231    300.00000000      1.00262857      0.00824825     -7.60388556     -0.19958241     -7.80346797      0.05859116      0.00660634      0.05808798      0.00976519 md_running
    36     18.00000000     68.53534556     33.51936074     53.09284296    300.00000000      1.00242037      0.00882710     -7.60444025     -0.20528154     -7.80972179      0.05107779      0.00679718      0.05052854      0.00851297 md_running
    37     18.50000000     68.79099859     33.52126846     56.32924445    300.00000000      1.00223556      0.00936518     -7.60495869     -0.21098021     -7.81593890      0.04274403      0.00698805      0.04215582      0.00712400 md_running
    38     19.00000000     69.05157751     33.52356135     58.79787297    300.00000000      1.00209653      0.00977561     -7.60535155     -0.21667849     -7.82203005      0.03530931      0.00717897      0.03471892      0.00588489 md_running
    39     19.50000000     69.30629331     33.52603664     60.18576610    300.00000000      1.00201124      0.01000635     -7.60556419     -0.22237649     -7.82794068      0.03110929      0.00736995      0.03061576      0.00518488 md_running
    40     20.00000000     69.56428281     33.52846659     60.46649232    300.00000000      1.00197756      0.01005303     -7.60559050     -0.22807431     -7.83366481      0.03183195      0.00756104      0.03154970      0.00530532 md_running
    41     20.50000000     69.82064077     33.53061490     59.88939589    300.00000000      1.00198647      0.00995708     -7.60547068     -0.23377209     -7.83924277      0.03653282      0.00775228      0.03647361      0.00608880 md_running
    42     21.00000000     70.07935566     33.53225309     58.89370314    300.00000000      1.00202326      0.00979154     -7.60527682     -0.23946999     -7.84474681      0.04281551      0.00794372      0.04292638      0.00713592 md_running
    43     21.50000000     70.34456254     33.53317584     57.97775915    300.00000000      1.00206849      0.00963926     -7.60509116     -0.24516813     -7.85025929      0.04887973      0.00813540      0.04911278      0.00814662 md_running
    44     22.00000000     70.59829160     33.53321399     57.56133577    300.00000000      1.00210105      0.00957002     -7.60498258     -0.25086665     -7.85584923      0.05378009      0.00832737      0.05410403      0.00896335 md_running
    45     22.50000000     70.83629766     33.53224494     57.87652053    300.00000000      1.00210433      0.00962242     -7.60498909     -0.25656566     -7.86155475      0.05716200      0.00851966      0.05755643      0.00952700 md_running
    46     23.00000000     71.09046873     33.53019960     58.91508640    300.00000000      1.00207301      0.00979509     -7.60510821     -0.26226523     -7.86737344      0.05906633      0.00871230      0.05951551      0.00984439 md_running
    47     23.50000000     71.34658832     33.52706595     60.44620554    300.00000000      1.00201495      0.01004965     -7.60530021     -0.26796542     -7.87326562      0.05982174      0.00890531      0.06031010      0.00997029 md_running
    48     24.00000000     71.60255807     33.52288870     62.10006259    300.00000000      1.00194648      0.01032462     -7.60550259     -0.27366623     -7.87916881      0.05994393      0.00909869      0.06045299      0.00999065 md_running
    49     24.50000000     71.85466934     33.51776521     63.49507375    300.00000000      1.00188460      0.01055655     -7.60565100     -0.27936763     -7.88501863      0.05998353      0.00929243      0.06049097      0.00999725 md_running
    50     25.00000000     72.10441617     33.51183775     64.37117432    300.00000000      1.00184112      0.01070221     -7.60570222     -0.28506956     -7.89077177      0.06032200      0.00948652      0.06080389      0.01005367 md_running
    51     25.50000000     72.36013522     33.50528239     64.68590650    300.00000000      1.00182005      0.01075454     -7.60565023     -0.29077192     -7.89642215      0.06099070      0.00968093      0.06142624      0.01016512 md_running
    52     26.00000000     72.61813090     33.49829551     64.63708387    300.00000000      1.00181731      0.01074642     -7.60553024     -0.29647461     -7.90200485      0.06162214      0.00987564      0.06199782      0.01027036 md_running
    53     26.50000000     72.88112732     33.49107841     64.59645839    300.00000000      1.00182175      0.01073967     -7.60540742     -0.30217749     -7.90758490      0.06159202      0.01007062      0.06190237      0.01026534 md_running
    54     27.00000000     73.13716486     33.48382128     64.97223091    300.00000000      1.00181829      0.01080214     -7.60535313     -0.30788044     -7.91323357      0.06026540      0.01026583      0.06051078      0.01004423 md_running
    55     27.50000000     73.39587336     33.47668783     66.04980899    300.00000000      1.00179375      0.01098130     -7.60541801     -0.31358334     -7.91900136      0.05723371      0.01046125      0.05741763      0.00953895 md_running
    56     28.00000000     73.66242558     33.46980164     67.87334444    300.00000000      1.00174339      0.01128447     -7.60561132     -0.31928612     -7.92489744      0.05248136      0.01065687      0.05260866      0.00874689 md_running
    57     28.50000000     73.92079347     33.46323617     70.21564178    300.00000000      1.00167354      0.01167390     -7.60589564     -0.32498871     -7.93088435      0.04650197      0.01085267      0.04657840      0.00775033 md_running
    58     29.00000000     74.17603122     33.45700911     72.64664314    300.00000000      1.00159815      0.01207807     -7.60619838     -0.33069111     -7.93688950      0.04040976      0.01104865      0.04044397      0.00673496 md_running
    59     29.50000000     74.43059596     33.45108200     74.67141510    300.00000000      1.00153226      0.01241471     -7.60643547     -0.33639336     -7.94282882      0.03599968      0.01124482      0.03600868      0.00599995 md_running
    60     30.00000000     74.68187040     33.44536511     75.88569326    300.00000000      1.00148706      0.01261659     -7.60653730     -0.34209552     -7.94863282      0.03520765      0.01144120      0.03522078      0.00586794 md_running
    61     30.50000000     74.93540463     33.43972690     76.09722506    300.00000000      1.00146817      0.01265176     -7.60646977     -0.34779772     -7.95426749      0.03854724      0.01163784      0.03859311      0.00642454 md_running
    62     31.00000000     75.19400285     33.43400684     75.37919141    300.00000000      1.00147574      0.01253238     -7.60624308     -0.35350010     -7.95974318      0.04456999      0.01183475      0.04466273      0.00742833 md_running
    63     31.50000000     75.44516033     33.42803039     74.04572308    300.00000000      1.00150488      0.01231068     -7.60590787     -0.35920282     -7.96511069      0.05133657      0.01203200      0.05148060      0.00855609 md_running
    64     32.00000000     75.69787426     33.42162427     72.56209285    300.00000000      1.00154600      0.01206401     -7.60554061     -0.36490604     -7.97044664      0.05740627      0.01222964      0.05760387      0.00956771 md_running
    65     32.50000000     75.95145466     33.41463119     71.41751700    300.00000000      1.00158587      0.01187372     -7.60522147     -0.37060992     -7.97583138      0.06189023      0.01242770      0.06214474      0.01031504 md_running
    66     33.00000000     76.19340515     33.40692279     70.99527638    300.00000000      1.00161051      0.01180352     -7.60501344     -0.37631459     -7.98132802      0.06431527      0.01262624      0.06463222      0.01071921 md_running
    67     33.50000000     76.44813854     33.39840998     71.47395063    300.00000000      1.00161000      0.01188310     -7.60494516     -0.38202014     -7.98696530      0.06454763      0.01282528      0.06493514      0.01075794 md_running
    68     34.00000000     76.70471058     33.38905035     72.78548885    300.00000000      1.00158274      0.01210116     -7.60500440     -0.38772663     -7.99273102      0.06276905      0.01302485      0.06323786      0.01046151 md_running
    69     34.50000000     76.96299107     33.37885201     74.64227331    300.00000000      1.00153595      0.01240986     -7.60514249     -0.39343405     -7.99857654      0.05948000      0.01322496      0.06004249      0.00991333 md_running
    70     35.00000000     77.22472070     33.36787403     76.62763745    300.00000000      1.00148199      0.01273994     -7.60528926     -0.39914234     -8.00443161      0.05549422      0.01342559      0.05616042      0.00924904 md_running
    71     35.50000000     77.49063605     33.35622325     78.32531856    300.00000000      1.00143312      0.01302220     -7.60537552     -0.40485142     -8.01022693      0.05186225      0.01362675      0.05263151      0.00864371 md_running
    72     36.00000000     77.75080273     33.34404772     79.44899166    300.00000000      1.00139770      0.01320902     -7.60535462     -0.41056111     -8.01591572      0.04962336      0.01382840      0.05047462      0.00827056 md_running
    73     36.50000000     77.99845015     33.33152714     79.93012445    300.00000000      1.00137883      0.01328901     -7.60521715     -0.41627122     -8.02148837      0.04935553      0.01403052      0.05024908      0.00822592 md_running
    74     37.00000000     78.25541468     33.31886087     79.93275429    300.00000000      1.00137431      0.01328944     -7.60499379     -0.42198156     -8.02697535      0.05083663      0.01423308      0.05173382      0.00847277 md_running
    75     37.50000000     78.51027495     33.30625387     79.78768987    300.00000000      1.00137765      0.01326533     -7.60474402     -0.42769189     -8.03243590      0.05323410      0.01443603      0.05411541      0.00887235 md_running
    76     38.00000000     78.74435866     33.29390150     79.86883890    300.00000000      1.00137997      0.01327882     -7.60453423     -0.43340200     -8.03793623      0.05563059      0.01463936      0.05649726      0.00927176 md_running
    77     38.50000000     78.98861435     33.28197416     80.45833311    300.00000000      1.00137299      0.01337683     -7.60441513     -0.43911171     -8.04352684      0.05742070      0.01484304      0.05828757      0.00957012 md_running
    78     39.00000000     79.23874935     33.27060279     81.65234754    300.00000000      1.00135233      0.01357534     -7.60440536     -0.44482088     -8.04922623      0.05841499      0.01504704      0.05930324      0.00973583 md_running
    79     39.50000000     79.47307866     33.25986702     83.34114862    300.00000000      1.00131910      0.01385612     -7.60448748     -0.45052941     -8.05501690      0.05875864      0.01525136      0.05969037      0.00979311 md_running
    80     40.00000000     79.71981033     33.24978703     85.26350406    300.00000000      1.00127890      0.01417572     -7.60461771     -0.45623730     -8.06085501      0.05877333      0.01545601      0.05976752      0.00979555 md_running
    81     40.50000000     79.95151177     33.24032052     87.10734349    300.00000000      1.00123889      0.01448228     -7.60474278     -0.46194458     -8.06668736      0.05878019      0.01566100      0.05984947      0.00979670 md_running
    82     41.00000000     80.20037991     33.23136536     88.61786469    300.00000000      1.00120502      0.01473341     -7.60481781     -0.46765138     -8.07246919      0.05895360      0.01586637      0.06010330      0.00982560 md_running
    83     41.50000000     80.43677693     33.22276739     89.67847816    300.00000000      1.00118035      0.01490975     -7.60482071     -0.47335787     -8.07817858      0.05924045      0.01607218      0.06047016      0.00987341 md_running
    84     42.00000000     80.69023634     33.21433239     90.34249865    300.00000000      1.00116475      0.01502015     -7.60475731     -0.47906426     -8.08382157      0.05938438      0.01627850      0.06069034      0.00989740 md_running
    85     42.50000000     80.92939822     33.20584126     90.80988814    300.00000000      1.00115524      0.01509785     -7.60465793     -0.48477081     -8.08942875      0.05901630      0.01648542      0.06039381      0.00983605 md_running
    86     43.00000000     81.17707518     33.19706658     91.35873130    300.00000000      1.00114700      0.01518910     -7.60456577     -0.49047779     -8.09504356      0.05777128      0.01669303      0.05921587      0.00962855 md_running
    87     43.50000000     81.42366645     33.18778918     92.25256341    300.00000000      1.00113482      0.01533771     -7.60452145     -0.49618544     -8.10070689      0.05540018      0.01690142      0.05690648      0.00923336 md_running
    88     44.00000000     81.67570614     33.17781320     93.65074964    300.00000000      1.00111493      0.01557017     -7.60454856     -0.50189401     -8.10644257      0.05187538      0.01711068      0.05343271      0.00864590 md_running
    89     44.50000000     81.92624189     33.16697911     95.54877930    300.00000000      1.00108646      0.01588573     -7.60464358     -0.50760368     -8.11224725      0.04751511      0.01732091      0.04909633      0.00791918 md_running
    90     45.00000000     82.17141518     33.15517352     97.76804719    300.00000000      1.00105187      0.01625470     -7.60477398     -0.51331459     -8.11808857      0.04313124      0.01753218      0.04467008      0.00718854 md_running
    91     45.50000000     82.40998936     33.14233565    100.00187544    300.00000000      1.00101590      0.01662609     -7.60488632     -0.51902682     -8.12391314      0.04011950      0.01774454      0.04148163      0.00668658 md_running
    92     46.00000000     82.65837361     33.12845991    101.90827749    300.00000000      1.00098391      0.01694305     -7.60492213     -0.52474038     -8.12966251      0.04008897      0.01795803      0.04109314      0.00668150 md_running
    93     46.50000000     82.89082299     33.11359486    103.22162449    300.00000000      1.00096010      0.01716140     -7.60483662     -0.53045521     -8.13529183      0.04373018      0.01817268      0.04426740      0.00728836 md_running
    94     47.00000000     83.13847801     33.09783853    103.84755555    300.00000000      1.00094645      0.01726547     -7.60461497     -0.53617120     -8.14078617      0.05017699      0.01838851      0.05027544      0.00836283 md_running
    95     47.50000000     83.37620476     33.08133048    103.90748110    300.00000000      1.00094226      0.01727543     -7.60427974     -0.54188819     -8.14616792      0.05778803      0.01860551      0.05753810      0.00963134 md_running
    96     48.00000000     83.62197618     33.06424096    103.71288813    300.00000000      1.00094419      0.01724308     -7.60388670     -0.54760599     -8.15149269      0.06505032      0.01882368      0.06453597      0.01084172 md_running
    97     48.50000000     83.87667195     33.04675696    103.67506775    300.00000000      1.00094691      0.01723679     -7.60350874     -0.55332440     -8.15683314      0.07086498      0.01904299      0.07014700      0.01181083 md_running
    98     49.00000000     84.12943398     33.02906655    104.18183842    300.00000000      1.00094453      0.01732104     -7.60321504     -0.55904324     -8.16225828      0.07455012      0.01926342      0.07367156      0.01242502 md_running
    99     49.50000000     84.38371997     33.01134226    105.48593848    300.00000000      1.00093246      0.01753786     -7.60305186     -0.56476235     -8.16781421      0.07579066      0.01948494      0.07478615      0.01263178 md_running
   100     50.00000000     84.64436935     32.99372465    107.64071049    300.00000000      1.00090905      0.01789611     -7.60303095     -0.57048163     -8.17351258      0.07458829      0.01970753      0.07349200      0.01243138 md_running
   101     50.50000000     84.89673931     32.97630823    110.49834529    300.00000000      1.00087608      0.01837121     -7.60312899     -0.57620105     -8.17933003      0.07121107      0.01993118      0.07006473      0.01186851 md_running
   102     51.00000000     85.15076725     32.95913091    113.76351052    300.00000000      1.00083772      0.01891407     -7.60329713     -0.58192063     -8.18521776      0.06616218      0.02015586      0.06502425      0.01102703 md_running
