  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.43544138     33.53352852      0.32935821    300.00000000      1.13973681      0.00005476   -786.78730038     -0.01140595   -786.79870633      0.07841309      0.00037484      0.07843637      0.01306885 md_running
     2      1.00000000     21.53784812     33.53173957      3.01234763    300.00000000      1.12135140      0.00050083   -786.78764822     -0.02281199   -786.81046020      0.07521756      0.00074969      0.07526374      0.01253626 md_running
     3      1.50000000     40.47470262     33.52804991      7.21144401    300.00000000      1.02987639      0.00119896   -786.78828401     -0.03421826   -786.82250227      0.06883585      0.00112456      0.06890034      0.01147264 md_running
     4      2.00000000     40.72288462     33.52285372     11.86181378    300.00000000      1.01512366      0.00197212   -786.78900270     -0.04562486   -786.83462756      0.06043489      0.00149948      0.06050700      0.01007248 md_running
     5      2.50000000     40.96001963     33.51650432     15.85781169    300.00000000      1.01011137      0.00263648   -786.78961188     -0.05703185   -786.84664374      0.05158017      0.00187447      0.05163801      0.00859669 md_running
     6      3.00000000     41.19023290     33.50940109     18.33925111    300.00000000      1.00806678      0.00304904   -786.78996370     -0.06843925   -786.85840295      0.04465923      0.00224954      0.04466409      0.00744321 md_running
     7      3.50000000     41.44231461     33.50197409     18.95326219    300.00000000      1.00736300      0.00315113   -786.78999740     -0.07984701   -786.86984441      0.04240719      0.00262474      0.04231573      0.00706787 md_running
     8      4.00000000     45.38045433     33.49465461     17.98252876    300.00000000      1.00748100      0.00298974   -786.78976069     -0.09125503   -786.88101572      0.04563476      0.00300010      0.04543619      0.00760579 md_running
     9      4.50000000     45.61112521     33.48784139     16.27111399    300.00000000      1.00819032      0.00270520   -786.78939704     -0.10266320   -786.89206024      0.05208828      0.00337565      0.05180177      0.00868138 md_running
    10      5.00000000     45.82955654     33.48186812     14.94216070    300.00000000      1.00916088      0.00248425   -786.78909796     -0.11407136   -786.90316932      0.05878252      0.00375144      0.05842645      0.00979709 md_running
    11      5.50000000     46.06943861     33.47697680     14.98877290    300.00000000      1.00968228      0.00249200   -786.78903289     -0.12547934   -786.91451223      0.06372972      0.00412750      0.06331424      0.01062162 md_running
    12      6.00000000     46.30309442     33.47329949     16.88865341    300.00000000      1.00907030      0.00280787   -786.78928478     -0.13688698   -786.92617176      0.06607583      0.00450387      0.06560745      0.01101264 md_running
    13      6.50000000     46.54268212     33.47084707     20.41236164    300.00000000      1.00761193      0.00339371   -786.78981712     -0.14829417   -786.93811129      0.06588407      0.00488058      0.06537131      0.01098068 md_running
    14      7.00000000     46.78414632     33.46950497     24.72244998    300.00000000      1.00613518      0.00411030   -786.79048917     -0.15970084   -786.95019000      0.06389896      0.00525765      0.06335824      0.01064983 md_running
    15      7.50000000     47.02698626     33.46904313     28.71302576    300.00000000      1.00506222      0.00477376   -786.79111315     -0.17110696   -786.96222011      0.06124317      0.00563508      0.06070406      0.01020720 md_running
    16      8.00000000     47.25091020     33.46914069     31.42746621    300.00000000      1.00442356      0.00522506   -786.79152533     -0.18251260   -786.97403793      0.05901576      0.00601289      0.05852177      0.00983596 md_running
    17      8.50000000     47.50481097     33.46941865     32.38252841    300.00000000      1.00413878      0.00538385   -786.79164142     -0.19391786   -786.98555929      0.05791287      0.00639106      0.05751290      0.00965214 md_running
    18      9.00000000     52.55736959     33.46947527     31.69798814    300.00000000      1.00413056      0.00527004   -786.79147922     -0.20532291   -786.99680213      0.05801309      0.00676960      0.05774661      0.00966885 md_running
    19      9.50000000     52.80608498     33.46892075     30.02020749    300.00000000      1.00433051      0.00499109   -786.79114473     -0.21672794   -787.00787267      0.05887474      0.00714848      0.05876258      0.00981246 md_running
    20     10.00000000     53.04590695     33.46740821     28.29569717    300.00000000      1.00464375      0.00470438   -786.79079465     -0.22813315   -787.01892780      0.05984413      0.00752771      0.05988984      0.00997402 md_running
    21     10.50000000     53.27296863     33.46466016     27.47801810    300.00000000      1.00491000      0.00456843   -786.79058671     -0.23953874   -787.03012545      0.06034132      0.00790726      0.06053764      0.01005689 md_running
    22     11.00000000     53.49539966     33.46048943     28.25015402    300.00000000      1.00493251      0.00469681   -786.79063345     -0.25094487   -787.04157832      0.06001160      0.00828715      0.06034538      0.01000193 md_running
    23     11.50000000     53.73269329     33.45481406     30.82921685    300.00000000      1.00462050      0.00512560   -786.79097031     -0.26235166   -787.05332197      0.05879587      0.00866737      0.05924930      0.00979931 md_running
    24     12.00000000     53.99620164     33.44766536     34.89865617    300.00000000      1.00408366      0.00580217   -786.79154383     -0.27375917   -787.06530300      0.05698199      0.00904792      0.05753011      0.00949700 md_running
    25     12.50000000     59.13873938     33.43918687     39.68773419    300.00000000      1.00351788      0.00659840   -786.79222505     -0.28516739   -787.07739244      0.05524234      0.00942882      0.05584765      0.00920706 md_running
    26     13.00000000     59.37492913     33.42962365     44.18639954    300.00000000      1.00305643      0.00734633   -786.79284451     -0.29657622   -787.08942073      0.05456391      0.00981008      0.05517236      0.00909399 md_running
