  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.53671720     33.53197699    298.80288959    300.00000000      1.00000000      0.04967831     -7.59870382     -0.00028512     -7.59898894      0.05725740      0.00000937      0.05725595      0.00954290 md_running
     2      1.00000000     21.70223542     33.51868719    296.12265800    300.00000000      1.00000386      0.04923270     -7.59825778     -0.00057021     -7.59882799      0.05889545      0.00001875      0.05889234      0.00981591 md_running
     3      1.50000000     40.57707057     33.50571187    292.70274903    300.00000000      1.00000910      0.04866412     -7.59768643     -0.00085526     -7.59854169      0.06066714      0.00002815      0.06066221      0.01011119 md_running
     4      2.00000000     40.84210626     33.49323441    288.69842970    300.00000000      1.00001567      0.04799837     -7.59701581     -0.00114028     -7.59815608      0.06248562      0.00003755      0.06247883      0.01041427 md_running
     5      2.50000000     41.13578673     33.48142448    284.39142796    300.00000000      1.00002326      0.04728229     -7.59629356     -0.00142525     -7.59771881      0.06415794      0.00004696      0.06414928      0.01069299 md_running
     6      3.00000000     50.05116253     33.47042631    280.11751563    300.00000000      1.00003133      0.04657172     -7.59557642     -0.00171019     -7.59728660      0.06546204      0.00005639      0.06545158      0.01091034 md_running
     7      3.50000000     56.79963597     33.46034838    276.17439277    300.00000000      1.00003928      0.04591615     -7.59491491     -0.00199508     -7.59690999      0.06623851      0.00006582      0.06622635      0.01103975 md_running
     8      4.00000000     61.73081764     33.45125542    272.73776930    300.00000000      1.00004656      0.04534478     -7.59433877     -0.00227993     -7.59661870      0.06646936      0.00007527      0.06645566      0.01107823 md_running
     9      4.50000000     62.00220893     33.44316330    269.81621755    300.00000000      1.00005294      0.04485905     -7.59384945     -0.00256474     -7.59641420      0.06631114      0.00008473      0.06629614      0.01105186 md_running
    10      5.00000000     62.24433136     33.43603746    267.25815138    300.00000000      1.00005850      0.04443375     -7.59342135     -0.00284951     -7.59627086      0.06606963      0.00009421      0.06605368      0.01101160 md_running
    11      5.50000000     62.49191899     33.42979524    264.80845987    300.00000000      1.00006365      0.04402647     -7.59301094     -0.00313423     -7.59614517      0.06611077      0.00010370      0.06609434      0.01101846 md_running
    12      6.00000000     62.74403477     33.42431183    262.19691607    300.00000000      1.00006896      0.04359228     -7.59257250     -0.00341891     -7.59599142      0.06673543      0.00011320      0.06671908      0.01112257 md_running
    13      6.50000000     62.99828885     33.41942918    259.22681412    300.00000000      1.00007499      0.04309848     -7.59207265     -0.00370355     -7.59577621      0.06805903      0.00012271      0.06804324      0.01134317 md_running
    14      7.00000000     63.25307605     33.41496758    255.83611814    300.00000000      1.00008210      0.04253475     -7.59150069     -0.00398815     -7.59548884      0.06995614      0.00013224      0.06994127      0.01165936 md_running
    15      7.50000000     63.50718643     33.41073882    252.11389319    300.00000000      1.00009032      0.04191590     -7.59087172     -0.00427271     -7.59514444      0.07210225      0.00014177      0.07208843      0.01201704 md_running
    16      8.00000000     63.76417358     33.40656039    248.27039180    300.00000000      1.00009935      0.04127689     -7.59022137     -0.00455724     -7.59477861      0.07407873      0.00015131      0.07406586      0.01234645 md_running
    17      8.50000000     64.02550721     33.40226890    244.57143877    300.00000000      1.00010865      0.04066191     -7.58959460     -0.00484173     -7.59443633      0.07548561      0.00016087      0.07547342      0.01258094 md_running
    18      9.00000000     64.27804395     33.39773216    241.25705178    300.00000000      1.00011754      0.04011087     -7.58903223     -0.00512620     -7.59415843      0.07601574      0.00017042      0.07600380      0.01266929 md_running
    19      9.50000000     64.53719738     33.39285897    238.46931225    300.00000000      1.00012543      0.03964738     -7.58855830     -0.00541064     -7.59396894      0.07550747      0.00017999      0.07549522      0.01258458 md_running
    20     10.00000000     64.80245979     33.38760542    236.20880736    300.00000000      1.00013205      0.03927156     -7.58817303     -0.00569505     -7.59386808      0.07397399      0.00018955      0.07396075      0.01232900 md_running
    21     10.50000000     65.04012598     33.38197795    234.33004391    300.00000000      1.00013751      0.03895920     -7.58785193     -0.00597944     -7.59383137      0.07161181      0.00019913      0.07159680      0.01193530 md_running
    22     11.00000000     65.29481083     33.37603274    232.57754812    300.00000000      1.00014231      0.03866783     -7.58755188     -0.00626380     -7.59381568      0.06880519      0.00020871      0.06878751      0.01146753 md_running
    23     11.50000000     65.55461927     33.36987130    230.65535452    300.00000000      1.00014726      0.03834825     -7.58722280     -0.00654814     -7.59377094      0.06608391      0.00021830      0.06606274      0.01101398 md_running
    24     12.00000000     65.80856124     33.36363233    228.31199630    300.00000000      1.00015316      0.03795865     -7.58682199     -0.00683246     -7.59365445      0.06403440      0.00022789      0.06400910      0.01067240 md_running
    25     12.50000000     66.06358733     33.35748133    225.41565485    300.00000000      1.00016067      0.03747711     -7.58632711     -0.00711675     -7.59344385      0.06313882      0.00023750      0.06310919      0.01052314 md_running
    26     13.00000000     66.32066312     33.35159856    221.99888710    300.00000000      1.00017005      0.03690905     -7.58574335     -0.00740101     -7.59314435      0.06358985      0.00024712      0.06355621      0.01059831 md_running
    27     13.50000000     66.55553058     33.34616572    218.25701930    300.00000000      1.00018110      0.03628693     -7.58510387     -0.00768523     -7.59278910      0.06520519      0.00025675      0.06516820      0.01086753 md_running
    28     14.00000000     66.80404085     33.34135259    214.49536671    300.00000000      1.00019311      0.03566153     -7.58446032     -0.00796941     -7.59242974      0.06751379      0.00026641      0.06747419      0.01125230 md_running
    29     14.50000000     67.05759069     33.33730431    211.04107240    300.00000000      1.00020506      0.03508723     -7.58386827     -0.00825356     -7.59212183      0.06994899      0.00027608      0.06990741      0.01165816 md_running
    30     15.00000000     67.31338743     33.33413013    208.14747832    300.00000000      1.00021587      0.03460614     -7.58337073     -0.00853766     -7.59190839      0.07202762      0.00028578      0.07198456      0.01200460 md_running
    31     15.50000000     67.57190011     33.33189500    205.92202356    300.00000000      1.00022474      0.03423614     -7.58298589     -0.00882171     -7.59180760      0.07344822      0.00029550      0.07340408      0.01224137 md_running
    32     16.00000000     67.82923012     33.33061425    204.30226156    300.00000000      1.00023144      0.03396685     -7.58270326     -0.00910572     -7.59180897      0.07410736      0.00030524      0.07406254      0.01235123 md_running
    33     16.50000000     68.06739461     33.33025184    203.08655042    300.00000000      1.00023636      0.03376472     -7.58248850     -0.00938967     -7.59187817      0.07407023      0.00031500      0.07402520      0.01234504 md_running
    34     17.00000000     68.31680755     33.33072244    202.00623085    300.00000000      1.00024035      0.03358511     -7.58229618     -0.00967358     -7.59196976      0.07351034      0.00032479      0.07346562      0.01225172 md_running
    35     17.50000000     68.56834016     33.33189798    200.81290225    300.00000000      1.00024438      0.03338671     -7.58208411     -0.00995744     -7.59204155      0.07264467      0.00033459      0.07260088      0.01210745 md_running
    36     18.00000000     68.82436091     33.33361747    199.35275923    300.00000000      1.00024925      0.03314395     -7.58182630     -0.01024126     -7.59206756      0.07166981      0.00034441      0.07162752      0.01194497 md_running
    37     18.50000000     69.08574519     33.33569944    197.60638791    300.00000000      1.00025534      0.03285360     -7.58151940     -0.01052503     -7.59204443      0.07071851      0.00035424      0.07067823      0.01178642 md_running
    38     19.00000000     69.35537281     33.33795590    195.68388375    300.00000000      1.00026250      0.03253397     -7.58118206     -0.01080877     -7.59199084      0.06984631      0.00036408      0.06980833      0.01164105 md_running
    39     19.50000000     69.62268151     33.34020682    193.78084917    300.00000000      1.00027015      0.03221758     -7.58084757     -0.01109248     -7.59194005      0.06905001      0.00037393      0.06901436      0.01150833 md_running
    40     20.00000000     69.88522724     33.34229390    192.11140714    300.00000000      1.00027744      0.03194002     -7.58055203     -0.01137616     -7.59192819      0.06830338      0.00038378      0.06826981      0.01138390 md_running
    41     20.50000000     70.13852698     33.34409227    190.83809230    300.00000000      1.00028350      0.03172832     -7.58032308     -0.01165981     -7.59198289      0.06759996      0.00039364      0.06756799      0.01126666 md_running
    42     21.00000000     70.37229622     33.34551929    190.01895263    300.00000000      1.00028780      0.03159213     -7.58017083     -0.01194344     -7.59211427      0.06698902      0.00040349      0.06695796      0.01116484 md_running
    43     21.50000000     70.62409493     33.34653999    189.58678953    300.00000000      1.00029030      0.03152028     -7.58008374     -0.01222705     -7.59231080      0.06658514      0.00041335      0.06655421      0.01109752 md_running
