  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.61545713     34.91545493    298.64712108    300.00000000      1.00000000      0.04965241     -7.59866944     -0.00028698     -7.59895643      0.05778020      0.00000799      0.05777888      0.00963003 md_running
     2      1.00000000     21.87628354     34.90899523    295.56006415    300.00000000      1.00000438      0.04913917     -7.59815526     -0.00057396     -7.59872922      0.05992660      0.00001597      0.05992372      0.00998777 md_running
     3      1.50000000     40.79276476     34.90285418    291.57998445    300.00000000      1.00001050      0.04847745     -7.59748989     -0.00086094     -7.59835083      0.06210178      0.00002395      0.06209719      0.01035030 md_running
     4      2.00000000     41.04679256     34.89719004    286.94597383    300.00000000      1.00001820      0.04770701     -7.59671346     -0.00114790     -7.59786136      0.06414460      0.00003193      0.06413818      0.01069077 md_running
     5      2.50000000     41.31497993     34.89214607    282.04225379    300.00000000      1.00002704      0.04689173     -7.59589096     -0.00143485     -7.59732581      0.06582163      0.00003989      0.06581336      0.01097027 md_running
     6      3.00000000     46.57778655     34.88784027    277.29665051    300.00000000      1.00003628      0.04610273     -7.59509471     -0.00172178     -7.59681650      0.06692254      0.00004786      0.06691243      0.01115376 md_running
     7      3.50000000     56.99009962     34.88435750    273.05913098    300.00000000      1.00004514      0.04539821     -7.59438410     -0.00200868     -7.59639279      0.06735723      0.00005583      0.06734534      0.01122621 md_running
     8      4.00000000     57.26403601     34.88174372    269.50335170    300.00000000      1.00005300      0.04480704     -7.59378862     -0.00229554     -7.59608416      0.06722460      0.00006380      0.06721105      0.01120410 md_running
     9      4.50000000     57.51917372     34.88000261    266.58293639    300.00000000      1.00005962      0.04432149     -7.59330035     -0.00258237     -7.59588272      0.06683076      0.00007177      0.06681580      0.01113846 md_running
    10      5.00000000     57.78713893     34.87909500    264.05845686    300.00000000      1.00006524      0.04390178     -7.59287869     -0.00286914     -7.59574783      0.06663359      0.00007975      0.06661762      0.01110560 md_running
    11      5.50000000     62.72071911     34.87894125    261.58535268    300.00000000      1.00007046      0.04349061     -7.59246517     -0.00315586     -7.59562103      0.06710620      0.00008774      0.06708978      0.01118437 md_running
    12      6.00000000     63.00061692     34.87942675    258.83377344    300.00000000      1.00007607      0.04303314     -7.59200355     -0.00344254     -7.59544609      0.06854861      0.00009573      0.06853236      0.01142477 md_running
    13      6.50000000     63.25780457     34.88041005    255.59911956    300.00000000      1.00008272      0.04249535     -7.59145930     -0.00372917     -7.59518847      0.07095878      0.00010373      0.07094321      0.01182646 md_running
    14      7.00000000     63.50856054     34.88173308    251.86676401    300.00000000      1.00009076      0.04187482     -7.59082965     -0.00401576     -7.59484541      0.07402850      0.00011173      0.07401392      0.01233808 md_running
    15      7.50000000     63.75576601     34.88323310    247.81496283    300.00000000      1.00010008      0.04120117     -7.59014480     -0.00430232     -7.59444712      0.07725797      0.00011973      0.07724443      0.01287633 md_running
    16      8.00000000     64.00831933     34.88475505    243.76060415    300.00000000      1.00011014      0.04052710     -7.58945835     -0.00458886     -7.59404721      0.08010290      0.00012773      0.08009025      0.01335048 md_running
    17      8.50000000     64.25357725     34.88616351    240.06570928    300.00000000      1.00012009      0.03991280     -7.58883178     -0.00487540     -7.59370718      0.08209338      0.00013573      0.08208130      0.01368223 md_running
    18      9.00000000     64.49807341     34.88735319    237.03239041    300.00000000      1.00012896      0.03940849     -7.58831611     -0.00516193     -7.59347804      0.08290151      0.00014371      0.08288957      0.01381692 md_running
    19      9.50000000     64.75270288     34.88825716    234.81722414    300.00000000      1.00013599      0.03904020     -7.58793792     -0.00544848     -7.59338640      0.08237350      0.00015169      0.08236117      0.01372892 md_running
    20     10.00000000     65.00275240     34.88885209    233.38496897    300.00000000      1.00014088      0.03880207     -7.58769150     -0.00573504     -7.59342654      0.08054570      0.00015965      0.08053233      0.01342428 md_running
    21     10.50000000     65.25689881     34.88916011    232.51325645    300.00000000      1.00014389      0.03865714     -7.58753944     -0.00602161     -7.59356105      0.07765286      0.00016760      0.07763770      0.01294214 md_running
    22     11.00000000     65.51161366     34.88924713    231.84997287    300.00000000      1.00014582      0.03854687     -7.58742227     -0.00630820     -7.59373047      0.07411984      0.00017554      0.07410206      0.01235331 md_running
    23     11.50000000     65.76546946     34.88921800    231.00824328    300.00000000      1.00014772      0.03840692     -7.58727452     -0.00659480     -7.59386932      0.07053304      0.00018347      0.07051182      0.01175551 md_running
    24     12.00000000     66.01149223     34.88920904    229.67440869    300.00000000      1.00015065      0.03818516     -7.58704300     -0.00688140     -7.59392440      0.06755308      0.00019139      0.06752780      0.01125885 md_running
    25     12.50000000     66.26104162     34.88937810    227.69932150    300.00000000      1.00015532      0.03785679     -7.58670239     -0.00716797     -7.59387037      0.06574556      0.00019932      0.06571601      0.01095759 md_running
    26     13.00000000     66.51185605     34.88989326    225.14456741    300.00000000      1.00016197      0.03743204     -7.58626308     -0.00745451     -7.59371759      0.06537717      0.00020724      0.06534368      0.01089619 md_running
    27     13.50000000     66.76593589     34.89092084    222.26674209    300.00000000      1.00017019      0.03695358     -7.58576848     -0.00774099     -7.59350947      0.06630185      0.00021518      0.06626515      0.01105031 md_running
    28     14.00000000     67.02374659     34.89261336    219.44033998    300.00000000      1.00017908      0.03648367     -7.58528213     -0.00802739     -7.59330952      0.06803733      0.00022314      0.06799824      0.01133955 md_running
    29     14.50000000     67.27985771     34.89509859    217.04099099    300.00000000      1.00018741      0.03608476     -7.58486786     -0.00831369     -7.59318155      0.06998652      0.00023111      0.06994575      0.01166442 md_running
    30     15.00000000     67.53237487     34.89847013    215.32759587    300.00000000      1.00019406      0.03579989     -7.58456990     -0.00859987     -7.59316978      0.07164544      0.00023912      0.07160355      0.01194091 md_running
    31     15.50000000     67.78436903     34.90278028    214.36435604    300.00000000      1.00019836      0.03563975     -7.58439883     -0.00888593     -7.59328476      0.07271643      0.00024715      0.07267390      0.01211941 md_running
    32     16.00000000     68.04662717     34.90803558    214.00842928    300.00000000      1.00020037      0.03558057     -7.58433079     -0.00917185     -7.59350264      0.07312060      0.00025521      0.07307788      0.01218677 md_running
    33     16.50000000     68.30505191     34.91419579    213.96483613    300.00000000      1.00020081      0.03557332     -7.58431561     -0.00945764     -7.59377326      0.07295251      0.00026330      0.07291016      0.01215875 md_running
    34     17.00000000     68.53900238     34.92117614    213.88756774    300.00000000      1.00020080      0.03556048     -7.58429454     -0.00974331     -7.59403785      0.07239775      0.00027142      0.07235635      0.01206629 md_running
    35     17.50000000     68.78982476     34.92885324    213.49054415    300.00000000      1.00020144      0.03549447     -7.58421914     -0.01002888     -7.59424802      0.07165163      0.00027955      0.07161180      0.01194194 md_running
    36     18.00000000     69.04576646     34.93707430    212.63145713    300.00000000      1.00020348      0.03535164     -7.58406523     -0.01031435     -7.59437958      0.07085634      0.00028770      0.07081863      0.01180939 md_running
    37     18.50000000     69.30244327     34.94566878    211.34499540    300.00000000      1.00020711      0.03513776     -7.58383864     -0.01059976     -7.59443839      0.07007062      0.00029586      0.07003542      0.01167844 md_running
    38     19.00000000     69.55712979     34.95446145    209.81978313    300.00000000      1.00021199      0.03488418     -7.58357136     -0.01088512     -7.59445648      0.06928036      0.00030402      0.06924781      0.01154673 md_running
    39     19.50000000     69.81698202     34.96328587    208.32988712    300.00000000      1.00021731      0.03463647     -7.58330982     -0.01117046     -7.59448028      0.06843613      0.00031218      0.06840611      0.01140602 md_running
    40     20.00000000     70.07492528     34.97199685    207.14430225    300.00000000      1.00022208      0.03443936     -7.58309968     -0.01145581     -7.59455549      0.06750711      0.00032032      0.06747924      0.01125119 md_running
    41     20.50000000     70.32847199     34.98048118    206.44193096    300.00000000      1.00022545      0.03432258     -7.58297117     -0.01174118     -7.59471235      0.06652711      0.00032844      0.06650082      0.01108785 md_running
    42     21.00000000     70.58545149     34.98866553    206.25436532    300.00000000      1.00022698      0.03429140     -7.58292981     -0.01202658     -7.59495639      0.06562536      0.00033654      0.06559994      0.01093756 md_running
    43     21.50000000     70.83853214     34.99652095    206.45219303    300.00000000      1.00022683      0.03432429     -7.58295388     -0.01231202     -7.59526590      0.06502554      0.00034461      0.06500022      0.01083759 md_running
    44     22.00000000     71.09745453     35.00406389    206.77931915    300.00000000      1.00022571      0.03437868     -7.58299991     -0.01259750     -7.59559742      0.06499987      0.00035267      0.06497399      0.01083331 md_running
    45     22.50000000     71.35138994     35.01135351    206.92668091    300.00000000      1.00022467      0.03440318     -7.58301561     -0.01288303     -7.59589864      0.06577845      0.00036069      0.06575149      0.01096308 md_running
    46     23.00000000     71.59709004     35.01848569    206.62636996    300.00000000      1.00022479      0.03435325     -7.58295539     -0.01316857     -7.59612396      0.06744840      0.00036871      0.06742009      0.01124140 md_running
    47     23.50000000     71.83184742     35.02558425    205.73943181    300.00000000      1.00022684      0.03420579     -7.58279575     -0.01345412     -7.59624987      0.06987641      0.00037670      0.06984672      0.01164607 md_running
    48     24.00000000     72.08528892     35.03279033    204.30965849    300.00000000      1.00023103      0.03396808     -7.58254363     -0.01373966     -7.59628329      0.07270788      0.00038469      0.07267689      0.01211798 md_running
    49     24.50000000     72.34143085     35.04025032    202.56341353    300.00000000      1.00023694      0.03367775     -7.58223761     -0.01402517     -7.59626278      0.07544890      0.00039269      0.07541680      0.01257482 md_running
