  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.56795595     16.54078761    298.52367453    300.00000000      1.00000000      0.04963189     -7.59852349     -0.00121194     -7.59973543      0.05586493      0.00007369      0.05584901      0.00931082 md_running
     2      1.00000000     21.84402185     16.49864199    295.84436883    300.00000000      1.00000478      0.04918644     -7.59807360     -0.00242391     -7.60049751      0.05491472      0.00014775      0.05488083      0.00915245 md_running
     3      1.50000000     40.61742789     16.45669381    293.42880864    300.00000000      1.00000911      0.04878483     -7.59766465     -0.00363591     -7.60130056      0.05302060      0.00022217      0.05296552      0.00883677 md_running
     4      2.00000000     40.88868718     16.41495084    291.16709720    300.00000000      1.00001315      0.04840880     -7.59727779     -0.00484795     -7.60212574      0.05046496      0.00029696      0.05038430      0.00841083 md_running
     5      2.50000000     41.16922824     16.37342160    288.93256731    300.00000000      1.00001708      0.04803729     -7.59689206     -0.00606001     -7.60295208      0.04763733      0.00037212      0.04752582      0.00793955 md_running
     6      3.00000000     46.40367566     16.33211516    286.61063059    300.00000000      1.00002114      0.04765125     -7.59648788     -0.00727211     -7.60375999      0.04500660      0.00044764      0.04485885      0.00750110 md_running
     7      3.50000000     46.67104824     16.29104100    284.12471854    300.00000000      1.00002552      0.04723795     -7.59605245     -0.00848424     -7.60453669      0.04304272      0.00052353      0.04285492      0.00717379 md_running
     8      4.00000000     46.94211061     16.25020877    281.45318343    300.00000000      1.00003031      0.04679379     -7.59558216     -0.00969639     -7.60527855      0.04210192      0.00059979      0.04187368      0.00701699 md_running
     9      4.50000000     51.07052281     16.20962782    278.62939638    300.00000000      1.00003554      0.04632431     -7.59508267     -0.01090857     -7.60599124      0.04231680      0.00067641      0.04205161      0.00705280 md_running
    10      5.00000000     51.33740445     16.16930691    275.72592729    300.00000000      1.00004110      0.04584159     -7.59456643     -0.01212079     -7.60668722      0.04356101      0.00075340      0.04326443      0.00726017 md_running
    11      5.50000000     51.58737860     16.12925412    272.83014866    300.00000000      1.00004686      0.04536014     -7.59404818     -0.01333303     -7.60738122      0.04553111      0.00083074      0.04520829      0.00758852 md_running
    12      6.00000000     51.85909880     16.08947659    270.01854788    300.00000000      1.00005263      0.04489269     -7.59354104     -0.01454531     -7.60808634      0.04788053      0.00090845      0.04753479      0.00798009 md_running
    13      6.50000000     58.59162210     16.04998044    267.33654164    300.00000000      1.00005829      0.04444679     -7.59305236     -0.01575761     -7.60880997      0.05032169      0.00098651      0.04995434      0.00838695 md_running
    14      7.00000000     63.53844453     16.01077080    264.79202859    300.00000000      1.00006378      0.04402374     -7.59258382     -0.01696995     -7.60955377      0.05266011      0.00106493      0.05227113      0.00877668 md_running
    15      7.50000000     63.81824441     15.97185171    262.36312648    300.00000000      1.00006908      0.04361992     -7.59213135     -0.01818231     -7.61031366      0.05478521      0.00114371      0.05437378      0.00913087 md_running
    16      8.00000000     64.07944672     15.93322621    260.01496176    300.00000000      1.00007428      0.04322952     -7.59168913     -0.01939470     -7.61108383      0.05664454      0.00122284      0.05620937      0.00944076 md_running
    17      8.50000000     64.33739646     15.89489651    257.72157752    300.00000000      1.00007942      0.04284822     -7.59125260     -0.02060712     -7.61185972      0.05820596      0.00130232      0.05774551      0.00970099 md_running
    18      9.00000000     64.59049686     15.85686403    255.48479657    300.00000000      1.00008455      0.04247634     -7.59082212     -0.02181956     -7.61264169      0.05944242      0.00138216      0.05895507      0.00990707 md_running
    19      9.50000000     64.85932015     15.81912952    253.34071908    300.00000000      1.00008960      0.04211987     -7.59040369     -0.02303203     -7.61343571      0.06034053      0.00146234      0.05982421      0.01005676 md_running
    20     10.00000000     65.11860781     15.78169326    251.35414511    300.00000000      1.00009446      0.04178959     -7.59000847     -0.02424451     -7.61425298      0.06088748      0.00154287      0.06033969      0.01014791 md_running
    21     10.50000000     65.37113171     15.74455538    249.60456904    300.00000000      1.00009894      0.04149871     -7.58964971     -0.02545702     -7.61510672      0.06107852      0.00162374      0.06049645      0.01017975 md_running
    22     11.00000000     65.63326042     15.70771604    248.16554588    300.00000000      1.00010280      0.04125946     -7.58934019     -0.02666954     -7.61600973      0.06094675      0.00170496      0.06032747      0.01015779 md_running
    23     11.50000000     65.89491600     15.67117556    247.08514588    300.00000000      1.00010589      0.04107983     -7.58908791     -0.02788207     -7.61696999      0.06055534      0.00178653      0.05989627      0.01009256 md_running
    24     12.00000000     66.15159496     15.63493451    246.37367608    300.00000000      1.00010808      0.04096155     -7.58889486     -0.02909463     -7.61798948      0.06000533      0.00186843      0.05930491      0.01000089 md_running
    25     12.50000000     66.41789068     15.59899360    246.00104509    300.00000000      1.00010940      0.04089959     -7.58875592     -0.03030719     -7.61906311      0.05942659      0.00195067      0.05868479      0.00990443 md_running
    26     13.00000000     66.68734008     15.56335371    245.90567877    300.00000000      1.00010995      0.04088374     -7.58866097     -0.03151977     -7.62018074      0.05894961      0.00203325      0.05816829      0.00982493 md_running
    27     13.50000000     66.95041936     15.52801579    246.01254284    300.00000000      1.00010990      0.04090151     -7.58859703     -0.03273235     -7.62132939      0.05867074      0.00211616      0.05785348      0.00977846 md_running
    28     14.00000000     67.20592187     15.49298094    246.25548788    300.00000000      1.00010944      0.04094190     -7.58855330     -0.03394496     -7.62249826      0.05861618      0.00219941      0.05776754      0.00976936 md_running
    29     14.50000000     67.45972153     15.45825027    246.59714190    300.00000000      1.00010871      0.04099870     -7.58852339     -0.03515757     -7.62368096      0.05872494      0.00228298      0.05784910      0.00978749 md_running
    30     15.00000000     67.71592447     15.42382479    247.03914647    300.00000000      1.00010775      0.04107219     -7.58850753     -0.03637020     -7.62487773      0.05885735      0.00236687      0.05795653      0.00980956 md_running
    31     15.50000000     67.98074691     15.38970528    247.61971971    300.00000000      1.00010652      0.04116871     -7.58851240     -0.03758285     -7.62609525      0.05882289      0.00245109      0.05789634      0.00980382 md_running
    32     16.00000000     68.22714670     15.35589217    248.39878552    300.00000000      1.00010489      0.04129824     -7.58854830     -0.03879551     -7.62734380      0.05842483      0.00253563      0.05746833      0.00973747 md_running
    33     16.50000000     68.47912937     15.32238540    249.43416188    300.00000000      1.00010271      0.04147038     -7.58862516     -0.04000819     -7.62863334      0.05751253      0.00262048      0.05651858      0.00958542 md_running
    34     17.00000000     68.73054851     15.28918428    250.75653408    300.00000000      1.00009987      0.04169023     -7.58874847     -0.04122088     -7.62996936      0.05602340      0.00270564      0.05498186      0.00933723 md_running
    35     17.50000000     68.99334157     15.25628745    252.35119104    300.00000000      1.00009637      0.04195536     -7.58891587     -0.04243360     -7.63134947      0.05401290      0.00279111      0.05291217      0.00900215 md_running
    36     18.00000000     69.25644020     15.22369281    254.15335283    300.00000000      1.00009233      0.04225498     -7.58911634     -0.04364633     -7.63276267      0.05166968      0.00287689      0.05049926      0.00861161 md_running
    37     18.50000000     69.51093753     15.19139757    256.05956250    300.00000000      1.00008797      0.04257190     -7.58933274     -0.04485908     -7.63419182      0.04930496      0.00296297      0.04805955      0.00821749 md_running
    38     19.00000000     69.76405638     15.15939820    257.95095445    300.00000000      1.00008357      0.04288636     -7.58954495     -0.04607185     -7.63561679      0.04731374      0.00304935      0.04599852      0.00788562 md_running
    39     19.50000000     70.01235211     15.12769050    259.72170131    300.00000000      1.00007940      0.04318076     -7.58973519     -0.04728462     -7.63701981      0.04608980      0.00313603      0.04472438      0.00768163 md_running
    40     20.00000000     70.25947037     15.09626976    261.30550028    300.00000000      1.00007566      0.04344408     -7.58989211     -0.04849742     -7.63838953      0.04590227      0.00322302      0.04451909      0.00765038 md_running
    41     20.50000000     70.51832369     15.06513080    262.69204173    300.00000000      1.00007240      0.04367460     -7.59001407     -0.04971022     -7.63972429      0.04678862      0.00331030      0.04542298      0.00779810 md_running
    42     21.00000000     70.77985220     15.03426813    263.92747899    300.00000000      1.00006958      0.04388000     -7.59010900     -0.05092302     -7.64103202      0.04854581      0.00339787      0.04722376      0.00809097 md_running
    43     21.50000000     71.03767803     15.00367614    265.10061133    300.00000000      1.00006702      0.04407505     -7.59019163     -0.05213584     -7.64232747      0.05081568      0.00348574      0.04954871      0.00846928 md_running
