  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     13.59236522      0.12377578   1000.16242395   1000.00000000      1.00000000      0.16628481     -7.59825744      0.00121306     -7.59704438      0.05931907      0.00980047      0.05854894      0.00988651 md_running
     2      1.00000000     32.53505165      0.24863396    998.41050028   1000.00000000      0.99999978      0.16599354     -7.59673999      0.00242612     -7.59431387      0.06680664      0.00975781      0.06518408      0.01113444 md_running
     3      1.50000000     32.83418845      0.37359197    992.77706665   1000.00000000      1.00000172      0.16505694     -7.59457115      0.00363918     -7.59093196      0.07632527      0.00974107      0.07415476      0.01272088 md_running
     4      2.00000000     41.92858104      0.49776744    984.55931598   1000.00000000      1.00000538      0.16369067     -7.59197538      0.00485225     -7.58712314      0.08579307      0.00974802      0.08331111      0.01429884 md_running
     5      2.50000000     53.27917616      0.62051880    975.44493778   1000.00000000      1.00001001      0.16217533     -7.58924208      0.00606531     -7.58317677      0.09353438      0.00977457      0.09089003      0.01558906 md_running
     6      3.00000000     53.55012011      0.74153384    966.99907374   1000.00000000      1.00001476      0.16077114     -7.58663801      0.00727837     -7.57935964      0.09853447      0.00981529      0.09581329      0.01642241 md_running
     7      3.50000000     53.80661001      0.86084136    960.15551260   1000.00000000      1.00001889      0.15963335     -7.58432026      0.00849143     -7.57582883      0.10059180      0.00986410      0.09783443      0.01676530 md_running
     8      4.00000000     54.04010533      0.97873131    954.92870353   1000.00000000      1.00002211      0.15876435     -7.58228785      0.00970449     -7.57258336      0.10035789      0.00991538      0.09757563      0.01672632 md_running
     9      4.50000000     54.28567001      1.09561428    950.48110086   1000.00000000      1.00002464      0.15802490     -7.58039322      0.01091755     -7.56947566      0.09918886      0.00996478      0.09637786      0.01653148 md_running
    10      5.00000000     54.52968316      1.21186220    945.50382446   1000.00000000      1.00002710      0.15719739     -7.57841004      0.01213061     -7.56627942      0.09875023      0.01000989      0.09590756      0.01645837 md_running
    11      5.50000000     54.77003095      1.32768136    938.74044003   1000.00000000      1.00003027      0.15607293     -7.57612250      0.01334367     -7.56277882      0.10038802      0.01005036      0.09752141      0.01673134 md_running
    12      6.00000000     55.02678330      1.44305357    929.44757593   1000.00000000      1.00003479      0.15452791     -7.57340487      0.01455674     -7.55884813      0.10454188      0.01008745      0.10166583      0.01742365 md_running
    13      6.50000000     55.28646056      1.55775384    917.64538371   1000.00000000      1.00004094      0.15256571     -7.57026269      0.01576980     -7.55449290      0.11062020      0.01012342      0.10774441      0.01843670 md_running
    14      7.00000000     55.53844387      1.67142482    904.09885815   1000.00000000      1.00004859      0.15031349     -7.56682948      0.01698286     -7.54984662      0.11742351      0.01016071      0.11454673      0.01957059 md_running
    15      7.50000000     55.79235055      1.78368290    890.06982213   1000.00000000      1.00005718      0.14798106     -7.56332223      0.01819592     -7.54512631      0.12368384      0.01020132      0.12079657      0.02061397 md_running
    16      8.00000000     56.02565472      1.89422237    876.94541931   1000.00000000      1.00006590      0.14579902     -7.55997891      0.01940898     -7.54056993      0.12838701      0.01024641      0.12547562      0.02139783 md_running
    17      8.50000000     56.26722510      2.00289345    865.85445031   1000.00000000      1.00007388      0.14395506     -7.55699139      0.02062204     -7.53636935      0.13091481      0.01029613      0.12796185      0.02181914 md_running
    18      9.00000000     56.51213799      2.10973492    857.37598371   1000.00000000      1.00008043      0.14254545     -7.55445726      0.02183510     -7.53262216      0.13103250      0.01034969      0.12801628      0.02183875 md_running
    19      9.50000000     56.74231277      2.21496316    851.40747854   1000.00000000      1.00008528      0.14155314     -7.55235681      0.02304817     -7.52930865      0.12886553      0.01040567      0.12575972      0.02147759 md_running
    20     10.00000000     56.98550810      2.31892330    847.19498662   1000.00000000      1.00008866      0.14085278     -7.55055987      0.02426123     -7.52629865      0.12489506      0.01046228      0.12166831      0.02081584 md_running
    21     10.50000000     57.22928073      2.42201314    843.51479462   1000.00000000      1.00009122      0.14024092     -7.54885600      0.02547429     -7.52338171      0.11995193      0.01051782      0.11657253      0.01999199 md_running
    22     11.00000000     57.48356980      2.52459944    838.97761584   1000.00000000      1.00009393      0.13948658     -7.54700686      0.02668735     -7.52031951      0.11517438      0.01057092      0.11162084      0.01919573 md_running
    23     11.50000000     57.72022377      2.62694216    832.39576266   1000.00000000      1.00009774      0.13839229     -7.54480818      0.02790041     -7.51690777      0.11182164      0.01062087      0.10809870      0.01863694 md_running
    24     12.00000000     57.94438137      2.72914260    823.13986497   1000.00000000      1.00010341      0.13685343     -7.54215187      0.02911347     -7.51303840      0.11087067      0.01066763      0.10702056      0.01847844 md_running
    25     12.50000000     58.17970059      2.83113239    811.37822394   1000.00000000      1.00011125      0.13489796     -7.53906595      0.03032653     -7.50873941      0.11256531      0.01071180      0.10865601      0.01876089 md_running
