  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.92068430      8.25789563    302.90965299    300.00000000      1.00000000      0.03453332     -5.74430333      0.34096420     -5.40333913      0.07179449      0.11678428      0.12572558      0.01435890 md_running
     2      1.00000000     20.07003066      8.24194107    310.12877010    300.00000000      0.99998945      0.03535634     -5.74380942      0.33964796     -5.40416146      0.07675239      0.11655865      0.12789753      0.01535048 md_running
     3      1.50000000     39.97428451      8.22326990    318.99187246    300.00000000      0.99997699      0.03636678     -5.74328305      0.33811084     -5.40517221      0.08016322      0.11629460      0.12925648      0.01603264 md_running
     4      2.00000000     40.22119212      8.20189602    329.69186820    300.00000000      0.99996264      0.03758664     -5.74274927      0.33635549     -5.40639378      0.08180136      0.11599233      0.12955948      0.01636027 md_running
     5      2.50000000     45.60131539      8.17783613    342.37451940    300.00000000      0.99994656      0.03903253     -5.74222839      0.33438502     -5.40784337      0.08165913      0.11565207      0.12873121      0.01633183 md_running
     6      3.00000000     56.09804726      8.15111023    357.10036961    300.00000000      0.99992905      0.04071135     -5.74173130      0.33220299     -5.40952831      0.07996062      0.11527411      0.12688652      0.01599212 md_running
     7      3.50000000     56.34681215      8.12174199    373.82186920    300.00000000      0.99991055      0.04261769     -5.74125681      0.32981346     -5.41144335      0.07718179      0.11485878      0.12432939      0.01543636 md_running
     8      4.00000000     61.22224612      8.08975902    392.38294325    300.00000000      0.99989159      0.04473376     -5.74079191      0.32722100     -5.41357090      0.07404544      0.11440647      0.12152190      0.01480909 md_running
     9      4.50000000     61.45404934      8.05519283    412.54401747    300.00000000      0.99987269      0.04703223     -5.74031404      0.32443066     -5.41588338      0.07145737      0.11391763      0.11901294      0.01429147 md_running
    10      5.00000000     61.66924409      8.01807869    434.02904439    300.00000000      0.99985430      0.04948163     -5.73979701      0.32144793     -5.41834908      0.07032565      0.11339276      0.11732983      0.01406513 md_running
    11      5.50000000     61.89293961      7.97845520    456.58484193    300.00000000      0.99983674      0.05205312     -5.73921759      0.31827874     -5.42093886      0.07126187      0.11283240      0.11684689      0.01425237 md_running
    12      6.00000000     62.11227388      7.93636366    480.03804196    300.00000000      0.99982018      0.05472691     -5.73856209      0.31492934     -5.42363274      0.07431969      0.11223713      0.11767426      0.01486394 md_running
    13      6.50000000     62.33639703      7.89184732    504.33229120    300.00000000      0.99980464      0.05749658     -5.73783066      0.31140627     -5.42642439      0.07899111      0.11160758      0.11962679      0.01579822 md_running
    14      7.00000000     62.55504701      7.84495052    529.53808296    300.00000000      0.99979006      0.06037018     -5.73703827      0.30771624     -5.42932203      0.08444690      0.11094435      0.12227818      0.01688938 md_running
    15      7.50000000     62.77148424      7.79571782    555.83262678    300.00000000      0.99977631      0.06336789     -5.73621240      0.30386608     -5.43234632      0.08981661      0.11024810      0.12507496      0.01796332 md_running
    16      8.00000000     62.98339774      7.74419316    583.45237423    300.00000000      0.99976325      0.06651669     -5.73538759      0.29986264     -5.43552495      0.09435160      0.10951943      0.12745356      0.01887032 md_running
    17      8.50000000     63.20266379      7.69041927    612.63077249    300.00000000      0.99975076      0.06984319     -5.73459774      0.29571274     -5.43888500      0.09749103      0.10875895      0.12893237      0.01949821 md_running
    18      9.00000000     63.42132371      7.63443717    643.53388744    300.00000000      0.99973876      0.07336631     -5.73386927      0.29142315     -5.44244612      0.09887675      0.10796725      0.12916656      0.01977535 md_running
    19      9.50000000     63.63904663      7.57628605    676.20709718    300.00000000      0.99972725      0.07709123     -5.73321443      0.28700055     -5.44621388      0.09834917      0.10714486      0.12797196      0.01966983 md_running
    20     10.00000000     63.85739428      7.51600350    710.54468379    300.00000000      0.99971625      0.08100590     -5.73262796      0.28245154     -5.45017642      0.09594890      0.10629234      0.12534410      0.01918978 md_running
    21     10.50000000     64.07733413      7.45362610    746.29342622    300.00000000      0.99970582      0.08508145     -5.73208734      0.27778271     -5.45430463      0.09193195      0.10541019      0.12148015      0.01838639 md_running
    22     11.00000000     64.30072102      7.38918990    783.08787408    300.00000000      0.99969603      0.08927621     -5.73155743      0.27300064     -5.45855679      0.08677735      0.10449893      0.11676053      0.01735547 md_running
    23     11.50000000     64.52376202      7.32273117    820.50688976    300.00000000      0.99968694      0.09354218     -5.73099632      0.26811196     -5.46288436      0.08121023      0.10355906      0.11174240      0.01624205 md_running
    24     12.00000000     64.73951456      7.25428706    858.14089751    300.00000000      0.99967856      0.09783266     -5.73036359      0.26312340     -5.46724019      0.07619245      0.10259111      0.10710749      0.01523849 md_running
    25     12.50000000     64.95209000      7.18389649    895.65857320    300.00000000      0.99967089      0.10210987     -5.72962795      0.25804184     -5.47158611      0.07280297      0.10159564      0.10357138      0.01456059 md_running
    26     13.00000000     65.16736314      7.11160074    932.85693853    300.00000000      0.99966390      0.10635068     -5.72877322      0.25287433     -5.47589889      0.07193376      0.10057322      0.10170265      0.01438675 md_running
    27     13.50000000     65.38053288      7.03744409    969.68146153    300.00000000      0.99965752      0.11054888     -5.72780033      0.24762810     -5.48017223      0.07388736      0.09952449      0.10174311      0.01477747 md_running
    28     14.00000000     65.59287468      6.96147430   1006.21590374    300.00000000      0.99965167      0.11471400     -5.72672658      0.24231062     -5.48441596      0.07819946      0.09845011      0.10349745      0.01563989 md_running
    29     14.50000000     65.80952596      6.88374299   1042.64220176    300.00000000      0.99964627      0.11886679     -5.72558094      0.23692959     -5.48865136      0.08387601      0.09735083      0.10638290      0.01677520 md_running
    30     15.00000000     66.02160111      6.80430592   1079.18098486    300.00000000      0.99964125      0.12303241     -5.72439663      0.23149290     -5.49290373      0.08979917      0.09622742      0.10961193      0.01795983 md_running
    31     15.50000000     66.23771727      6.72322299   1116.03318165    300.00000000      0.99963652      0.12723376     -5.72320536      0.22600864     -5.49719673      0.09499608      0.09508073      0.11239639      0.01899922 md_running
    32     16.00000000     66.44995103      6.64055760   1153.32210583    300.00000000      0.99963206      0.13148489     -5.72202970      0.22048503     -5.50154468      0.09878741      0.09391167      0.11408299      0.01975748 md_running
    33     16.50000000     66.66528941      6.55637672   1191.04007160    300.00000000      0.99962783      0.13578494     -5.72087753      0.21493038     -5.50594715      0.10082842      0.09272117      0.11425442      0.02016568 md_running
    34     17.00000000     66.87119677      6.47075181   1229.04356371    300.00000000      0.99962382      0.14011754     -5.71974004      0.20935314     -5.51038689      0.10106266      0.09151025      0.11277569      0.02021253 md_running
    35     17.50000000     67.07459207      6.38375878   1267.10479647    300.00000000      0.99962004      0.14445673     -5.71859974      0.20376188     -5.51483786      0.09967198      0.09027998      0.10977729      0.01993440 md_running
    36     18.00000000     67.28815634      6.29547640   1304.96005834    300.00000000      0.99961649      0.14877243     -5.71743474      0.19816512     -5.51926963      0.09712938      0.08903148      0.10565271      0.01942588 md_running
