  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00426420      9.60842925    343.63907874    300.00000000      1.00000000      0.03754433     -5.25543153      2.30804782     -2.94738372      0.07564660      0.67941855      0.68296144      0.01544130 md_running
     2      1.00000000     20.18006533      9.57463198    487.82699322    300.00000000      0.99986885      0.05329760     -5.25500197      2.29183944     -2.96316253      0.07825753      0.67702872      0.67943645      0.01597425 md_running
     3      1.50000000     39.12643365      9.52351658    705.81192030    300.00000000      0.99975495      0.07711357     -5.25447013      2.26743420     -2.98703593      0.07911299      0.67341432      0.67320693      0.01614887 md_running
     4      2.00000000     44.10883349      9.45526924    994.63263517    300.00000000      0.99967800      0.10866872     -5.25374075      2.23505291     -3.01868784      0.07944182      0.66858850      0.66447486      0.01621599 md_running
     5      2.50000000     44.34779640      9.37014603   1350.30716138    300.00000000      0.99962861      0.14752798     -5.25268016      2.19499092     -3.05768924      0.08115735      0.66256938      0.65358259      0.01656617 md_running
     6      3.00000000     48.27260729      9.26846779   1768.01821844    300.00000000      0.99959647      0.19316506     -5.25113169      2.14761238     -3.10351931      0.08636034      0.65537964      0.64095937      0.01762823 md_running
     7      3.50000000     53.29797600      9.15061500   2242.32032442    300.00000000      0.99957488      0.24498500     -5.24893139      2.09334387     -3.15558752      0.09642014      0.64704619      0.62709159      0.01968168 md_running
     8      4.00000000     53.52210232      9.01702200   2767.37108437    300.00000000      0.99955986      0.30234949     -5.24592633      2.03266714     -3.21325919      0.11137491      0.63759974      0.61250346      0.02273431 md_running
     9      4.50000000     53.73497110      8.86817007   3337.15793485    300.00000000      0.99954907      0.36460162     -5.24199242      1.96611101     -3.27588141      0.13022810      0.62707432      0.59766747      0.02658270 md_running
    10      5.00000000     53.96009799      8.70458024   3945.67043235    300.00000000      0.99954109      0.43108473     -5.23704348      1.89424293     -3.34280055      0.15159914      0.61550677      0.58292375      0.03094505 md_running
    11      5.50000000     60.48760058      8.52680710   4587.04420755    300.00000000      0.99953504      0.50115811     -5.23103971      1.81766098     -3.41337873      0.17415513      0.60293631      0.56849593      0.03554927 md_running
    12      6.00000000     60.71828587      8.33543251   5255.66860622    300.00000000      0.99953035      0.57420875     -5.22399136      1.73698588     -3.48700548      0.19680742      0.58940408      0.55446826      0.04017315 md_running
    13      6.50000000     60.93833335      8.13106051   5946.25415597    300.00000000      0.99952665      0.64965877     -5.21595822      1.65285362     -3.56310460      0.21873783      0.57495280      0.54088687      0.04464967 md_running
    14      7.00000000     61.15849401      7.91431150   6653.87656211    300.00000000      0.99952368      0.72697014     -5.20705058      1.56590816     -3.64114242      0.23934489      0.55962633      0.52770976      0.04885607 md_running
    15      7.50000000     61.37156199      7.68581741   7373.71737434    300.00000000      0.99952125      0.80561645     -5.19739238      1.47679473     -3.72059765      0.25814903      0.54346936      0.51459227      0.05269445 md_running
    16      8.00000000     61.58766919      7.44622182   8100.60081947    300.00000000      0.99951925      0.88503219     -5.18705956      1.38615549     -3.80090408      0.27499627      0.52652739      0.50118132      0.05613338 md_running
    17      8.50000000     61.80359541      7.19618393   8829.11793577    300.00000000      0.99951758      0.96462642     -5.17609686      1.29462658     -3.88147028      0.28995738      0.50884705      0.48745262      0.05918730 md_running
    18      9.00000000     62.01972685      6.93637786   9553.74587732    300.00000000      0.99951618      1.04379574     -5.16452652      1.20283344     -3.96169308      0.30305934      0.49047598      0.47331606      0.06186173 md_running
    19      9.50000000     62.23920520      6.66749408  10268.87637063    300.00000000      0.99951500      1.12192742     -5.15233912      1.11138693     -4.04095219      0.31419299      0.47146303      0.45879814      0.06413438 md_running
    20     10.00000000     62.45163569      6.39023524  10969.05498030    300.00000000      0.99951399      1.19842552     -5.13953419      1.02087766     -4.11865653      0.32342043      0.45185787      0.44384279      0.06601792 md_running
    21     10.50000000     62.65744175      6.10531766  11648.63738693    300.00000000      0.99951313      1.27267338     -5.12606663      0.93187259     -4.19419403      0.33076903      0.43171115      0.42806968      0.06751795 md_running
    22     11.00000000     62.87091900      5.81347943  12302.30784465    300.00000000      0.99951239      1.34409023     -5.11186963      0.84491358     -4.26695606      0.33600881      0.41107507      0.41197819      0.06858751 md_running
    23     11.50000000     63.08417879      5.51546127  12924.72513592    300.00000000      0.99951176      1.41209252     -5.09687656      0.76050783     -4.33636873      0.33949825      0.39000201      0.39510046      0.06929979 md_running
    24     12.00000000     63.29839545      5.21202341  13511.03386942    300.00000000      0.99951121      1.47614975     -5.08099866      0.67912970     -4.40186895      0.34157904      0.36854571      0.37875695      0.06972453 md_running
    25     12.50000000     63.52050695      4.90391884  14057.70482620    300.00000000      0.99951075      1.53587636     -5.06438983      0.60121050     -4.46317933      0.34298821      0.34675943      0.36320534      0.07001218 md_running
    26     13.00000000     63.73523460      4.59190524  14559.11823172    300.00000000      0.99951035      1.59065835     -5.04668646      0.52713984     -4.51954662      0.34552893      0.32469673      0.34793368      0.07053080 md_running
    27     13.50000000     63.94905157      4.27682080  15010.64410562    300.00000000      0.99951001      1.63998986     -5.02776875      0.45727990     -4.57048885      0.34821361      0.30241690      0.33504590      0.07107881 md_running
    28     14.00000000     64.16088443      3.95950601  15411.01045139    300.00000000      0.99950973      1.68373194     -5.00783384      0.39194220     -4.61589165      0.35203831      0.27997936      0.32521607      0.07185952 md_running
    29     14.50000000     64.37593513      3.64082502  15759.35738290    300.00000000      0.99950949      1.72179063     -4.98702742      0.33139017     -4.65563725      0.35681691      0.25744521      0.31857080      0.07283495 md_running
    30     15.00000000     64.58883170      3.32167338  16055.32853490    300.00000000      0.99950930      1.75412700     -4.96554873      0.27583785     -4.68971088      0.36249810      0.23487778      0.31527971      0.07399461 md_running
    31     15.50000000     64.80166222      3.00298991  16298.74422977    300.00000000      0.99950914      1.78072141     -4.94348695      0.22544871     -4.71803824      0.36932605      0.21234345      0.31561363      0.07538836 md_running
    32     16.00000000     65.01986153      2.68577996  16490.26323338    300.00000000      0.99950902      1.80164584     -4.92104910      0.18033535     -4.74071375      0.37680390      0.18991332      0.31957468      0.07691477 md_running
    33     16.50000000     65.23990943      2.37111980  16633.50379590    300.00000000      0.99950892      1.81729561     -4.89861886      0.14055523     -4.75806364      0.38441825      0.16766349      0.32700540      0.07846905 md_running
    34     17.00000000     65.46014084      2.06016774  16741.00414222    300.00000000      0.99950886      1.82904057     -4.87741589      0.10610728     -4.77130861      0.39068725      0.14567586      0.33719346      0.07974870 md_running
    35     17.50000000     65.68023075      1.75415317  16841.40040953    300.00000000      0.99950881      1.84000938     -4.86070461      0.07692633     -4.78377827      0.39476168      0.12403736      0.34975627      0.08058039 md_running
    36     18.00000000     65.89974335      1.45442774  16964.40415876    300.00000000      0.99950875      1.85344817     -4.85189159      0.05288400     -4.79900758      0.40195131      0.10284357      0.36594212      0.08204797 md_running
    37     18.50000000     66.10353018      1.16314730  17111.98577137    300.00000000      0.99950868      1.86957222     -4.85121970      0.03382279     -4.81739691      0.41492779      0.08224693      0.38456610      0.08469678 md_running
    38     19.00000000     66.32311583      0.88494505  17242.64009382    300.00000000      0.99950860      1.88384687     -4.85383330      0.01957819     -4.83425511      0.43271548      0.06257506      0.40417891      0.08832768 md_running
