  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00988169      9.48035700    338.37776616    300.00000000      1.00000000      0.04179162     -5.84825074      2.24692922     -3.60132152      0.07541085      0.67036247      0.69355710      0.01451282 md_running
     2      1.00000000     20.13368944      9.44616992    466.64763911    300.00000000      0.99988043      0.05763369     -5.84794338      2.23075315     -3.61719023      0.07367843      0.66794508      0.68948181      0.01417942 md_running
     3      1.50000000     39.22466373      9.39446064    661.43541061    300.00000000      0.99976955      0.08169111     -5.84771240      2.20639727     -3.64131513      0.06466103      0.66428868      0.67957262      0.01244402 md_running
     4      2.00000000     47.79683208      9.32547389    918.83352474    300.00000000      0.99969139      0.11348127     -5.84733065      2.17411158     -3.67321907      0.05373121      0.65941058      0.66467374      0.01034058 md_running
     5      2.50000000     48.01960458      9.23958306   1233.17976783    300.00000000      0.99964002      0.15230485     -5.84645213      2.13424738     -3.71220475      0.05397422      0.65333718      0.64619097      0.01038734 md_running
     6      3.00000000     48.23159171      9.13727618   1597.67055431    300.00000000      0.99960618      0.19732158     -5.84467828      2.08724540     -3.75743288      0.07449247      0.64610299      0.62575947      0.01433608 md_running
     7      3.50000000     48.46026848      9.01913801   2005.01741872    300.00000000      0.99958328      0.24763128     -5.84162558      2.03362126     -3.80800432      0.10798011      0.63774936      0.60490505      0.02078078 md_running
     8      4.00000000     55.13705644      8.88583062   2447.96021355    300.00000000      0.99956730      0.30233728     -5.83697466      1.97394964     -3.86302502      0.14667009      0.62832311      0.58474493      0.02822667 md_running
     9      4.50000000     60.02224452      8.73807639   2919.59594760    300.00000000      0.99955578      0.36058703     -5.83049255      1.90884947     -3.92164307      0.18628847      0.61787531      0.56591218      0.03585123 md_running
    10      5.00000000     60.25531393      8.57664182   3413.55870111    300.00000000      0.99954723      0.42159429     -5.82204429      1.83896962     -3.98307467      0.22446475      0.60646016      0.54855501      0.04319826 md_running
    11      5.50000000     60.47729983      8.40232405   3924.23013950    300.00000000      0.99954074      0.48466518     -5.81160182      1.76497623     -4.04662559      0.25978091      0.59413403      0.53278719      0.04999486 md_running
    12      6.00000000     60.68816828      8.21593106   4446.79621459    300.00000000      0.99953569      0.54920512     -5.79924502      1.68753808     -4.11170694      0.29136959      0.58095406      0.51826696      0.05607410 md_running
    13      6.50000000     60.90750271      8.01827073   4977.05034193    300.00000000      0.99953169      0.61469458     -5.78511625      1.60731664     -4.17779961      0.31882229      0.56697736      0.50456259      0.06135738 md_running
    14      7.00000000     61.12402097      7.81014295   5511.31400675    300.00000000      0.99952846      0.68067924     -5.76940756      1.52495832     -4.24444924      0.34198201      0.55226050      0.49131655      0.06581447 md_running
    15      7.50000000     61.34113832      7.59233187   6046.36748565    300.00000000      0.99952581      0.74676144     -5.75234749      1.44108758     -4.31125991      0.36099895      0.53685894      0.47827773      0.06947428 md_running
    16      8.00000000     61.56202715      7.36560097   6579.30663841    300.00000000      0.99952362      0.81258252     -5.73417678      1.35630194     -4.37787484      0.37624816      0.52082664      0.46526611      0.07240899 md_running
    17      8.50000000     61.78311190      7.13069205   7107.34053655    300.00000000      0.99952178      0.87779777     -5.71512107      1.27116923     -4.44395184      0.38832062      0.50421607      0.45219483      0.07473234 md_running
    18      9.00000000     62.00855766      6.88832881   7627.53106074    300.00000000      0.99952022      0.94204431     -5.69535184      1.18622685     -4.50912499      0.39780382      0.48707840      0.43892677      0.07655738 md_running
    19      9.50000000     62.23279637      6.63922483   8137.09243702    300.00000000      0.99951889      1.00497810     -5.67502695      1.10198266     -4.57304429      0.40475758      0.46946409      0.42579381      0.07789563 md_running
    20     10.00000000     62.45264748      6.38407354   8633.21052557    300.00000000      0.99951775      1.06625156     -5.65427837      1.01890987     -4.63536850      0.41003315      0.45142217      0.41281183      0.07891092 md_running
    21     10.50000000     62.67120983      6.12356385   9113.01717514    300.00000000      0.99951677      1.12551046     -5.63318881      0.93745086     -4.69573796      0.41385497      0.43300135      0.40041221      0.07964643 md_running
    22     11.00000000     62.89609246      5.85837311   9573.81642933    300.00000000      0.99951592      1.18242184     -5.61182854      0.85801339     -4.75381515      0.41679272      0.41424953      0.38867390      0.08021180 md_running
    23     11.50000000     63.11685002      5.58917798  10013.13760765    300.00000000      0.99951518      1.23668055     -5.59026034      0.78097276     -4.80928758      0.41895478      0.39521457      0.37792166      0.08062789 md_running
    24     12.00000000     63.33705247      5.31664966  10429.16557130    300.00000000      0.99951454      1.28806242     -5.56859585      0.70666909     -4.86192676      0.42042411      0.37594390      0.36832960      0.08091066 md_running
    25     12.50000000     63.55034568      5.04145241  10820.64702659    300.00000000      0.99951398      1.33641265     -5.54698907      0.63540606     -4.91158301      0.42135772      0.35648452      0.36005648      0.08109033 md_running
    26     13.00000000     63.76789879      4.76424484  11186.94336906    300.00000000      0.99951350      1.38165237     -5.52561979      0.56745072     -4.95816907      0.42178688      0.33688298      0.35318935      0.08117292 md_running
    27     13.50000000     63.98251971      4.48568050  11528.18558067    300.00000000      0.99951307      1.42379776     -5.50472574      0.50303324     -5.00169251      0.42179009      0.31718551      0.34788518      0.08117354 md_running
    28     14.00000000     64.19641265      4.20640858  11844.25984365    300.00000000      0.99951270      1.46283477     -5.48450022      0.44234683     -5.04215339      0.42157149      0.29743800      0.34358113      0.08113147 md_running
    29     14.50000000     64.40835419      3.92710001  12135.14010012    300.00000000      0.99951238      1.49876017     -5.46509863      0.38555286     -5.07954577      0.42068009      0.27768791      0.34030872      0.08095992 md_running
    30     15.00000000     64.61738271      3.64843623  12401.60216208    300.00000000      0.99951209      1.53166978     -5.44673766      0.33277717     -5.11396049      0.41872910      0.25798340      0.33753572      0.08058445 md_running
    31     15.50000000     64.82930300      3.37111798  12643.20056307    300.00000000      0.99951185      1.56150858     -5.42943316      0.28411091     -5.14532225      0.41659474      0.23837404      0.33516564      0.08017370 md_running
    32     16.00000000     65.03148255      3.09592347  12859.76853185    300.00000000      0.99951163      1.58825598     -5.41322539      0.23961855     -5.17360683      0.41315155      0.21891485      0.33306522      0.07951105 md_running
    33     16.50000000     65.23662746      2.82368055  13052.55477731    300.00000000      0.99951145      1.61206620     -5.39831636      0.19932930     -5.19898707      0.40877019      0.19966437      0.33130920      0.07866786 md_running
