  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00428818      1.27758351    300.75169483    300.00000000      1.00000000      0.04428777     -6.75657463      0.04080549     -6.71576914      0.06310117      0.09033880      0.11298175      0.01115482 md_running
     2      1.00000000     20.18173811      1.26796371    302.92984040    300.00000000      0.99999686      0.04460851     -6.75628365      0.04019330     -6.71609035      0.06556781      0.08965857      0.11218804      0.01159086 md_running
     3      1.50000000     38.84863803      1.25614012    305.66416579    300.00000000      0.99999284      0.04501116     -6.75594077      0.03944720     -6.71649357      0.06740343      0.08882252      0.11023637      0.01191535 md_running
     4      2.00000000     39.11707893      1.24221904    308.96397407    300.00000000      0.99998801      0.04549708     -6.75555804      0.03857770     -6.71698034      0.06887854      0.08783815      0.10736053      0.01217612 md_running
     5      2.50000000     47.97198228      1.22633335    312.84864809    300.00000000      0.99998237      0.04606913     -6.75515132      0.03759734     -6.71755398      0.07023004      0.08671486      0.10382278      0.01241504 md_running
     6      3.00000000     53.02068262      1.20863830    317.31650256    300.00000000      0.99997597      0.04672705     -6.75473479      0.03652016     -6.71821463      0.07163160      0.08546363      0.09988300      0.01266280 md_running
     7      3.50000000     53.25649434      1.18930682    322.31186243    300.00000000      0.99996890      0.04746265     -6.75431563      0.03536127     -6.71895437      0.07319375      0.08409669      0.09579695      0.01293895 md_running
     8      4.00000000     53.48019591      1.16852464    327.70401462    300.00000000      0.99996136      0.04825668     -6.75389031      0.03413625     -6.71975407      0.07498853      0.08262717      0.09182301      0.01325623 md_running
     9      4.50000000     53.69770669      1.14648538    333.28800472    300.00000000      0.99995364      0.04907896     -6.75344396      0.03286072     -6.72058324      0.07707403      0.08106876      0.08822755      0.01362489 md_running
    10      5.00000000     53.91729406      1.12338606    338.81208067    300.00000000      0.99994607      0.04989242     -6.75295439      0.03154991     -6.72140448      0.07949417      0.07943539      0.08527574      0.01405272 md_running
    11      5.50000000     54.13282917      1.09942292    344.02470501    300.00000000      0.99993900      0.05066002     -6.75239840      0.03021827     -6.72218014      0.08227606      0.07774094      0.08320165      0.01454449 md_running
    12      6.00000000     54.34941552      1.07478805    348.72487494    300.00000000      0.99993269      0.05135215     -6.75175948      0.02887923     -6.72288025      0.08540481      0.07599899      0.08216394      0.01509758 md_running
    13      6.50000000     54.57662349      1.04966647    352.80199087    300.00000000      0.99992726      0.05195253     -6.75103316      0.02754499     -6.72348817      0.08880418      0.07422263      0.08219323      0.01569851 md_running
    14      7.00000000     61.11741320      1.02423364    356.25087079    300.00000000      0.99992274      0.05246040     -6.75022969      0.02622636     -6.72400332      0.09233041      0.07242426      0.08315877      0.01632186 md_running
    15      7.50000000     61.35926205      0.99865377    359.15854510    300.00000000      0.99991901      0.05288858     -6.74937143      0.02493273     -6.72443870      0.09578524      0.07061548      0.08479109      0.01693260 md_running
    16      8.00000000     61.58760341      0.97307846    361.67045931    300.00000000      0.99991589      0.05325848     -6.74848800      0.02367204     -6.72481596      0.09894146      0.06880704      0.08674070      0.01749054 md_running
    17      8.50000000     61.81441183      0.94764589    363.94520994    300.00000000      0.99991318      0.05359345     -6.74760989      0.02245082     -6.72515907      0.10158042      0.06700868      0.08864608      0.01795705 md_running
    18      9.00000000     62.04241408      0.92248043    366.10829692    300.00000000      0.99991069      0.05391198     -6.74676095      0.02127425     -6.72548669      0.10352811      0.06522922      0.09019438      0.01830136 md_running
    19      9.50000000     62.26882393      0.89769288    368.21710954    300.00000000      0.99990831      0.05422252     -6.74595374      0.02014631     -6.72580742      0.10468183      0.06347647      0.09117166      0.01850531 md_running
    20     10.00000000     62.49382627      0.87338101    370.24582789    300.00000000      0.99990601      0.05452126     -6.74518722      0.01906986     -6.72611736      0.10503118      0.06175736      0.09148394      0.01856707 md_running
    21     10.50000000     62.72057036      0.84963036    372.09198411    300.00000000      0.99990386      0.05479312     -6.74444799      0.01804679     -6.72640120      0.10467612      0.06007794      0.09117484      0.01850430 md_running
    22     11.00000000     62.94419385      0.82651550    373.60442711    300.00000000      0.99990201      0.05501583     -6.74371447      0.01707820     -6.72663627      0.10382273      0.05844347      0.09042047      0.01835344 md_running
    23     11.50000000     63.16598770      0.80410130    374.62642279    300.00000000      0.99990062      0.05516633     -6.74296334      0.01616447     -6.72679887      0.10276780      0.05685855      0.08950934      0.01816695 md_running
