  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.91464262      2.04527165    297.99687107    300.00000000      1.00000000      0.04671320     -7.72079073      0.02091568     -7.69987504      0.06786715      0.02892451      0.06778327      0.01163912 md_running
     2      1.00000000     20.12767195      2.03915041    293.11580251    300.00000000      1.00000652      0.04594806     -7.71989569      0.02079067     -7.69910502      0.07900181      0.02883794      0.07705591      0.01354870 md_running
     3      1.50000000     40.08384124      2.03275810    286.52628576    300.00000000      1.00001672      0.04491510     -7.71872474      0.02066053     -7.69806422      0.09022075      0.02874754      0.08688623      0.01547273 md_running
     4      2.00000000     40.32362405      2.02620912    278.87712713    300.00000000      1.00002996      0.04371604     -7.71738292      0.02052762     -7.69685530      0.10047797      0.02865492      0.09612305      0.01723183 md_running
     5      2.50000000     40.56277166      2.01961119    270.89161241    300.00000000      1.00004528      0.04246425     -7.71598738      0.02039415     -7.69559323      0.10906027      0.02856162      0.10396778      0.01870368 md_running
     6      3.00000000     44.64684853      2.01305871    263.21400495    300.00000000      1.00006149      0.04126073     -7.71464244      0.02026203     -7.69438041      0.11559082      0.02846895      0.10999139      0.01982366 md_running
     7      3.50000000     44.88965347      2.00662696    256.28332895    300.00000000      1.00007741      0.04017430     -7.71341883      0.02013276     -7.69328607      0.12002396      0.02837799      0.11412880      0.02058394 md_running
     8      4.00000000     45.13332859      2.00036727    250.27839332    300.00000000      1.00009218      0.03923298     -7.71234553      0.02000735     -7.69233819      0.12261833      0.02828947      0.11664065      0.02102887 md_running
     9      4.50000000     50.48219974      1.99430408    245.14967084    300.00000000      1.00010542      0.03842902     -7.71141424      0.01988624     -7.69152799      0.12386315      0.02820372      0.11802908      0.02124236 md_running
    10      5.00000000     50.72024914      1.98843398    240.71876578    300.00000000      1.00011724      0.03773444     -7.71059593      0.01976935     -7.69082658      0.12435112      0.02812070      0.11889747      0.02132604 md_running
