  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.04724534      4.02801195    304.45328000    300.00000000      1.00000000      0.05061773     -7.51488239      0.40562201     -7.10926039      0.06158833      0.28482346      0.28253982      0.01026472 md_running
     2      1.00000000     20.19457132      4.01345218    319.28741104    300.00000000      0.99998211      0.05308402     -7.51442411      0.40269496     -7.11172915      0.06490082      0.28379393      0.28022355      0.01081680 md_running
     3      1.50000000     38.97773197      3.99185456    341.46791774    300.00000000      0.99995499      0.05677171     -7.51379707      0.39837257     -7.11542449      0.06876849      0.28226674      0.27463073      0.01146141 md_running
     4      2.00000000     39.25197986      3.96337814    370.73635582    300.00000000      0.99992196      0.06163781     -7.51301460      0.39270916     -7.12030545      0.07447592      0.28025316      0.26613033      0.01241265 md_running
     5      2.50000000     44.40470848      3.92826591    406.57749378    300.00000000      0.99988641      0.06759668     -7.51206993      0.38578183     -7.12628810      0.08370889      0.27777035      0.25547340      0.01395148 md_running
     6      3.00000000     48.28125574      3.88683972    448.17883325    300.00000000      0.99985119      0.07451323     -7.51092636      0.37768807     -7.13323829      0.09763006      0.27484107      0.24381288      0.01627168 md_running
     7      3.50000000     48.51782711      3.83949155    494.45386514    300.00000000      0.99981826      0.08220681     -7.50951734      0.36854238     -7.14097496      0.11628809      0.27149305      0.23263502      0.01938135 md_running
     8      4.00000000     48.76926083      3.78667148    544.15748454    300.00000000      0.99978869      0.09047043     -7.50776166      0.35847202     -7.14928963      0.13865004      0.26775811      0.22353749      0.02310834 md_running
     9      4.50000000     60.07635355      3.72887187    596.08149528    300.00000000      0.99976286      0.09910320     -7.50559158      0.34761213     -7.15797945      0.16296387      0.26367106      0.21775754      0.02716064 md_running
    10      5.00000000     60.32497485      3.66660791    649.26946492    300.00000000      0.99974062      0.10794612     -7.50298435      0.33610034     -7.16688401      0.18711834      0.25926833      0.21560649      0.03118639 md_running
    11      5.50000000     60.55839784      3.60039573    703.16891634    300.00000000      0.99972155      0.11690732     -7.49998228      0.32407124     -7.17591105      0.20896143      0.25458642      0.21620288      0.03482691 md_running
    12      6.00000000     60.79053037      3.53072998    757.65650816    300.00000000      0.99970512      0.12596631     -7.49669293      0.31165135     -7.18504157      0.22651484      0.24966031      0.21773825      0.03775247 md_running
    13      6.50000000     61.02408479      3.45806283    812.91884598    300.00000000      0.99969080      0.13515410     -7.49326446      0.29895496     -7.19430950      0.23820854      0.24452197      0.21811700      0.03970142 md_running
    14      7.00000000     61.26643935      3.38278678    869.23144061    300.00000000      0.99967815      0.14451651     -7.48984403      0.28608116     -7.20376287      0.24310804      0.23919915      0.21564015      0.04051801 md_running
    15      7.50000000     61.50581137      3.30522314    926.71008020    300.00000000      0.99966686      0.15407278     -7.48653671      0.27311250     -7.21342421      0.24108233      0.23371457      0.20944182      0.04018039 md_running
