  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.94934323      5.14385124    299.37899344    300.00000000      1.00000000      0.04977409     -7.34460587      0.13229603     -7.21230984      0.11036163      0.07274504      0.13910206      0.01839361 md_running
     2      1.00000000     20.14260483      5.13297524    299.02994976    300.00000000      1.00000125      0.04971606     -7.34398851      0.13173717     -7.21225134      0.11013462      0.07259123      0.13864163      0.01835577 md_running
     3      1.50000000     39.07590966      5.12016192    299.50551428    300.00000000      1.00000116      0.04979513     -7.34341014      0.13108029     -7.21232985      0.10759870      0.07241002      0.13601487      0.01793312 md_running
     4      2.00000000     44.45299651      5.10542944    300.85588499    300.00000000      0.99999965      0.05001964     -7.34288099      0.13032705     -7.21255394      0.10302112      0.07220168      0.13144088      0.01717019 md_running
     5      2.50000000     44.69712060      5.08881213    303.11352604    300.00000000      0.99999666      0.05039499     -7.34240996      0.12948004     -7.21292992      0.09687248      0.07196667      0.12530802      0.01614541 md_running
     6      3.00000000     44.92991304      5.07036016    306.24385062    300.00000000      0.99999225      0.05091543     -7.34199540      0.12854276     -7.21345264      0.08984709      0.07170572      0.11816898      0.01497452 md_running
     7      3.50000000     45.17330582      5.05013895    310.10004587    300.00000000      0.99998660      0.05155655     -7.34161754      0.12751952     -7.21409802      0.08290675      0.07141975      0.11074693      0.01381779 md_running
     8      4.00000000     51.86169604      5.02822822    314.40619490    300.00000000      0.99998014      0.05227248     -7.34123545      0.12641540     -7.21482005      0.07729697      0.07110989      0.10392955      0.01288283 md_running
     9      4.50000000     52.12739461      5.00472077    318.78523016    300.00000000      0.99997344      0.05300053     -7.34079139      0.12523615     -7.21555524      0.07440371      0.07077744      0.09870414      0.01240062 md_running
    10      5.00000000     55.94043439      4.97972109    322.83330887    300.00000000      0.99996712      0.05367356     -7.34022356      0.12398811     -7.21623545      0.07528093      0.07042389      0.09597057      0.01254682 md_running
    11      5.50000000     60.84692119      4.95334352    326.21857428    300.00000000      0.99996170      0.05423638     -7.33948227      0.12267806     -7.21680421      0.08007904      0.07005086      0.09623834      0.01334651 md_running
    12      6.00000000     61.09403674      4.92571019    328.77080611    300.00000000      0.99995750      0.05466071     -7.33854588      0.12131310     -7.21723277      0.08799336      0.06966006      0.09940316      0.01466556 md_running
    13      6.50000000     61.32877419      4.89694871    330.53541658    300.00000000      0.99995455      0.05495409     -7.33742885      0.11990053     -7.21752832      0.09774556      0.06925331      0.10477933      0.01629093 md_running
    14      7.00000000     61.56740888      4.86718958    331.77337453    300.00000000      0.99995258      0.05515991     -7.33618257      0.11844767     -7.21773490      0.10808154      0.06883246      0.11137035      0.01801359 md_running
    15      7.50000000     61.81058601      4.83656366    332.90692926    300.00000000      0.99995109      0.05534838     -7.33488533      0.11696174     -7.21792359      0.11797271      0.06839934      0.11816492      0.01966212 md_running
