  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.98800609      5.39332806    302.81491598    300.00000000      1.00000000      0.05178378     -7.57092312      0.29087988     -7.28004324      0.06306697      0.15254635      0.15938968      0.01036815 md_running
     2      1.00000000     20.14917817      5.37792483    309.69233801    300.00000000      0.99998961      0.05295988     -7.57043930      0.28922076     -7.28121855      0.06445938      0.15211068      0.15893157      0.01059706 md_running
     3      1.50000000     39.03608769      5.35868171    317.75212598    300.00000000      0.99997803      0.05433816     -7.56974981      0.28715470     -7.28259511      0.06615121      0.15156641      0.15797028      0.01087519 md_running
     4      2.00000000     44.27197674      5.33564534    327.37630047    300.00000000      0.99996505      0.05598398     -7.56893067      0.28469111     -7.28423955      0.06774471      0.15091484      0.15635142      0.01113716 md_running
     5      2.50000000     50.97178585      5.30888242    339.02746733    300.00000000      0.99995031      0.05797642     -7.56807596      0.28184233     -7.28623363      0.06885372      0.15015787      0.15389882      0.01131948 md_running
     6      3.00000000     51.23809599      5.27847956    353.07101077    300.00000000      0.99993364      0.06037798     -7.56726554      0.27862346     -7.28864207      0.06930776      0.14929795      0.15050915      0.01139413 md_running
     7      3.50000000     55.16873309      5.24454321    369.61018064    300.00000000      0.99991525      0.06320631     -7.56653617      0.27505234     -7.29148384      0.06932735      0.14833808      0.14625336      0.01139735 md_running
     8      4.00000000     55.43038201      5.20719922    388.39902426    300.00000000      0.99989580      0.06641935     -7.56586620      0.27114924     -7.29471696      0.06961391      0.14728184      0.14144539      0.01144446 md_running
     9      4.50000000     60.31536031      5.16659222    408.87458235    300.00000000      0.99987617      0.06992084     -7.56518080      0.26693675     -7.29824405      0.07122934      0.14613330      0.13664693      0.01171003 md_running
    10      5.00000000     60.56726855      5.12288452    430.29941622    300.00000000      0.99985726      0.07358465     -7.56437635      0.26243946     -7.30193689      0.07519430      0.14489706      0.13257654      0.01236187 md_running
    11      5.50000000     60.80439329      5.07625445    451.96577823    300.00000000      0.99983971      0.07728978     -7.56335577      0.25768359     -7.30567218      0.08198633      0.14357816      0.12992376      0.01347847 md_running
    12      6.00000000     61.03914590      5.02689434    473.38638596    300.00000000      0.99982385      0.08095287     -7.56206219      0.25269667     -7.30936552      0.09131540      0.14218204      0.12913389      0.01501216 md_running
    13      6.50000000     61.27187107      4.97500818    494.41037291    300.00000000      0.99980966      0.08454814     -7.56049790      0.24750706     -7.31299083      0.10233582      0.14071448      0.13025301      0.01682391 md_running
    14      7.00000000     61.50395324      4.92080869    515.23226612    300.00000000      0.99979687      0.08810885     -7.55872593      0.24214358     -7.31658235      0.11401927      0.13918149      0.13289276      0.01874465 md_running
    15      7.50000000     61.72785624      4.86451446    536.29456187    300.00000000      0.99978509      0.09171068     -7.55685282      0.23663501     -7.32021781      0.12542130      0.13758925      0.13637137      0.02061913 md_running
    16      8.00000000     61.96297206      4.80634715    558.12743541    300.00000000      0.99977397      0.09544427     -7.55499932      0.23100973     -7.32398959      0.13579889      0.13594403      0.13992294      0.02232520 md_running
    17      8.50000000     62.19591367      4.74652889    581.18956226    300.00000000      0.99976320      0.09938808     -7.55327290      0.22529537     -7.32797753      0.14459618      0.13425211      0.14289911      0.02377146 md_running
    18      9.00000000     62.43128348      4.68527793    605.74424474    300.00000000      0.99975265      0.10358713     -7.55174615      0.21951829     -7.33222785      0.15146642      0.13251967      0.14481052      0.02490093 md_running
    19      9.50000000     62.65778477      4.62280437    631.78444579    300.00000000      0.99974230      0.10804021     -7.55044290      0.21370320     -7.33673970      0.15627437      0.13075265      0.14535610      0.02569135 md_running
    20     10.00000000     62.89267196      4.55930700    659.03383611    300.00000000      0.99973227      0.11270008     -7.54933795      0.20787280     -7.34146514      0.15908137      0.12895668      0.14448192      0.02615282 md_running
    21     10.50000000     63.12673974      4.49496998    687.01858514    300.00000000      0.99972270      0.11748569     -7.54836954      0.20204755     -7.34632199      0.16014151      0.12713695      0.14238305      0.02632710 md_running
    22     11.00000000     63.36335142      4.42996024    715.18132672    300.00000000      0.99971375      0.12230175     -7.54745926      0.19624548     -7.35121379      0.15985863      0.12529820      0.13944845      0.02628060 md_running
