  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.00608112      3.83469162    307.86947810    300.00000000      1.00000000      0.06288529     -8.91231608      0.36762149     -8.54469459      0.08365224      0.27115364      0.28112383      0.01261105 md_running
     2      1.00000000     20.22014436      3.80867794    331.22567836    300.00000000      0.99997080      0.06765602     -8.91213897      0.36265069     -8.54948827      0.08105673      0.26931420      0.27670121      0.01221976 md_running
     3      1.50000000     39.19795573      3.77548489    362.94613235    300.00000000      0.99993283      0.07413523     -8.91236769      0.35635715     -8.55601054      0.07666458      0.26696710      0.26968751      0.01155762 md_running
     4      2.00000000     48.12177383      3.73526774    400.53306934    300.00000000      0.99989291      0.08181272     -8.91255015      0.34880563     -8.56374453      0.07300579      0.26412331      0.26076946      0.01100604 md_running
     5      2.50000000     59.46991593      3.68824004    441.08384629    300.00000000      0.99985594      0.09009561     -8.91216516      0.34007787     -8.57208729      0.07412365      0.26079795      0.25103119      0.01117456 md_running
     6      3.00000000     59.73527315      3.63467207    482.14157798    300.00000000      0.99982423      0.09848204     -8.91079684      0.33027103     -8.58052581      0.08334005      0.25701013      0.24177852      0.01256399 md_running
     7      3.50000000     59.98823625      3.57488836    522.53000012    300.00000000      0.99979792      0.10673176     -8.90830842      0.31949567     -8.58881275      0.09986419      0.25278278      0.23395024      0.01505509 md_running
     8      4.00000000     60.24252790      3.50926468    562.75699063    300.00000000      0.99977594      0.11494851     -8.90493139      0.30787347     -8.59705792      0.11926354      0.24814249      0.22724722      0.01797966 md_running
     9      4.50000000     60.49596849      3.43822373    604.49244800    300.00000000      0.99975673      0.12347338     -8.90115736      0.29553456     -8.60562280      0.13675797      0.24311913      0.21991771      0.02061704 md_running
    10      5.00000000     60.74581962      3.36222940    649.12860905    300.00000000      0.99973910      0.13259074     -8.89742822      0.28261466     -8.61481356      0.14971800      0.23774552      0.21002493      0.02257084 md_running
    11      5.50000000     61.00072273      3.28177922    696.31112360    300.00000000      0.99972268      0.14222822     -8.89381527      0.26925187     -8.62456340      0.15892826      0.23205683      0.19744364      0.02395934 md_running
    12      6.00000000     61.25400522      3.19739604    743.62471022    300.00000000      0.99970789      0.15189248     -8.88994566      0.25558354     -8.63436212      0.16798142      0.22609004      0.18483255      0.02532415 md_running
    13      6.50000000     61.50948923      3.10961987    787.74648676    300.00000000      0.99969534      0.16090477     -8.88524873      0.24174339     -8.64350533      0.18048720      0.21988333      0.17635967      0.02720947 md_running
    14      7.00000000     61.76000160      3.01899983    826.14454019    300.00000000      0.99968530      0.16874794     -8.87932066      0.22785900     -8.65146166      0.19740622      0.21347553      0.17498186      0.02976011 md_running
    15      7.50000000     62.01458898      2.92608464    858.11987425    300.00000000      0.99967759      0.17527921     -8.87213743      0.21404928     -8.65808815      0.21710713      0.20690543      0.18042594      0.03273013 md_running
    16      8.00000000     62.26766050      2.83141576    884.79920888    300.00000000      0.99967170      0.18072872     -8.86404685      0.20042288     -8.66362397      0.23704931      0.20021133      0.19004878      0.03573653 md_running
    17      8.50000000     62.51282330      2.73552042    908.46640134    300.00000000      0.99966698      0.18556297     -8.85562287      0.18707680     -8.66854607      0.25516256      0.19343050      0.20090801      0.03846720 md_running
    18      9.00000000     62.76072718      2.63890453    931.73986838    300.00000000      0.99966281      0.19031680     -8.84749311      0.17409543     -8.67339768      0.27014713      0.18659873      0.21080133      0.04072621 md_running
    19      9.50000000     63.01478362      2.54204647    956.89815257    300.00000000      0.99965869      0.19545562     -8.84020032      0.16155001     -8.67865032      0.28134869      0.17974983      0.21830201      0.04241491 md_running
