  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.99627966      5.25091658    301.28716119    300.00000000      1.00000000      0.05438489     -8.08351174      0.27572125     -7.80779049      0.07211949      0.14851835      0.17024376      0.01154836 md_running
     2      1.00000000     20.21080054      5.23888824    305.31855685    300.00000000      0.99999445      0.05511259     -8.08297815      0.27445950     -7.80851865      0.07533928      0.14817814      0.16860925      0.01206394 md_running
     3      1.50000000     39.26994992      5.22281815    310.73944914    300.00000000      0.99998689      0.05609110     -8.08227466      0.27277829     -7.80949636      0.07845382      0.14772361      0.16584267      0.01256267 md_running
     4      2.00000000     44.49607110      5.20282247    317.74446491    300.00000000      0.99997733      0.05735557     -8.08145402      0.27069362     -7.81076041      0.08135514      0.14715804      0.16195249      0.01302725 md_running
     5      2.50000000     51.20231014      5.17904907    326.58320994    300.00000000      0.99996565      0.05895104     -8.08058365      0.26822549     -7.81235816      0.08384733      0.14648563      0.15690590      0.01342632 md_running
     6      3.00000000     55.15345596      5.15167409    337.38952911    300.00000000      0.99995187      0.06090167     -8.07971351      0.26539746     -7.81431605      0.08585923      0.14571135      0.15072244      0.01374848 md_running
     7      3.50000000     55.41777125      5.12089797    350.02627451    300.00000000      0.99993638      0.06318271     -8.07884658      0.26223596     -7.81661062      0.08765798      0.14484087      0.14361507      0.01403651 md_running
     8      4.00000000     60.31381036      5.08694097    364.02462985    300.00000000      0.99991996      0.06570953     -8.07792618      0.25876968     -7.81915650      0.08992257      0.14388042      0.13609910      0.01439913 md_running
     9      4.50000000     60.56408897      5.05003877    378.65265706    300.00000000      0.99990360      0.06835001     -8.07684868      0.25502892     -7.82181976      0.09356105      0.14283667      0.12900843      0.01498176 md_running
    10      5.00000000     60.79692905      5.01043794    393.09105847    300.00000000      0.99988825      0.07095627     -8.07549483      0.25104488     -7.82444995      0.09933480      0.14171659      0.12338147      0.01590630 md_running
    11      5.50000000     61.02905578      4.96839130    406.64126302    300.00000000      0.99987457      0.07340219     -8.07376843      0.24684912     -7.82691930      0.10753298      0.14052733      0.12018871      0.01721906 md_running
    12      6.00000000     61.25595060      4.92415368    418.88377656    300.00000000      0.99986283      0.07561207     -8.07162352      0.24247289     -7.82915063      0.11789458      0.13927610      0.11999977      0.01887824 md_running
    13      6.50000000     61.47515370      4.87797886    429.75289760    300.00000000      0.99985298      0.07757404     -8.06907905      0.23794678     -7.83113228      0.12975048      0.13797008      0.12278007      0.02077670 md_running
    14      7.00000000     61.71130464      4.83011668    439.52233756    300.00000000      0.99984466      0.07933751     -8.06621475      0.23330027     -7.83291448      0.14224731      0.13661633      0.12789639      0.02277780 md_running
    15      7.50000000     61.95047298      4.78081026    448.71486162    300.00000000      0.99983740      0.08099684     -8.06315424      0.22856147     -7.83459277      0.15452118      0.13522173      0.13435784      0.02474319 md_running
    16      8.00000000     62.18769136      4.73029304    457.96784802    300.00000000      0.99983062      0.08266708     -8.06004084      0.22375672     -7.83628412      0.16580193      0.13379289      0.14109569      0.02654956 md_running
    17      8.50000000     62.42137993      4.67878607    467.88583742    300.00000000      0.99982385      0.08445736     -8.05700946      0.21891039     -7.83809907      0.17544726      0.13233605      0.14714355      0.02809405 md_running
    18      9.00000000     62.65417570      4.62649525    478.90708562    300.00000000      0.99981672      0.08644679     -8.05416273      0.21404458     -7.84011815      0.18298196      0.13085705      0.15170871      0.02930056 md_running
    19      9.50000000     62.89752546      4.57361029    491.21439569    300.00000000      0.99980911      0.08866836     -8.05155376      0.20917911     -7.84237465      0.18809985      0.12936123      0.15424916      0.03012008 md_running
    20     10.00000000     63.13373101      4.52030360    504.71194005    300.00000000      0.99980107      0.09110478     -8.04918278      0.20433145     -7.84485134      0.19069497      0.12785349      0.15450500      0.03053563 md_running
    21     10.50000000     63.36815051      4.46672893    519.06145279    300.00000000      0.99979283      0.09369499     -8.04700280      0.19951667     -7.84748613      0.19091491      0.12633817      0.15250807      0.03057085 md_running
    22     11.00000000     63.60763527      4.41302155    533.77976464    300.00000000      0.99978469      0.09635177     -8.04493782      0.19474759     -7.85019023      0.18915024      0.12481910      0.14862970      0.03028828 md_running
    23     11.50000000     63.84461291      4.35929786    548.38619639    300.00000000      0.99977694      0.09898836     -8.04290975      0.19003478     -7.85287497      0.18600617      0.12329956      0.14357226      0.02978482 md_running
    24     12.00000000     64.08144560      4.30565435    562.54737732    300.00000000      0.99976974      0.10154457     -8.04086580      0.18538659     -7.85547921      0.18225528      0.12178230      0.13828670      0.02918420 md_running
    25     12.50000000     64.32354672      4.25216746    576.17208231    300.00000000      0.99976317      0.10400394     -8.03879526      0.18080928     -7.85798598      0.17869076      0.12026946      0.13380868      0.02861342 md_running
    26     13.00000000     64.55967497      4.19889382    589.42595082    300.00000000      0.99975712      0.10639638     -8.03673317      0.17630709     -7.86042608      0.17593945      0.11876265      0.13099437      0.02817286 md_running
    27     13.50000000     64.79770528      4.14587085    602.65234207    300.00000000      0.99975144      0.10878385     -8.03474559      0.17188245     -7.86286314      0.17432089      0.11726294      0.13025764      0.02791368 md_running
    28     14.00000000     65.03784900      4.09311784    616.22589597    300.00000000      0.99974594      0.11123400     -8.03290293      0.16753614     -7.86536680      0.17378716      0.11577086      0.13144765      0.02782822 md_running
    29     14.50000000     65.27461210      4.04063756    630.40282155    300.00000000      0.99974047      0.11379305     -8.03125187      0.16326752     -7.86798435      0.17397180      0.11428649      0.13392739      0.02785778 md_running
    30     15.00000000     65.51008919      3.98841856    645.23426189    300.00000000      0.99973500      0.11647025     -8.02979985      0.15907483     -7.87072503      0.17427889      0.11280951      0.13676647      0.02790696 md_running
    31     15.50000000     65.74240622      3.93643807    660.56689143    300.00000000      0.99972955      0.11923792     -8.02851599      0.15495545     -7.87356054      0.17402602      0.11133928      0.13897207      0.02786646 md_running
    32     16.00000000     65.97305490      3.88466555    676.11015049    300.00000000      0.99972423      0.12204361     -8.02734380      0.15090626     -7.87643753      0.17258269      0.10987493      0.13968169      0.02763535 md_running
    33     16.50000000     66.20771091      3.83306655    691.52782275    300.00000000      0.99971913      0.12482663     -8.02621814      0.14692399     -7.87929415      0.16951536      0.10841549      0.13831671      0.02714418 md_running
    34     17.00000000     66.44831757      3.78160637    706.51517609    300.00000000      0.99971435      0.12753198     -8.02508066      0.14300547     -7.88207519      0.16469114      0.10695998      0.13467348      0.02637169 md_running
    35     17.50000000     66.68412674      3.73025330    720.84078128    300.00000000      0.99970994      0.13011787     -8.02388649      0.13914790     -7.88473859      0.15837090      0.10550750      0.12900647      0.02535964 md_running
    36     18.00000000     66.92334216      3.67898120    734.35209303    300.00000000      0.99970591      0.13255678     -8.02260584      0.13534903     -7.88725681      0.15122369      0.10405730      0.12204715      0.02421517 md_running
    37     18.50000000     67.15668995      3.62777157    746.95909472    300.00000000      0.99970228      0.13483245     -8.02122095      0.13160727     -7.88961368      0.14424406      0.10260888      0.11494791      0.02309753 md_running
    38     19.00000000     67.37298170      3.57661464    758.60850452    300.00000000      0.99969901      0.13693526     -8.01972152      0.12792172     -7.89179980      0.13856872      0.10116194      0.10911564      0.02218875 md_running
    39     19.50000000     67.60374450      3.52550948    769.25642320    300.00000000      0.99969611      0.13885730     -8.01809948      0.12429217     -7.89380731      0.13521868      0.09971647      0.10589997      0.02165232 md_running
    40     20.00000000     67.83444741      3.47446349    778.84423656    300.00000000      0.99969354      0.14058799     -8.01634437      0.12071897     -7.89562540      0.13481707      0.09827267      0.10616246      0.02158801 md_running
    41     20.50000000     68.05859942      3.42349155    787.28573631    300.00000000      0.99969130      0.14211175     -8.01444150      0.11720294     -7.89723855      0.13742432      0.09683096      0.10996905      0.02200550 md_running
    42     21.00000000     68.29013666      3.37261517    794.47611562    300.00000000      0.99968941      0.14340967     -8.01237235      0.11374533     -7.89862702      0.14258503      0.09539196      0.11666852      0.02283188 md_running
    43     21.50000000     68.52030488      3.32186140    800.32745042    300.00000000      0.99968786      0.14446589     -8.01012153      0.11034763     -7.89977390      0.14954622      0.09395643      0.12526036      0.02394656 md_running
    44     22.00000000     68.73899375      3.27126160    804.82829087    300.00000000      0.99968665      0.14527833     -8.00768784      0.10701152     -7.90067632      0.15748812      0.09252525      0.13473480      0.02521828 md_running
