  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      9.02732772      7.96509199    299.87475242    300.00000000      1.00000000      0.04985652     -7.59870382      0.12688538     -7.47181844      0.05725741      0.04505736      0.06316093      0.00954290 md_running
     2      1.00000000     20.19060544      7.95317899    299.41115857    300.00000000      1.00000021      0.04977944     -7.59824777      0.12650611     -7.47174166      0.05897430      0.04498997      0.06388729      0.00982905 md_running
     3      1.50000000     39.06549652      7.94042775    298.28764811    300.00000000      1.00000155      0.04959265     -7.59765411      0.12610079     -7.47155333      0.06099491      0.04491784      0.06488001      0.01016582 md_running
     4      2.00000000     39.30736226      7.92687111    296.64035194    300.00000000      1.00000395      0.04931877     -7.59694672      0.12567057     -7.47127615      0.06330328      0.04484115      0.06616311      0.01055055 md_running
     5      2.50000000     39.57523042      7.91254449    294.73590350    300.00000000      1.00000708      0.04900214     -7.59617207      0.12521672     -7.47095535      0.06573710      0.04476011      0.06761681      0.01095618 md_running
     6      3.00000000     48.45065182      7.89748479    292.90135597    300.00000000      1.00001041      0.04869714     -7.59538664      0.12474053     -7.47064611      0.06806639      0.04467492      0.06904284      0.01134440 md_running
     7      3.50000000     55.17740022      7.88172919    291.43324314    300.00000000      1.00001338      0.04845305     -7.59464216      0.12424331     -7.47039885      0.07008992      0.04458579      0.07025605      0.01168165 md_running
     8      4.00000000     60.09121096      7.86531398    290.51354228    300.00000000      1.00001553      0.04830014     -7.59397055      0.12372633     -7.47024422      0.07171516      0.04449293      0.07116988      0.01195253 md_running
     9      4.50000000     60.34034682      7.84827358    290.16316062    300.00000000      1.00001663      0.04824189     -7.59337666      0.12319080     -7.47018586      0.07299411      0.04439654      0.07183985      0.01216568 md_running
    10      5.00000000     60.57488150      7.83063960    290.24649092    300.00000000      1.00001680      0.04825574     -7.59283853      0.12263783     -7.47020070      0.07410344      0.04429679      0.07244981      0.01235057 md_running
    11      5.50000000     60.80633449      7.81244016    290.52519457    300.00000000      1.00001639      0.04830208     -7.59231669      0.12206844     -7.47024824      0.07527129      0.04419384      0.07323766      0.01254521 md_running
    12      6.00000000     61.03871063      7.79369939    290.74407020    300.00000000      1.00001587      0.04833847     -7.59176869      0.12148350     -7.47028519      0.07668452      0.04408782      0.07439850      0.01278075 md_running
    13      6.50000000     61.27452175      7.77443715    290.71805307    300.00000000      1.00001566      0.04833415     -7.59116359      0.12088375     -7.47027984      0.07840808      0.04397886      0.07599701      0.01306801 md_running
    14      7.00000000     61.51300240      7.75466893    290.39243943    300.00000000      1.00001597      0.04828001     -7.59049303      0.12026978     -7.47022325      0.08034304      0.04386703      0.07792202      0.01339051 md_running
    15      7.50000000     61.74557809      7.73440603    289.85898222    300.00000000      1.00001679      0.04819132     -7.58977278      0.11964207     -7.47013071      0.08224619      0.04375241      0.07990959      0.01370770 md_running
    16      8.00000000     61.97778487      7.71365581    289.32647188    300.00000000      1.00001783      0.04810278     -7.58903863      0.11900097     -7.47003765      0.08379507      0.04363503      0.08161419      0.01396584 md_running
    17      8.50000000     62.21039774      7.69242210    289.05581817    300.00000000      1.00001863      0.04805779     -7.58833507      0.11834672     -7.46998836      0.08466590      0.04351491      0.08269313      0.01411098 md_running
    18      9.00000000     62.44289794      7.67070569    289.27904299    300.00000000      1.00001874      0.04809490     -7.58770180      0.11767945     -7.47002234      0.08459991      0.04339206      0.08287505      0.01409999 md_running
    19      9.50000000     62.66430892      7.64850483    290.12752067    300.00000000      1.00001780      0.04823596     -7.58716102      0.11699925     -7.47016176      0.08345282      0.04326648      0.08200962      0.01390880 md_running
    20     10.00000000     62.90025336      7.62581588    291.58893052    300.00000000      1.00001572      0.04847894     -7.58671109      0.11630614     -7.47040496      0.08123473      0.04313813      0.08010720      0.01353912 md_running
    21     10.50000000     63.13538446      7.60263379    293.50276076    300.00000000      1.00001266      0.04879712     -7.58632485      0.11560008     -7.47072477      0.07813346      0.04300699      0.07735983      0.01302224 md_running
    22     11.00000000     63.36745024      7.57895271    295.59662857    300.00000000      1.00000907      0.04914525     -7.58595648      0.11488105     -7.47107543      0.07452385      0.04287303      0.07414656      0.01242064 md_running
    23     11.50000000     63.60232729      7.55476652    297.55662482    300.00000000      1.00000549      0.04947111     -7.58555266      0.11414899     -7.47140367      0.07094797      0.04273621      0.07100746      0.01182466 md_running
    24     12.00000000     63.84002308      7.53006935    299.11335785    300.00000000      1.00000244      0.04972993     -7.58506779      0.11340389     -7.47166390      0.06804308      0.04259650      0.06856396      0.01134051 md_running
    25     12.50000000     64.07746213      7.50485606    300.11898300    300.00000000      1.00000027      0.04989712     -7.58447655      0.11264573     -7.47183082      0.06638587      0.04245388      0.06735801      0.01106431 md_running
    26     13.00000000     64.31274310      7.47912269    300.59356304    300.00000000      0.99999907      0.04997603     -7.58378240      0.11187455     -7.47190785      0.06628383      0.04230831      0.06765126      0.01104731 md_running
    27     13.50000000     64.54418822      7.45286678    300.72409766    300.00000000      0.99999865      0.04999773     -7.58301688      0.11109045     -7.47192643      0.06763854      0.04215978      0.06931025      0.01127309 md_running
    28     14.00000000     64.77841251      7.42608776    300.81272122    300.00000000      0.99999858      0.05001246     -7.58223134      0.11029356     -7.47193779      0.06999425      0.04200830      0.07187001      0.01166571 md_running
    29     14.50000000     65.01217978      7.39878710    301.18875288    300.00000000      0.99999829      0.05007498     -7.58148173      0.10948410     -7.47199763      0.07273735      0.04185386      0.07472813      0.01212289 md_running
    30     15.00000000     65.24487340      7.37096852    302.11222423    300.00000000      0.99999728      0.05022852     -7.58081259      0.10866235     -7.47215024      0.07530805      0.04169649      0.07734357      0.01255134 md_running
    31     15.50000000     65.47847148      7.34263804    303.70062273    300.00000000      0.99999522      0.05049260     -7.58024402      0.10782867     -7.47241536      0.07732145      0.04153623      0.07934706      0.01288691 md_running
    32     16.00000000     65.71098797      7.31380391    305.90381318    300.00000000      0.99999210      0.05085890     -7.57976788      0.10698346     -7.47278442      0.07859984      0.04137312      0.08057052      0.01309997 md_running
    33     16.50000000     65.94516232      7.28447651    308.53280450    300.00000000      0.99998816      0.05129599     -7.57935271      0.10612720     -7.47322551      0.07915174      0.04120722      0.08102656      0.01319196 md_running
    34     17.00000000     66.17907417      7.25466801    311.32967331    300.00000000      0.99998381      0.05176099     -7.57895521      0.10526042     -7.47369480      0.07911351      0.04103860      0.08085261      0.01318558 md_running
    35     17.50000000     66.41230376      7.22439208    314.05413215    300.00000000      0.99997948      0.05221395     -7.57853520      0.10438368     -7.47415152      0.07868648      0.04086733      0.08025116      0.01311441 md_running
    36     18.00000000     66.64402293      7.19366340    316.55841160    300.00000000      0.99997548      0.05263031     -7.57806818      0.10349759     -7.47457059      0.07807333      0.04069351      0.07942809      0.01301222 md_running
