  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.95861085      5.76142782    298.94166591    300.00000000      1.00000000      0.04970139     -7.59866942      0.03319405     -7.56547537      0.05778020      0.01629578      0.05577307      0.00963003 md_running
     2      1.00000000     20.13415645      5.75276227    296.43095583    300.00000000      1.00000339      0.04928396     -7.59815162      0.03309427     -7.56505734      0.05994192      0.01627127      0.05775860      0.00999032 md_running
     3      1.50000000     38.96610282      5.74400496    293.00569884    300.00000000      1.00000850      0.04871448     -7.59747819      0.03299359     -7.56448460      0.06217895      0.01624650      0.05983372      0.01036316 md_running
     4      2.00000000     39.20747674      5.73517855    288.90057337    300.00000000      1.00001519      0.04803198     -7.59668877      0.03289227     -7.56379650      0.06435648      0.01622153      0.06186638      0.01072608 md_running
     5      2.50000000     39.45830988      5.72630607    284.49715342    300.00000000      1.00002298      0.04729987     -7.59584824      0.03279058     -7.56305766      0.06625428      0.01619644      0.06363451      0.01104238 md_running
     6      3.00000000     44.69539577      5.71740991    280.22313937    300.00000000      1.00003116      0.04658928     -7.59502922      0.03268878     -7.56234044      0.06766531      0.01617128      0.06492862      0.01127755 md_running
     7      3.50000000     55.03959096      5.70851072    276.43125630    300.00000000      1.00003896      0.04595885     -7.59429155      0.03258709     -7.56170446      0.06848660      0.01614611      0.06564639      0.01141443 md_running
     8      4.00000000     55.28568999      5.69962637    273.30066849    300.00000000      1.00004577      0.04543837     -7.59366610      0.03248574     -7.56118036      0.06879202      0.01612098      0.06586869      0.01146534 md_running
     9      4.50000000     55.51554592      5.69077109    270.79264904    300.00000000      1.00005138      0.04502139     -7.59314605      0.03238488     -7.56076117      0.06884611      0.01609593      0.06587534      0.01147435 md_running
    10      5.00000000     55.74760176      5.68195480    268.67667499    300.00000000      1.00005599      0.04466959     -7.59269270      0.03228461     -7.56040809      0.06904850      0.01607100      0.06608705      0.01150808 md_running
    11      5.50000000     60.63045909      5.67318261    266.61723372    300.00000000      1.00006019      0.04432720     -7.59224890      0.03218500     -7.56006390      0.06981099      0.01604618      0.06693439      0.01163516 md_running
    12      6.00000000     60.87763478      5.66445456    264.29255297    300.00000000      1.00006470      0.04394070     -7.59175988      0.03208605     -7.55967383      0.07138870      0.01602150      0.06867703      0.01189812 md_running
    13      6.50000000     61.11023648      5.65576567    261.50443965    300.00000000      1.00007015      0.04347715     -7.59119193      0.03198769     -7.55920424      0.07377160      0.01599692      0.07129046      0.01229527 md_running
    14      7.00000000     61.33658413      5.64710615    258.24266587    300.00000000      1.00007682      0.04293486     -7.59054318      0.03188981     -7.55865337      0.07667801      0.01597243      0.07446667      0.01277967 md_running
    15      7.50000000     61.57156654      5.63846188    254.68780168    300.00000000      1.00008460      0.04234384     -7.58984405      0.03179225     -7.55805180      0.07965031      0.01594798      0.07772201      0.01327505 md_running
    16      8.00000000     61.80457494      5.62981493    251.15704306    300.00000000      1.00009294      0.04175682     -7.58914805      0.03169482     -7.55745323      0.08218324      0.01592352      0.08053342      0.01369721 md_running
    17      8.50000000     62.03983922      5.62114427    248.01096152    300.00000000      1.00010103      0.04123376     -7.58851588      0.03159726     -7.55691862      0.08383338      0.01589900      0.08244920      0.01397223 md_running
    18      9.00000000     62.27357910      5.61242657    245.54885745    300.00000000      1.00010798      0.04082441     -7.58799804      0.03149933     -7.55649870      0.08428229      0.01587434      0.08315014      0.01404705 md_running
    19      9.50000000     62.50886172      5.60363695    243.92334612    300.00000000      1.00011309      0.04055416     -7.58762051      0.03140075     -7.55621976      0.08337517      0.01584948      0.08248515      0.01389586 md_running
    20     10.00000000     62.73307816      5.59474985    243.09421075    300.00000000      1.00011611      0.04041631     -7.58737614      0.03130123     -7.55607492      0.08114080      0.01582434      0.08048931      0.01352347 md_running
    21     10.50000000     62.96029864      5.58573972    242.83330027    300.00000000      1.00011735      0.04037293     -7.58722649      0.03120049     -7.55602600      0.07780512      0.01579886      0.07739567      0.01296752 md_running
    22     11.00000000     63.18904738      5.57658177    242.78218434    300.00000000      1.00011755      0.04036443     -7.58711048      0.03109826     -7.55601221      0.07378938      0.01577296      0.07363170      0.01229823 md_running
    23     11.50000000     63.42384485      5.56725265    242.54748489    300.00000000      1.00011773      0.04032541     -7.58696147      0.03099430     -7.55596717      0.06969229      0.01574657      0.06979817      0.01161538 md_running
    24     12.00000000     63.65197248      5.55773102    241.80919997    300.00000000      1.00011885      0.04020267     -7.58672500      0.03088837     -7.55583662      0.06621128      0.01571964      0.06658581      0.01103521 md_running
    25     12.50000000     63.86584743      5.54799810    240.41249770    300.00000000      1.00012156      0.03997045     -7.58637439      0.03078028     -7.55559411      0.06397777      0.01569211      0.06460735      0.01066296 md_running
