  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000     10.48588268      0.09788878      0.21970309   1000.00000000      1.41385996      0.00003653     -7.59808401      0.00121306     -7.59687094      0.06780985      0.01239224      0.06482127      0.01130164 md_running
     2      1.00000000     21.76832001      0.09693022      2.44489112   1000.00000000      1.41385996      0.00040648     -7.59826873      0.00242612     -7.59584261      0.06552182      0.02502958      0.06277509      0.01092030 md_running
     3      1.50000000     40.67388795      0.09775214      6.23844429   1000.00000000      1.13264725      0.00103719     -7.59863403      0.00363918     -7.59499485      0.06055059      0.03722869      0.06322392      0.01009177 md_running
     4      2.00000000     40.93552420      0.10456043     11.78767497   1000.00000000      1.05970948      0.00195979     -7.59904044      0.00485225     -7.59418819      0.05414367      0.04640613      0.06547402      0.00902394 md_running
     5      2.50000000     41.16976617      0.12097545     19.74670056   1000.00000000      1.03272280      0.00328304     -7.59936280      0.00606531     -7.59329750      0.04771210      0.05013667      0.06502118      0.00795202 md_running
     6      3.00000000     41.42018591      0.14868877     29.71993564   1000.00000000      1.02004478      0.00494117     -7.59947041      0.00727837     -7.59219204      0.04337876      0.04895036      0.06028032      0.00722979 md_running
     7      3.50000000     41.66632360      0.18696043     40.14090691   1000.00000000      1.01379474      0.00667374     -7.59923557      0.00849143     -7.59074414      0.04379127      0.04541832      0.05465922      0.00729854 md_running
     8      4.00000000     41.92721597      0.23354909     49.38898164   1000.00000000      1.01058644      0.00821130     -7.59858639      0.00970449     -7.58888190      0.04984519      0.04155225      0.05279910      0.00830753 md_running
     9      4.50000000     46.04257387      0.28586734     56.74714090   1000.00000000      1.00885505      0.00943466     -7.59755765      0.01091755     -7.58664010      0.05951350      0.03819097      0.05654030      0.00991892 md_running
    10      5.00000000     46.30869353      0.34165294     62.58328765   1000.00000000      1.00784878      0.01040496     -7.59630131      0.01213061     -7.58417070      0.06984715      0.03550566      0.06381114      0.01164119 md_running
    11      5.50000000     46.59285948      0.39928040     68.00552993   1000.00000000      1.00716058      0.01130645     -7.59504497      0.01334367     -7.58170129      0.07847769      0.03341931      0.07131152      0.01307961 md_running
    12      6.00000000     51.81901350      0.45788258     74.27192800   1000.00000000      1.00655248      0.01234829     -7.59400874      0.01455674     -7.57945200      0.08392709      0.03179142      0.07666225      0.01398785 md_running
    13      6.50000000     56.88599446      0.51732142     82.18548590   1000.00000000      1.00591780      0.01366398     -7.59331530      0.01576980     -7.57754551      0.08566741      0.03048356      0.07879496      0.01427790 md_running
    14      7.00000000     57.13162707      0.57800573     91.70609137   1000.00000000      1.00526515      0.01524685     -7.59293346      0.01698286     -7.57595060      0.08416969      0.02938182      0.07785217      0.01402828 md_running
