  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.36037987      4.77173383    299.08139589    300.00000000      1.00000000      0.04972462     -7.59854376      0.06830833     -7.53023543      0.05741393      0.04048950      0.06547630      0.00956899 md_running
     2      1.00000000     19.78995350      4.76196864    297.05250282    300.00000000      1.00000284      0.04938730     -7.59792641      0.06802904     -7.52989738      0.05937630      0.04040664      0.06655039      0.00989605 md_running
     3      1.50000000     27.04898375      4.75133106    294.42256968    300.00000000      1.00000684      0.04895005     -7.59718276      0.06772544     -7.52945732      0.06154918      0.04031638      0.06775325      0.01025820 md_running
     4      2.00000000     27.51929472      4.73984789    291.39016139    300.00000000      1.00001182      0.04844589     -7.59634736      0.06739847     -7.52894889      0.06374456      0.04021894      0.06895324      0.01062409 md_running
     5      2.50000000     27.98846202      4.72755064    288.24902639    300.00000000      1.00001738      0.04792365     -7.59547097      0.06704921     -7.52842177      0.06569130      0.04011460      0.06992931      0.01094855 md_running
     6      3.00000000     28.48907237      4.71447439    285.30115710    300.00000000      1.00002297      0.04743354     -7.59460593      0.06667881     -7.52792712      0.06716410      0.04000364      0.07048800      0.01119402 md_running
     7      3.50000000     28.98408279      4.70065650    282.76604246    300.00000000      1.00002807      0.04701206     -7.59379072      0.06628851     -7.52750221      0.06809682      0.03988639      0.07057782      0.01134947 md_running
     8      4.00000000     29.68993046      4.68613524    280.72001087    300.00000000      1.00003236      0.04667189     -7.59303944      0.06587959     -7.52715985      0.06864616      0.03976318      0.07035869      0.01144103 md_running
     9      4.50000000     30.16314843      4.67094871    279.08917858    300.00000000      1.00003581      0.04640075     -7.59234061      0.06545329     -7.52688733      0.06914552      0.03963431      0.07017052      0.01152425 md_running
    10      5.00000000     30.63949156      4.65513373    277.69785220    300.00000000      1.00003865      0.04616944     -7.59166541      0.06501081     -7.52665460      0.06998215      0.03950012      0.07041520      0.01166369 md_running
    11      5.50000000     31.15276122      4.63872496    276.34916618    300.00000000      1.00004125      0.04594521     -7.59098139      0.06455331     -7.52642808      0.07144023      0.03936089      0.07139574      0.01190670 md_running
    12      6.00000000     31.67694708      4.62175424    274.90527054    300.00000000      1.00004395      0.04570515     -7.59026609      0.06408184     -7.52618426      0.07358879      0.03921689      0.07319322      0.01226480 md_running
    13      6.50000000     32.18030530      4.60425010    273.34045752    300.00000000      1.00004695      0.04544498     -7.58951613      0.06359736     -7.52591877      0.07626050      0.03906836      0.07563834      0.01271008 md_running
    14      7.00000000     32.66570073      4.58623759    271.75410193    300.00000000      1.00005018      0.04518124     -7.58874915      0.06310073     -7.52564842      0.07912372      0.03891552      0.07838289      0.01318729 md_running
