  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.35792442      6.50848423    300.22847648    300.00000000      1.00000000      0.04991533     -7.59854376      0.12708110     -7.47146266      0.05741393      0.05522632      0.07516524      0.00956899 md_running
     2      1.00000000     19.69846303      6.49107377    300.60604719    300.00000000      0.99999895      0.04997810     -7.59792695      0.12640212     -7.47152484      0.05917443      0.05507859      0.07696526      0.00986241 md_running
     3      1.50000000     26.94372031      6.47235132    300.55176403    300.00000000      0.99999872      0.04996908     -7.59718758      0.12567399     -7.47151359      0.06083296      0.05491972      0.07843572      0.01013883 md_running
     4      2.00000000     27.42056709      6.45231041    300.27678538    300.00000000      0.99999908      0.04992336     -7.59636185      0.12489693     -7.47146492      0.06217378      0.05474967      0.07941032      0.01036230 md_running
     5      2.50000000     27.93809665      6.43095580    300.07185173    300.00000000      0.99999957      0.04988929     -7.59549946      0.12407158     -7.47142788      0.06297710      0.05456847      0.07971723      0.01049618 md_running
     6      3.00000000     28.44000276      6.40830346    300.22041398    300.00000000      0.99999970      0.04991399     -7.59464963      0.12319906     -7.47145057      0.06312114      0.05437626      0.07926223      0.01052019 md_running
     7      3.50000000     28.91930893      6.38438014    300.91077154    300.00000000      0.99999904      0.05002876     -7.59384590      0.12228093     -7.47156497      0.06268622      0.05417326      0.07811604      0.01044770 md_running
     8      4.00000000     29.41143968      6.35922240    302.18024778    300.00000000      0.99999740      0.05023982     -7.59309673      0.12131913     -7.47177760      0.06200176      0.05395979      0.07655694      0.01033363 md_running
     9      4.50000000     29.91805782      6.33287527    303.91309484    300.00000000      0.99999488      0.05052792     -7.59238460      0.12031593     -7.47206867      0.06159486      0.05373623      0.07503591      0.01026581 md_running
    10      5.00000000     30.42898556      6.30539071    305.89336577    300.00000000      0.99999179      0.05085716     -7.59167507      0.11927386     -7.47240121      0.06202032      0.05350301      0.07405285      0.01033672 md_running
    11      5.50000000     30.92173223      6.27682605    307.88946046    300.00000000      0.99998854      0.05118903     -7.59093170      0.11819564     -7.47273606      0.06362984      0.05326064      0.07398805      0.01060497 md_running
    12      6.00000000     31.43584512      6.24724226    309.73617657    300.00000000      0.99998547      0.05149606     -7.59012923      0.11708411     -7.47304512      0.06642988      0.05300961      0.07496599      0.01107165 md_running
    13      6.50000000     32.13039784      6.21670227    311.38758620    300.00000000      0.99998274      0.05177062     -7.58926262      0.11594216     -7.47332046      0.07010423      0.05275047      0.07682244      0.01168404 md_running
    14      7.00000000     32.63739123      6.18526942    312.92883411    300.00000000      0.99998031      0.05202686     -7.58834935      0.11477267     -7.47357668      0.07416523      0.05248375      0.07918885      0.01236087 md_running
