  step         time_fs     wall_time_s        rti_dist          temp_K     temp_bath_K   thermo_lambda          kin_Ha     pot_real_Ha     pot_rtip_Ha    pot_total_Ha          f_real          f_rtip         f_total      rms_f_real state_decision
     1      0.50000000      8.36743067      6.50848423    305.04857042    300.00000000      1.00000000      0.05071671     -7.59854376      0.42360367     -7.17494009      0.05741393      0.18408773      0.18671639      0.00956899 md_running
     2      1.00000000     19.72154840      6.48776649    317.46594574    300.00000000      0.99998218      0.05278119     -7.59791745      0.42091114     -7.17700631      0.05909262      0.18350175      0.18666607      0.00984877 md_running
     3      1.50000000     26.97558627      6.46246316    332.57500950    300.00000000      0.99996175      0.05529319     -7.59715630      0.41763430     -7.17952200      0.06074302      0.18278606      0.18542859      0.01012384 md_running
     4      2.00000000     27.45062762      6.43262625    350.42086601    300.00000000      0.99993946      0.05826020     -7.59628245      0.41378680     -7.18249565      0.06261753      0.18194215      0.18312133      0.01043625 md_running
     5      2.50000000     27.92625908      6.39834224    371.05046700    300.00000000      0.99991601      0.06169004     -7.59532367      0.40938783     -7.18593584      0.06509474      0.18097245      0.17995354      0.01084912 md_running
     6      3.00000000     28.41653762      6.35972963    394.45336761    300.00000000      0.99989204      0.06558095     -7.59430372      0.40446161     -7.18984211      0.06855860      0.17988032      0.17621930      0.01142643 md_running
     7      3.50000000     28.90433129      6.31693505    420.50477218    300.00000000      0.99986820      0.06991220     -7.59323134      0.39903668     -7.19419465      0.07328734      0.17866990      0.17225696      0.01221456 md_running
     8      4.00000000     29.45539889      6.27012849    448.93430432    300.00000000      0.99984505      0.07463883     -7.59209385      0.39314511     -7.19894874      0.07937809      0.17734601      0.16840110      0.01322968 md_running
     9      4.50000000     29.94786784      6.21949854    479.34127078    300.00000000      0.99982311      0.07969423     -7.59085893      0.38682162     -7.20403730      0.08669308      0.17591398      0.16495178      0.01444885 md_running
    10      5.00000000     30.42967181      6.16524725    511.25715746    300.00000000      0.99980271      0.08500049     -7.58948461      0.38010274     -7.20938188      0.09488660      0.17437953      0.16211195      0.01581443 md_running
    11      5.50000000     30.94190614      6.10758482    544.22744915    300.00000000      0.99978405      0.09048206     -7.58793245      0.37302592     -7.21490653      0.10350994      0.17274859      0.15993898      0.01725166 md_running
    12      6.00000000     31.43187865      6.04672513    577.88225263    300.00000000      0.99976716      0.09607744     -7.58617810      0.36562885     -7.22054925      0.11213218      0.17102721      0.15835695      0.01868870 md_running
    13      6.50000000     31.93895793      5.98288229    611.98465469    300.00000000      0.99975193      0.10174723     -7.58421948      0.35794881     -7.22627067      0.12039229      0.16922147      0.15725386      0.02006538 md_running
    14      7.00000000     32.44925320      5.91626678    646.43372540    300.00000000      0.99973820      0.10747465     -7.58207658      0.35002213     -7.23205445      0.12806938      0.16733729      0.15645093      0.02134490 md_running
    15      7.50000000     32.94396456      5.84708387    681.24110452    300.00000000      0.99972577      0.11326165     -7.57978630      0.34188390     -7.23790240      0.13503481      0.16538051      0.15587991      0.02250580 md_running
    16      8.00000000     33.44107501      5.77553017    716.49907189    300.00000000      0.99971446      0.11912356     -7.57739886      0.33356749     -7.24383137      0.14126574      0.16335666      0.15552237      0.02354429 md_running
    17      8.50000000     33.95954370      5.70179074    752.29757079    300.00000000      0.99970408      0.12507534     -7.57496158      0.32510418     -7.24985740      0.14690564      0.16127100      0.15530528      0.02448427 md_running
